ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
AUS_1980,23.0,376.0,100.0,153.0,483.0,1312.0,5238.0,240.0,96.0,533.0,4162.0,403.0,1303.0,574.0,554.0,584.0,2672.0,1006.0,871.0,6737.0,10400.0,2892.0,56415.0,346.0,1446.0,6382.0,7251.0,182.0,1639.0,2271.0,807.0,11911.0,55500.0,696.0,32.0,103.0,365.0,1005.0,482.0,1760.0,30433.0,13949.0,1039.0,3594.0,85.0,230.0,1024.0,2240.0,2068.0,94.0,65.0,215.0,81.0,283.0,8855.0,985.0,344.0,13629.0,709.0,2464.0,5108.0,181.0,37.0,125.0,82.0,1870.0,8686.0,1761.0,724.0,7.0,3252.0,1787.0,1259.0
AUS_1981,21.0,369.0,79.0,131.0,554.0,1174.0,5531.0,151.0,53.0,690.0,3842.0,311.0,1129.0,426.0,442.0,1051.0,2776.0,980.0,1407.0,7417.0,11157.0,2054.0,62106.0,166.0,1994.0,6248.0,6796.0,255.0,1915.0,2567.0,610.0,16062.0,53723.0,401.0,92.0,200.0,258.0,782.0,201.0,3145.0,27710.0,10423.0,735.0,4638.0,47.0,279.0,868.0,1699.0,2059.0,57.0,10.0,175.0,186.0,226.0,8567.0,517.0,550.0,11622.0,536.0,2754.0,4097.0,165.0,21.0,44.0,105.0,2138.0,7760.0,1200.0,357.0,23.0,2379.0,1280.0,915.0
AUS_1982,23.0,347.0,100.0,153.0,489.0,1249.0,4665.0,231.0,62.0,559.0,4077.0,400.0,1092.0,607.0,533.0,716.0,2953.0,1296.0,1306.0,5351.0,9378.0,2711.0,48794.0,309.0,1564.0,6026.0,7097.0,264.0,1676.0,2437.0,974.0,11395.0,53645.0,672.0,79.0,122.0,364.0,694.0,312.0,2236.0,24483.0,13799.0,1060.0,4106.0,89.0,223.0,779.0,1614.0,2659.0,36.0,23.0,251.0,129.0,286.0,7179.0,980.0,445.0,13206.0,590.0,2415.0,4965.0,314.0,29.0,58.0,87.0,1896.0,8213.0,1782.0,432.0,34.0,2406.0,1906.0,1119.0
AUS_1983,20.0,357.0,69.0,121.0,468.0,1070.0,5016.0,125.0,65.0,618.0,3259.0,246.0,1162.0,375.0,394.0,881.0,2157.0,1218.0,1018.0,6120.0,9452.0,1813.0,52787.0,132.0,1506.0,4919.0,4944.0,225.0,1631.0,2058.0,505.0,13239.0,42066.0,284.0,84.0,255.0,191.0,888.0,259.0,2795.0,25708.0,8087.0,578.0,3600.0,21.0,283.0,615.0,1617.0,1730.0,65.0,18.0,178.0,167.0,182.0,8530.0,451.0,493.0,9306.0,410.0,2385.0,4016.0,110.0,19.0,51.0,90.0,1955.0,6412.0,924.0,483.0,31.0,2618.0,1126.0,778.0
AUS_1984,21.0,344.0,79.0,131.0,490.0,1061.0,4526.0,164.0,71.0,557.0,3463.0,283.0,1107.0,443.0,440.0,838.0,2406.0,1212.0,1127.0,5952.0,7897.0,2045.0,46688.0,202.0,1505.0,5584.0,5529.0,213.0,1359.0,2267.0,418.0,11269.0,43158.0,397.0,91.0,152.0,286.0,741.0,327.0,2300.0,24302.0,9867.0,706.0,3518.0,19.0,232.0,761.0,1496.0,1889.0,72.0,24.0,178.0,120.0,201.0,7139.0,644.0,362.0,10133.0,476.0,2433.0,3968.0,132.0,43.0,65.0,104.0,1783.0,7001.0,1120.0,515.0,30.0,2491.0,1356.0,903.0
AUS_1985,21.0,339.0,72.0,138.0,415.0,979.0,4522.0,128.0,37.0,396.0,3507.0,292.0,1110.0,400.0,510.0,555.0,1776.0,1169.0,763.0,5891.0,7604.0,1688.0,47477.0,123.0,1070.0,5906.0,5411.0,114.0,997.0,2210.0,490.0,8753.0,43191.0,370.0,33.0,129.0,211.0,408.0,149.0,1104.0,24291.0,8794.0,609.0,2591.0,29.0,124.0,849.0,1542.0,1739.0,20.0,10.0,85.0,141.0,126.0,7453.0,463.0,164.0,11528.0,606.0,1761.0,3587.0,89.0,13.0,33.0,61.0,1230.0,7502.0,1186.0,271.0,15.0,2628.0,1296.0,1199.0
AUS_1986,19.0,313.0,57.0,114.0,393.0,771.0,4344.0,78.0,35.0,458.0,2923.0,223.0,935.0,289.0,379.0,349.0,1465.0,531.0,886.0,5296.0,6767.0,948.0,45640.0,49.0,1275.0,3954.0,4115.0,135.0,1119.0,1822.0,366.0,9392.0,37697.0,220.0,14.0,66.0,198.0,304.0,97.0,1576.0,19888.0,6365.0,393.0,2374.0,29.0,185.0,716.0,1162.0,1130.0,8.0,6.0,104.0,78.0,116.0,6760.0,219.0,335.0,8765.0,412.0,1671.0,2600.0,86.0,33.0,34.0,44.0,1455.0,5691.0,818.0,252.0,15.0,1968.0,853.0,782.0
AUS_1987,19.0,312.0,56.0,115.0,287.0,793.0,4227.0,74.0,35.0,357.0,2797.0,225.0,978.0,280.0,390.0,294.0,1017.0,581.0,458.0,3903.0,7027.0,986.0,44583.0,44.0,803.0,3929.0,4100.0,114.0,931.0,1322.0,331.0,7424.0,34507.0,221.0,9.0,57.0,116.0,416.0,85.0,960.0,20616.0,5618.0,365.0,1694.0,26.0,96.0,532.0,1330.0,1221.0,16.0,4.0,63.0,47.0,94.0,6744.0,201.0,209.0,8700.0,445.0,1356.0,2602.0,87.0,10.0,51.0,37.0,1181.0,5411.0,815.0,265.0,15.0,2234.0,824.0,833.0
AUS_1988,21.0,280.0,67.0,143.0,303.0,732.0,3404.0,99.0,15.0,323.0,3130.0,293.0,854.0,390.0,548.0,220.0,1178.0,269.0,554.0,3548.0,5758.0,993.0,31966.0,70.0,861.0,4011.0,4668.0,114.0,912.0,1760.0,318.0,5709.0,35737.0,308.0,5.0,50.0,101.0,90.0,46.0,881.0,16449.0,7102.0,570.0,2020.0,25.0,99.0,696.0,1181.0,1546.0,1.0,0.0,43.0,66.0,47.0,5022.0,316.0,166.0,11851.0,656.0,1343.0,2571.0,141.0,9.0,14.0,29.0,1062.0,6337.0,1168.0,135.0,34.0,1951.0,1374.0,1323.0
AUS_1989,20.0,298.0,59.0,131.0,346.0,799.0,3719.0,82.0,22.0,357.0,2931.0,258.0,944.0,300.0,500.0,308.0,1157.0,359.0,686.0,4588.0,7503.0,1042.0,35026.0,59.0,961.0,4261.0,4768.0,97.0,971.0,1834.0,316.0,6699.0,32532.0,238.0,14.0,68.0,103.0,240.0,61.0,1090.0,18516.0,5258.0,450.0,1931.0,13.0,104.0,822.0,1404.0,1452.0,13.0,1.0,63.0,70.0,67.0,5922.0,232.0,171.0,10522.0,648.0,1502.0,2449.0,70.0,7.0,19.0,43.0,1151.0,6188.0,874.0,184.0,8.0,2188.0,1017.0,1236.0
