ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
USA_1962,76.0,50.0,2513.0,337.0,6.0,1741.0,172.0,52313.0,15.0,3.0,1873.0,11987.0,53.0,5049.0,951.0,0.0,254.0,60.0,0.0,18.0,4425.0,35043.0,543.0,786369.0,0.0,322.0,49188.0,0.0,126.0,148.0,968.0,14.0,7899.0,238593.0,0.0,0.0,7.0,51.0,590.0,0.0,443.0,34275.0,143925.0,75.0,1251.0,0.0,8.0,1200.0,2346.0,0.0,7.0,6.0,0.0,394.0,41.0,52262.0,0.0,7187.0,24861.0,12.0,1304.0,4604.0,0.0,21.0,31.0,3.0,1192.0,21220.0,32.0,78.0,47.0,7953.0,1859.0
CAN_1962,24.0,274.0,133.0,143.0,120.0,877.0,4341.0,457.0,24.0,93.0,4075.0,442.0,651.0,671.0,454.0,103.0,827.0,312.0,85.0,1743.0,7027.0,2450.0,54839.0,1051.0,114.0,4091.0,7286.0,15.0,251.0,846.0,200.0,2782.0,65849.0,1067.0,21.0,21.0,29.0,273.0,164.0,109.0,17808.0,20100.0,1517.0,1027.0,6.0,7.0,236.0,1027.0,1249.0,5.0,5.0,20.0,40.0,113.0,4438.0,1742.0,9.0,12675.0,651.0,415.0,2964.0,145.0,1.0,29.0,29.0,212.0,6215.0,1847.0,149.0,4.0,1263.0,1674.0,922.0
JPN_1962,42.0,188.0,634.0,227.0,36.0,2241.0,2156.0,5803.0,23.0,20.0,4579.0,2950.0,421.0,2051.0,676.0,28.0,685.0,103.0,27.0,434.0,16984.0,17372.0,20099.0,36958.0,21.0,2078.0,37530.0,0.0,166.0,531.0,793.0,482.0,58817.0,23956.0,11.0,4.0,4.0,107.0,520.0,28.0,8866.0,48684.0,18706.0,498.0,714.0,0.0,54.0,3624.0,2709.0,3.0,11.0,7.0,15.0,129.0,1808.0,11867.0,0.0,14567.0,5602.0,85.0,4654.0,1326.0,0.0,31.0,23.0,32.0,5795.0,7412.0,153.0,56.0,810.0,3991.0,1342.0
FRA_1962,55.0,122.0,1202.0,283.0,16.0,2376.0,1115.0,16352.0,15.0,15.0,3868.0,5655.0,157.0,3340.0,888.0,0.0,547.0,244.0,0.0,86.0,14796.0,29677.0,8911.0,159315.0,0.0,1345.0,53220.0,4.0,328.0,201.0,1107.0,247.0,41043.0,67161.0,5.0,0.0,9.0,121.0,483.0,0.0,3206.0,53902.0,52580.0,378.0,340.0,3.0,4.0,1814.0,3766.0,3.0,4.0,11.0,10.0,204.0,519.0,26142.0,3.0,15197.0,12409.0,49.0,2576.0,1510.0,2.0,9.0,43.0,20.0,3477.0,12971.0,35.0,53.0,125.0,6750.0,1824.0
DEU_1962,64.0,67.0,1684.0,332.0,2.0,1535.0,300.0,28054.0,17.0,3.0,2540.0,7589.0,56.0,5068.0,953.0,0.0,56.0,140.0,0.0,18.0,3268.0,26631.0,1241.0,336571.0,0.0,888.0,31113.0,0.0,93.0,62.0,1193.0,17.0,14837.0,114609.0,0.0,0.0,0.0,48.0,715.0,0.0,695.0,48686.0,81443.0,84.0,849.0,0.0,1.0,737.0,3681.0,2.0,11.0,2.0,0.0,196.0,24.0,54349.0,0.0,10813.0,13424.0,4.0,1628.0,3200.0,0.0,12.0,42.0,3.0,890.0,20757.0,44.0,63.0,39.0,8246.0,1865.0
NLD_1962,32.0,212.0,289.0,207.0,65.0,1043.0,2890.0,1636.0,10.0,35.0,4733.0,1150.0,388.0,1462.0,712.0,45.0,646.0,285.0,41.0,1012.0,6632.0,5207.0,31327.0,6336.0,35.0,3531.0,12834.0,11.0,167.0,902.0,447.0,885.0,68041.0,5217.0,17.0,7.0,13.0,42.0,166.0,36.0,10375.0,37423.0,5573.0,671.0,30.0,4.0,79.0,621.0,2458.0,0.0,4.0,6.0,46.0,56.0,2250.0,6093.0,4.0,18020.0,1892.0,151.0,3060.0,449.0,1.0,0.0,27.0,44.0,6321.0,5076.0,39.0,34.0,520.0,3680.0,1580.0
GBR_1962,68.0,60.0,1942.0,336.0,0.0,1368.0,378.0,34602.0,0.0,0.0,2562.0,9815.0,45.0,4736.0,963.0,0.0,0.0,18.0,0.0,0.0,6817.0,18531.0,2009.0,441362.0,0.0,485.0,47581.0,0.0,0.0,0.0,465.0,0.0,17665.0,166805.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,47014.0,104262.0,0.0,1960.0,0.0,0.0,606.0,2689.0,0.0,0.0,0.0,0.0,0.0,71.0,45810.0,0.0,10518.0,19365.0,0.0,814.0,5088.0,0.0,0.0,0.0,0.0,1472.0,19730.0,0.0,124.0,26.0,8008.0,1871.0
ITA_1962,45.0,138.0,713.0,277.0,16.0,1369.0,1317.0,7187.0,15.0,15.0,4325.0,2972.0,174.0,3154.0,877.0,0.0,390.0,248.0,0.0,89.0,6179.0,13583.0,10856.0,50871.0,0.0,2440.0,21119.0,4.0,192.0,198.0,1032.0,261.0,46644.0,26851.0,5.0,0.0,9.0,128.0,340.0,0.0,3883.0,57579.0,20786.0,364.0,411.0,3.0,4.0,598.0,3869.0,3.0,4.0,11.0,10.0,197.0,554.0,23882.0,3.0,17739.0,4430.0,49.0,2576.0,1319.0,2.0,9.0,43.0,20.0,3746.0,11978.0,35.0,53.0,161.0,6615.0,1799.0
BEL_1962,27.0,233.0,161.0,190.0,61.0,583.0,3500.0,622.0,5.0,43.0,4629.0,546.0,418.0,1067.0,690.0,53.0,410.0,246.0,43.0,928.0,2814.0,2285.0,42101.0,1550.0,39.0,4669.0,4697.0,12.0,101.0,752.0,359.0,1254.0,70378.0,1735.0,7.0,14.0,8.0,40.0,46.0,52.0,12350.0,27480.0,1924.0,739.0,34.0,5.0,57.0,184.0,2162.0,0.0,0.0,2.0,54.0,28.0,2709.0,3334.0,7.0,19326.0,601.0,170.0,1940.0,326.0,0.0,1.0,21.0,53.0,6622.0,3195.0,28.0,30.0,549.0,3260.0,1561.0
VEN_1962,15.0,332.0,29.0,76.0,171.0,464.0,6416.0,26.0,23.0,201.0,2466.0,89.0,836.0,121.0,219.0,198.0,326.0,39.0,177.0,3302.0,6053.0,357.0,94672.0,11.0,365.0,3893.0,2099.0,28.0,262.0,558.0,6.0,6342.0,42167.0,48.0,0.0,54.0,67.0,274.0,46.0,462.0,25566.0,3743.0,96.0,636.0,0.0,37.0,319.0,662.0,518.0,10.0,6.0,33.0,18.0,15.0,7872.0,76.0,63.0,6483.0,160.0,669.0,1258.0,14.0,16.0,19.0,8.0,591.0,3850.0,272.0,174.0,0.0,1577.0,278.0,410.0
