ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
USA,65,66,1714,366,36,2251,101,27573,19,17,1703,10558,116,4147,1402,6,1469,309,20,58,2220,41497,163,313729,19,864,39694,5,748,554,2311,12,3684,163254,0,1,30,9,850,1,491,19578,99615,201,1540,11,57,2969,4550,0,5,20,20,172,30,28487,4,9103,31012,47,2143,4276,6,24,62,30,1622,21110,50,98,150,10437,3482
CAN,20,305,47,143,172,531,3631,57,20,158,3198,159,1013,357,567,214,413,825,54,2793,2217,727,35016,30,207,5892,1996,94,292,1192,298,3154,33675,133,15,58,9,223,59,143,21422,6839,262,1081,16,66,372,547,1529,4,0,35,80,53,5722,321,48,11762,216,676,2718,92,4,20,29,455,7004,1017,179,9,2529,1295,1454,
JPN,52,80,970,356,65,1345,328,10878,7,46,2479,6012,121,3842,1368,45,1384,40,32,280,3035,14949,1454,84555,54,1015,26547,35,1071,1505,880,117,12457,61450,4,16,10,5,215,14,1057,29853,47286,955,1555,39,68,1200,4183,0,1,23,43,68,87,24616,31,13352,14364,153,1964,4261,3,1,37,69,2352,19282,25,97,161,9825,3434,
FRA,52,92,970,356,13,1775,394,10786,12,12,2589,6211,152,3720,1383,0,382,563,2,36,4256,20834,1947,82644,5,1434,29905,0,307,185,2684,36,14309,63808,0,0,6,32,257,2,1271,29403,47527,215,1843,0,22,2077,4582,1,0,7,0,238,112,22795,0,14281,15617,33,2321,4481,3,11,33,22,2485,18484,50,154,202,9911,3461,
DEU,55,57,1095,390,11,1118,179,13106,26,0,1796,7045,56,4627,1457,0,383,245,0,6,1448,14083,737,108410,0,824,17645,0,0,101,2184,0,7952,78829,0,0,26,20,788,0,234,24314,56908,0,3199,0,29,1069,4106,0,22,0,0,308,6,33306,0,11113,15088,0,947,6282,0,59,48,0,616,24242,50,126,59,11113,3552,
NLD,34,176,288,273,90,1047,1327,1471,13,70,3913,1427,411,1949,1137,133,736,464,40,828,2651,5826,9089,4890,107,3552,9966,21,609,1489,1013,620,32209,6169,14,33,13,43,139,41,6766,28051,6288,1136,449,39,139,811,4192,0,0,20,53,123,1061,7415,31,19339,2274,287,3645,1243,3,9,50,126,6205,8219,86,51,770,6379,2999,
ITA,46,109,690,345,24,1500,531,6160,21,4,2909,4187,227,3506,1327,1,572,530,9,76,3519,14217,2717,37039,1,1622,19037,0,79,294,2516,22,17462,34603,0,0,32,59,484,0,2313,31764,26558,73,2038,0,55,1933,5019,2,7,2,9,207,269,20960,0,15225,8140,20,3437,3974,0,38,61,3,3098,17199,75,107,444,9273,3294,
GBR,47,101,734,347,45,1400,469,6859,9,21,2896,4463,166,3527,1366,16,1020,296,31,161,2966,13950,2347,43546,35,1857,20741,7,503,718,1819,50,16572,38207,0,4,18,11,216,4,1695,32231,30090,307,1615,16,65,1386,4973,0,2,16,40,97,165,21108,5,15836,9568,70,2447,3498,2,6,46,33,2918,17618,28,101,219,9569,3445,
MEX,7,269,0,21,393,0,4863,0,0,946,558,0,528,0,35,332,0,0,1233,6264,0,0,58646,0,3650,1377,0,221,0,186,0,20923,6330,0,0,110,0,0,0,6462,11726,0,0,202,0,523,458,0,0,0,0,0,10,0,5561,0,1807,759,0,1236,0,0,0,0,0,2119,636,0,0,0,668,0,35,
BEL,30,211,197,238,107,1050,1863,811,18,106,3979,853,527,1377,1019,67,834,615,79,1118,3981,4832,14547,2190,144,4591,8321,31,682,1376,815,1242,36639,2654,4,16,25,99,193,93,9924,21215,3396,1417,131,42,151,1005,3800,4,1,29,49,109,1688,4433,39,19520,1655,406,3480,445,8,7,74,262,7042,4552,111,39,1000,5167,2743,
KOR,23,278,102,151,320,1101,3350,217,32,214,3067,487,942,517,550,408,1653,172,299,4096,9588,2172,30568,248,439,2523,7047,292,802,1644,677,4495,35346,818,18,78,165,283,133,386,16895,8968,1089,1477,122,170,1099,2209,1829,0,11,70,57,67,5794,623,82,10960,988,995,3796,285,3,80,15,679,5891,1904,264,15,2426,1472,1291,
CHE,25,250,108,192,170,768,2592,292,21,178,3818,426,686,756,826,157,792,484,153,1900,3547,2187,22479,502,303,5388,5514,50,682,1662,389,2778,38711,744,9,36,35,135,144,211,14025,13644,1259,1834,56,69,328,883,2326,3,0,37,61,95,2892,1669,95,17113,990,723,2523,103,15,10,71,483,7850,1966,153,8,1402,3098,2255,
AUT,18,316,46,107,296,988,4385,0,38,384,2286,269,1011,198,349,324,915,1081,437,3524,11936,0,45334,0,853,2692,4055,193,1015,1012,1572,8946,26470,0,21,50,84,908,0,1024,19819,2628,0,1532,264,126,640,2022,2184,12,0,178,38,199,7694,0,322,6892,557,1361,2182,234,5,118,45,1216,4413,840,128,4,2395,403,758,
CHN,24,296,121,155,177,1509,3372,252,78,195,3181,697,981,512,563,134,1030,1899,142,1862,11779,2937,31374,241,272,3719,10412,40,892,690,1764,3597,34928,1209,41,6,121,1250,286,290,18685,8884,1399,1098,383,28,476,3081,2387,17,16,177,31,462,5440,511,68,11007,1654,836,3801,480,17,228,47,724,6522,1967,417,21,2372,1421,1340,
SUN,24,283,108,168,192,1285,3228,172,39,168,3258,620,944,620,612,80,1167,1375,250,2029,10217,1644,30064,144,312,3243,7940,47,698,900,2053,3282,35259,682,26,7,65,486,198,238,18140,9825,971,1085,529,45,586,2396,3516,5,4,74,31,233,5066,701,70,11433,1242,859,3999,754,10,49,55,564,6681,2364,262,63,2373,1729,1447,
