ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
USA,76,81,2451,399,32,3087,269,49082,30,13,2574,14272,177,5584,1362,6,1552,236,21,51,7537,65592,909,701687,16,729,70464,0,522,394,2183,61,11063,283413,13,0,39,51,1483,5,1328,41270,156354,275,2940,0,97,5238,4666,0,12,12,20,400,98,53058,0,11695,36370,104,3916,6716,2,51,37,29,2513,28020,162,120,352,11076,3221
CAN,25,324,135,165,229,1259,4870,426,18,239,4661,564,910,699,611,209,1605,685,176,3277,10567,3662,58875,853,253,6559,10362,72,838,1703,368,6103,69852,1366,35,42,32,308,102,373,24187,19888,1682,2458,23,97,406,1908,2129,2,0,54,109,155,5981,1546,142,16606,1154,970,4231,179,2,25,30,706,8639,2400,77,5,1991,1940,1502,
JPN,55,159,1157,328,115,3126,1207,14869,31,75,4630,6502,384,3710,1154,24,3359,271,71,707,15591,39006,7931,133793,47,1950,60936,36,1493,1621,1526,862,41847,79330,18,3,67,172,918,45,5600,61820,51454,1725,1501,54,253,5120,4945,0,4,45,53,399,984,27902,44,18249,15477,403,6258,3068,6,76,46,186,6311,17965,116,74,785,7699,2792,
FRA,60,116,1391,379,22,2628,944,19711,19,11,3888,8452,145,4641,1416,2,836,326,17,78,15110,36681,7192,196571,6,1515,59317,0,200,265,2395,196,36977,112107,2,0,31,122,684,7,2697,54357,76543,354,2017,0,27,1895,6730,1,8,5,4,243,394,36486,0,20602,21355,64,2824,4538,0,13,65,13,3171,23255,60,118,129,11239,3406,
DEU,64,76,1597,419,0,1670,341,24652,10,0,2970,9514,64,6030,1468,0,0,286,0,0,3365,27159,1543,268463,0,1346,34533,0,0,0,2314,0,17315,140441,0,0,0,18,361,0,737,53643,90808,0,3261,0,0,866,5757,0,0,0,0,165,24,58230,0,16146,19721,0,1685,7189,0,7,51,0,1160,31271,29,146,64,12414,3432,
NLD,34,246,292,269,50,1541,3075,1466,34,40,5469,1549,520,1848,1121,19,602,1296,31,603,8604,7937,32640,4758,28,5569,15797,5,242,604,2103,914,73659,6450,7,2,41,497,341,26,13571,38345,7056,716,474,3,55,1238,5526,2,7,12,20,427,2570,6458,4,27709,2876,186,4324,1297,1,45,85,81,8328,7889,124,64,819,6115,2939,
BEL,30,269,197,238,127,1064,3471,830,17,93,5439,779,632,1468,983,104,976,1088,98,1568,3606,5344,38223,2206,116,7015,6607,16,385,1458,1126,1927,74357,2897,17,11,23,111,185,110,16621,33637,2744,1399,181,21,230,662,4085,1,5,22,104,96,2981,5048,24,25998,916,479,4370,493,0,14,48,206,8884,5293,104,26,1186,5036,2565,
ITA,51,132,903,372,22,1793,1120,9788,18,11,4447,5252,162,4379,1406,2,643,340,17,83,9041,19684,8546,72729,6,2569,30967,0,117,260,2348,212,42634,54428,2,0,31,98,512,7,3309,60694,37167,338,2050,0,27,933,6910,0,8,5,4,201,459,32885,0,24147,10186,64,2825,4205,0,13,63,13,3596,21738,56,122,153,10998,3392,
GBR,69,78,1935,411,1,2095,377,33363,4,1,3039,11983,81,5590,1458,0,15,226,0,9,6601,34742,1686,407001,0,1129,56758,0,13,52,1950,18,17851,201331,0,0,0,15,148,0,993,52376,121221,54,3266,0,0,1343,5280,0,0,0,0,92,88,50071,0,15422,29605,1,1869,7472,0,0,20,0,1989,28951,8,183,70,11964,3436,
CHE,26,309,118,207,90,964,4456,308,41,53,5039,486,820,936,870,123,375,1655,41,1637,5091,2833,54447,440,60,7137,4909,1,135,1078,1287,1671,73331,1100,11,32,6,569,197,104,22853,21086,1134,789,217,3,226,694,3844,11,8,2,34,258,4767,1990,4,23587,555,241,4103,400,0,75,84,79,9154,3377,271,5,1704,3425,2307,
MEX,8,362,0,28,321,0,8371,0,0,876,954,0,790,0,56,311,0,0,548,8297,0,0,130792,0,2245,3902,0,86,0,200,0,29200,13036,0,0,119,0,0,0,4758,24079,0,0,317,0,257,386,0,0,0,0,0,26,0,10741,0,1228,1599,0,1223,0,0,0,0,0,2296,1263,0,0,0,1159,0,70,
SUN,25,332,135,165,187,1530,5173,384,32,192,4470,671,952,611,634,201,1221,1146,159,2744,17095,3913,65216,661,263,6317,13460,22,765,1458,672,5469,68037,1468,13,26,44,486,199,352,25866,15639,1875,1806,84,26,346,2761,2665,8,2,41,64,159,6326,993,55,17213,1732,834,3816,244,1,52,59,580,8444,2056,209,16,2135,1962,1559,
CSK,17,265,49,87,1283,606,3865,70,48,752,2250,157,644,211,242,877,3704,28,21222,5806,5802,691,46156,59,10648,1160,2886,1013,1406,2790,102,11257,35123,127,34,68,1260,291,138,5739,12820,4613,308,3118,2,770,3844,793,975,2,13,452,26,103,3900,182,1085,6315,248,3254,1678,52,29,100,29,1872,3097,472,211,14,1190,498,418,
AUT,18,352,27,126,304,446,6316,4,11,331,3536,92,990,236,484,337,570,649,411,5207,5513,44,86656,0,862,5333,1329,47,401,1641,455,9999,57041,4,18,63,19,222,6,1042,27782,4762,25,1971,36,62,765,360,2001,2,0,17,55,35,8405,27,122,14041,109,1226,2041,111,0,6,42,1006,6740,629,81,31,2177,915,1173,
SWE,25,310,97,203,109,878,4711,193,23,76,4918,417,799,818,872,126,413,1229,52,1901,6516,1793,59609,189,64,6789,5152,1,226,1238,1170,2326,72952,656,7,38,18,448,77,112,22796,16862,905,961,189,3,257,648,3968,3,3,7,28,192,5173,1273,4,24059,493,338,3506,452,1,21,69,145,9158,2913,140,46,1588,3179,2355,
AUS,21,354,86,124,283,1228,6000,166,17,353,3766,384,1026,368,412,222,1569,621,265,4686,14724,1950,78007,180,490,5761,8479,76,1240,1358,549,10040,60253,545,17,70,41,331,68,731,27926,10484,782,2227,91,118,577,2255,1718,6,0,41,70,94,8377,396,218,11649,776,1282,3397,168,0,17,29,1135,6771,1230,98,11,2286,907,899,
IRL,4,253,0,6,164,0,6934,0,0,1012,187,0,286,0,4,46,0,0,328,6463,0,0,118271,0,3351,1422,0,12,0,9,0,34407,1603,0,0,59,0,0,0,10154,8483,0,0,13,0,132,106,0,0,0,0,0,2,0,5358,0,2428,119,0,267,0,0,0,0,0,1378,68,0,0,0,168,0,1,
VEN,9,354,7,29,341,279,8193,0,7,879,1049,21,745,7,56,544,246,0,908,7598,5972,0,127160,0,2024,3625,694,255,610,284,0,29655,16335,0,0,102,42,146,0,4874,22533,236,0,644,0,313,327,490,53,0,0,133,17,0,10279,0,1382,1617,35,1293,226,0,0,21,0,2176,1332,21,7,0,1044,0,70,
