"","BCA","KC","KG","KI","LE","OPENK","POP","RGDPCH","RGDPL","RGDPL2","XRAT","BCAperRGDPL","KCxRGDPL","KGxRGDPL","KIxRGDPL","KCxRGDPLxPOP","KGxRGDPLxPOP","KIxRGDPLxPOP","RGDPCHxPOP","RGDPLxPOP","RGDPL2xPOP","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"BCA",1,-0.209911019841061,-0.00910281779531639,0.0514248906847462,-0.485568699962713,0.122603718117673,-0.488644591188349,-0.0887972550444877,-0.0889589460536765,-0.0909444270341652,0.0648215709452196,0.988972163665877,-0.22817551994261,-0.10364782162525,-0.0388255645686992,-0.63961245761557,-0.576931687372694,-0.586324106579654,-0.60826876888642,-0.608169495712277,-0.607438265740785,-0.291323054532299,-0.230204308380686,-0.430125424761096,-0.2917736167553,-0.385917599741944,-0.328293385337327,-0.282863977208768,-0.229970230125993,-0.46424235440175,-0.458028415441179,-0.253432017256698,-0.460614639307002,-0.477949675223792,-0.308791555017315,-0.40344141188961,-0.466007163490978,-0.335928728368507,-0.309922784144464,-0.507778343734942,-0.48976667590195,-0.452441929261802,-0.283487515610819,-0.374141567286115,-0.363062704472529,-0.45951581933281,-0.30571938340875,-0.362376224580399,-0.275383770179983,-0.225150631002036
"KC",-0.209911019841061,1,0.0720990936411737,-0.582622900109783,0.206017354168813,-0.699057228622164,0.220657047891043,-0.375692628038232,-0.374482621946784,-0.357957856912662,-0.186157487427735,-0.223966775671926,0.0752066885608768,-0.295222422471639,-0.615322932485472,0.226422822854224,0.224822655145899,0.16456373063913,0.210078318972626,0.210175457012775,0.210993004951026,0.25774920395311,0.215774509505641,0.237631131913176,0.258327446438202,0.222028595532782,0.251714053894853,0.237753551846678,0.202789995875202,0.222614907503777,0.22613058183537,0.240822672135893,0.232700914216291,0.214665819806445,0.249999630174624,0.223536376630752,0.223506370026381,0.251045578508776,0.224076285169319,0.216603886944103,0.196620030282306,0.218060555624779,0.245556255051167,0.241252069849455,0.230844372002368,0.201016362759782,0.230917184574661,0.20245846482275,0.216891296952891,0.187494320858079
"KG",-0.00910281779531639,0.0720990936411737,1,-0.235250660754805,-0.0819767851884457,0.0314041744752661,-0.0766175684427221,-0.346385163822338,-0.345773621769508,-0.344993177157131,-0.140198072610966,-0.0257164740884491,-0.344628288296984,0.362795978491432,-0.394737172449269,-0.0689630688460163,-0.0228043116234711,-0.117585696561613,-0.0795421604979367,-0.0793696830675266,-0.077406126576946,-0.0173465030408818,-0.092844872478372,-0.00800072362776475,0.0199155382294692,-0.0127447313278862,-0.0192616709029046,-0.0478156529276113,-0.101534277005923,0.00659927197255879,0.00700386382540685,0.0444738200254718,-0.00637728652789797,-0.0209841108072207,0.0181441569665756,0.0305143750752009,0.0117849434792054,-0.00140312287441735,-0.0239151532040169,-0.0293659089880917,0.00585667780107386,-0.00692417251432468,-0.0173605809943537,-0.0307567901160066,-0.029952103429611,-0.0275776406004566,-0.0446477744509384,-0.0407140307467966,-0.0670568808976303,-0.103718758323427
"KI",0.0514248906847462,-0.582622900109783,-0.235250660754805,1,-0.0660342605901343,0.288226863847142,-0.0786107588919928,-0.0398873131997459,-0.0417228385083896,-0.0586417414722567,0.421014274193655,0.0608950368505955,-0.273879592276868,-0.219812863517762,0.433976699155061,-0.111130614451492,-0.133360742359918,-0.00541259652564973,-0.0923090606099484,-0.0925293092020142,-0.094691988988815,-0.256454474433639,-0.228975685802529,-0.21689493844127,-0.259342869530143,-0.199473293759091,-0.241970691434568,-0.229497584719114,-0.203261793423285,-0.198917465638872,-0.206718836855542,-0.245672025544413,-0.211636252281834,-0.185819796794009,-0.249158591300453,-0.211734080215375,-0.204650036778177,-0.245389770857497,-0.210268996190757,-0.187068498787065,-0.166125224179238,-0.193925214910005,-0.240381537863764,-0.225124909997447,-0.214215799837445,-0.167357542781967,-0.215642393340731,-0.178109606092267,-0.201161710898239,-0.176951314718635
"LE",-0.485568699962713,0.206017354168813,-0.0819767851884457,-0.0660342605901343,1,-0.324192152643379,0.996766385194235,0.136303332485127,0.136597587994745,0.136830926592761,0.0835045620498121,-0.436382940665833,0.29411530363777,0.122335081897489,0.0624897088064258,0.968019366606978,0.974562124110876,0.969296998867789,0.977660829768958,0.977702280041525,0.977897937986223,0.724979615160892,0.631022905454206,0.814787080128301,0.717578406831811,0.791160519052296,0.728390385180213,0.654713750971785,0.582718995401581,0.820827882192875,0.811847518098634,0.693223492638459,0.80060608698686,0.818288413752587,0.723857786290626,0.773944406923099,0.799021038936422,0.719418106396658,0.694679049458926,0.790650089164734,0.735347865442107,0.80059020639217,0.61404738765709,0.726945490044439,0.714469598590274,0.776572215326112,0.636553146191512,0.716927960388232,0.595913580732735,0.53218203576168
"OPENK",0.122603718117673,-0.699057228622164,0.0314041744752661,0.288226863847142,-0.324192152643379,0.999999999999999,-0.33801444752335,0.378484228750374,0.377637477971028,0.363815231745442,-0.0941660616531881,0.112668599292614,0.0103770717309726,0.371941274439802,0.499235444148342,-0.273854746760778,-0.276971860347769,-0.280869841492783,-0.277859293886548,-0.277881788711276,-0.277780578301222,-0.248840701297688,-0.230691492878962,-0.217210520243825,-0.228942097118467,-0.230617221475183,-0.222025771304686,-0.21083382943483,-0.19282380648293,-0.20525320702492,-0.195962460542862,-0.218072026535282,-0.195107802719799,-0.189880928083577,-0.213672652332088,-0.220139721305979,-0.203518029591568,-0.20671767353697,-0.187049963888235,-0.178474777904946,-0.190019978876323,-0.204573037236818,-0.187411385871166,-0.194852302667551,-0.192665515616156,-0.194746531208026,-0.182606122181886,-0.194399334882101,-0.175757175710913,-0.158143871701181
"POP",-0.488644591188349,0.220657047891043,-0.0766175684427221,-0.0786107588919928,0.996766385194235,-0.33801444752335,1,0.118289992880708,0.118626896870231,0.119207676593829,0.0838186158539495,-0.443520168994707,0.280238156449871,0.109922145118111,0.0399421551325742,0.965480379696993,0.975258061585263,0.959735424597775,0.973844799187479,0.973909884197153,0.974404827441023,0.740920317549652,0.642831109319775,0.821767517586284,0.735405524129497,0.79309885842633,0.740606278786477,0.667641911882732,0.591814069470763,0.827839680127284,0.820025438775436,0.710273867814141,0.808202110068703,0.819503175919665,0.73850215452967,0.781161632744101,0.805112232016057,0.732790168671689,0.701893374879195,0.791212343758691,0.737390366259849,0.801694704349638,0.631736040559624,0.734728613730488,0.720579350655777,0.772859305898353,0.647107908805419,0.71561038050511,0.605873814869746,0.538875691084614
"RGDPCH",-0.0887972550444877,-0.375692628038232,-0.346385163822338,-0.0398873131997459,0.136303332485127,0.378484228750374,0.118289992880708,1,0.99999344227309,0.999144926734035,-0.187613050222728,-0.0757626575722442,0.876145771261379,0.691134140915594,0.8658869480831,0.193550287534333,0.178318685712807,0.191023075326536,0.195841190878856,0.195765795823049,0.195141711045463,0.194936306301781,0.261073987046788,0.210169008764936,0.158435315559478,0.210706723759268,0.211209861926614,0.229456080782941,0.274100729761349,0.185051051728344,0.189866964913957,0.120541791376815,0.204572213757326,0.225128838622148,0.167790077061137,0.155880081678672,0.189165407860769,0.193366197458782,0.219776407844737,0.240805604788199,0.182325294860555,0.212025026428281,0.197350245506006,0.232494570064542,0.232994353405809,0.230999351386758,0.235503674287236,0.241918153858191,0.249332025759379,0.278024025400578
"RGDPL",-0.0889589460536765,-0.374482621946784,-0.345773621769508,-0.0417228385083896,0.136597587994745,0.377637477971028,0.118626896870231,0.99999344227309,1,0.99920774246682,-0.187771021643177,-0.075949289104564,0.87658902830644,0.691456251674792,0.865024958164215,0.193867695389479,0.178734965659277,0.191152064703586,0.196129273224249,0.196055167701338,0.195440164373659,0.195284730146611,0.26140060663133,0.210495035880688,0.158793985288418,0.210992610857607,0.211512312485804,0.229727217910888,0.274369242424409,0.185394368969005,0.190215348801319,0.120933439070138,0.204895564151895,0.225408775223189,0.168128387330704,0.156221190203336,0.189483044281359,0.193668044354152,0.220008397109144,0.241058691845355,0.182594183892627,0.212301282872599,0.197595023949586,0.232757492419439,0.23322988569409,0.231228115336274,0.235725060498532,0.242130338915064,0.249549718873096,0.278241419525043
"RGDPL2",-0.0909444270341652,-0.357957856912662,-0.344993177157131,-0.0586417414722567,0.136830926592761,0.363815231745442,0.119207676593829,0.999144926734035,0.99920774246682,1,-0.186611984079572,-0.0782778180188242,0.884549042157819,0.690178381270891,0.854080095846707,0.194657157490471,0.180542840178933,0.189705494696879,0.196440515320645,0.196376432188512,0.195881828534426,0.193509784567242,0.25738012836867,0.210158140623345,0.158373168867532,0.209946796348768,0.209659425826315,0.22667945881071,0.270151430410208,0.18643699524025,0.191141015761557,0.121913300234244,0.205098322363822,0.225010963984078,0.167725461974823,0.157527093006077,0.189956588289059,0.192480809536232,0.217763463965792,0.240048922162742,0.182602429604865,0.211886804295435,0.195100087397175,0.230765068216115,0.230915156677187,0.230024518055372,0.232641397324187,0.23969470192845,0.245946788337821,0.274000837843951
