ID,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29
USA_1962,1639.0,310.0,2080.0,10068.0,35.0,5324.0,1335.0,408.0,1166.0,17166.0,50030.0,12901.0,1568.0,33590.0,15.0,423.0,20299.0,607.0,2439.0,3.0,171.0,3126.0,6913.0,1724.0,45.0,3358.0,110.0,1013.0,368.0
CAN_1962,164.0,87.0,33.0,254.0,0.0,340.0,153.0,90.0,0.0,46.0,281.0,139.0,6.0,423.0,0.0,0.0,521.0,14.0,28.0,0.0,0.0,106.0,316.0,34.0,0.0,218.0,0.0,108.0,57.0
BRA_1962,111.0,136.0,33.0,47.0,2.0,232.0,215.0,181.0,8.0,7.0,10.0,33.0,16.0,69.0,0.0,2.0,179.0,35.0,29.0,0.0,6.0,40.0,170.0,125.0,1.0,320.0,8.0,250.0,145.0
NLD_1962,899.0,283.0,901.0,3449.0,27.0,2883.0,1029.0,385.0,681.0,3932.0,10830.0,2955.0,950.0,11638.0,10.0,233.0,8340.0,465.0,1135.0,2.0,98.0,1618.0,3366.0,1331.0,25.0,2403.0,93.0,899.0,350.0
DEU_1962,1275.0,315.0,1106.0,6638.0,47.0,4148.0,1346.0,422.0,519.0,6018.0,28952.0,5823.0,672.0,21907.0,17.0,444.0,14617.0,526.0,1435.0,12.0,194.0,2949.0,4935.0,1693.0,90.0,3430.0,117.0,1073.0,377.0
NZL_1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBR_1962,1375.0,312.0,1666.0,7441.0,63.0,4399.0,1318.0,418.0,1655.0,10400.0,34352.0,6905.0,1589.0,25008.0,44.0,814.0,15634.0,552.0,1893.0,15.0,332.0,2898.0,5408.0,1714.0,83.0,3281.0,127.0,1049.0,376.0
MEX_1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK_1962,100.0,159.0,53.0,11.0,8.0,195.0,228.0,237.0,7.0,12.0,0.0,53.0,33.0,10.0,0.0,6.0,57.0,23.0,92.0,0.0,17.0,4.0,139.0,126.0,10.0,327.0,34.0,305.0,220.0
AUS_1962,39.0,49.0,0.0,20.0,0.0,57.0,42.0,46.0,0.0,0.0,4.0,0.0,0.0,21.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,13.0,41.0,0.0,0.0,48.0,0.0,25.0,26.0
JPN_1962,84.0,59.0,16.0,73.0,0.0,154.0,71.0,56.0,0.0,14.0,36.0,64.0,0.0,89.0,0.0,0.0,159.0,0.0,11.0,0.0,0.0,28.0,155.0,14.0,0.0,62.0,0.0,54.0,31.0
IRL_1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA_1962,496.0,266.0,234.0,1087.0,24.0,1505.0,819.0,390.0,123.0,355.0,1682.0,406.0,220.0,3375.0,14.0,83.0,3221.0,319.0,184.0,2.0,72.0,921.0,1537.0,720.0,27.0,1855.0,98.0,863.0,365.0
COL_1962,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DZA_1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA_1962,281.0,172.0,128.0,463.0,2.0,801.0,312.0,257.0,3.0,297.0,531.0,622.0,75.0,1139.0,0.0,0.0,1183.0,32.0,141.0,0.0,2.0,195.0,1201.0,123.0,1.0,591.0,12.0,316.0,262.0
ARG_1962,157.0,162.0,12.0,171.0,2.0,351.0,259.0,250.0,0.0,12.0,115.0,75.0,0.0,274.0,0.0,0.0,419.0,0.0,13.0,0.0,0.0,189.0,462.0,10.0,1.0,408.0,12.0,299.0,258.0
PHL_1962,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF_1962,17.0,33.0,0.0,3.0,0.0,15.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,15.0,0.0,14.0,11.0
BEL_1962,35.0,125.0,3.0,0.0,2.0,31.0,102.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,15.0,1.0,81.0,10.0,160.0,186.0
DOM_1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN_1962,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY_1962,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP_1962,120.0,158.0,29.0,69.0,0.0,265.0,236.0,236.0,3.0,15.0,11.0,38.0,24.0,134.0,0.0,0.0,155.0,45.0,25.0,0.0,0.0,97.0,211.0,106.0,0.0,431.0,0.0,262.0,232.0
MAR_1962,7.0,5.0,2.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PER_1962,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LKA_1962,7.0,7.0,0.0,1.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
CHE_1962,31.0,127.0,3.0,0.0,0.0,38.0,83.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21.0,15.0,0.0,85.0,0.0,126.0,211.0
VEN_1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR_1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL_1962,4.0,16.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
ECU_1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YUG_1962,3.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GTM_1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA_1962,3.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
IDN_1962,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWE_1962,61.0,86.0,23.0,9.0,1.0,110.0,97.0,99.0,2.0,5.0,0.0,31.0,3.0,9.0,0.0,0.0,42.0,2.0,30.0,0.0,2.0,1.0,100.0,54.0,0.0,97.0,5.0,102.0,67.0
PAK_1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEN_1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTQ_1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT_1962,3.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
