ID,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29
JPN,1565,629,2569,5292,156,6461,3027,1117,2041,11349,14109,8140,4090,22350,22,1448,19947,2238,5277,121,780,5496,8582,5714,465,8785,542,3890,1308
USA,3775,977,9139,22745,367,18227,6521,1749,11372,75943,114870,49230,15685,113640,183,6584,89767,6673,19732,272,3011,18531,26708,17316,1078,22097,1118,8212,2085,
NLD,2126,764,3120,9343,138,8725,4562,1425,3004,16836,32252,11599,4367,37311,90,1735,35474,2610,5835,65,786,12287,10292,8213,314,13947,518,6341,1768,
DEU,3468,948,6961,20595,393,16392,6377,1720,8756,48870,104579,34590,10261,102203,165,6211,81433,5672,13655,295,2924,18269,22952,16060,1121,21489,1204,8212,2066,
CAN,855,470,941,1799,88,3144,1772,835,555,2393,2659,2560,1216,6110,9,491,7166,868,1539,44,502,2004,3728,2671,197,4824,287,2289,987,
ITA,1605,672,1060,6771,49,6009,3696,1304,809,4257,21347,3267,1166,24193,12,448,23078,1747,1329,9,268,10301,6691,4112,77,10829,205,5481,1676,
FRA,2431,825,3301,11825,191,10298,5238,1565,2695,18843,44991,13856,3421,48826,59,2384,45847,2701,5928,108,1134,15169,12385,9739,479,16915,728,7254,1963,
MEX,8,26,0,0,0,4,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,7,
BEL,107,204,1,72,0,186,273,368,0,0,26,3,0,60,0,0,188,0,0,0,0,147,172,6,0,396,0,420,449,
SUN,479,287,464,777,14,1443,848,447,420,929,871,1175,601,2030,0,80,2477,302,747,1,45,849,1564,789,20,1912,52,974,459,
GBR,1676,742,2067,5806,194,6778,4001,1444,1715,7908,15147,6024,2332,23325,53,1688,23389,2106,3666,87,1062,8571,7848,6884,514,11997,690,5980,1847,
IRL,73,95,13,33,0,133,113,117,0,6,6,29,0,32,0,0,96,0,14,0,0,30,98,31,0,173,0,93,94,
ESP,773,537,264,1954,15,2134,2270,1091,125,624,3158,564,173,5039,0,88,5046,531,238,0,49,4693,1276,1382,23,5445,74,3867,1453,
AUS,268,137,261,318,25,638,328,144,116,446,263,515,172,659,1,93,914,63,345,3,73,146,546,349,47,465,50,276,84,
CHN,468,297,423,714,10,1615,814,459,283,637,703,731,683,2528,6,73,2558,621,637,0,26,566,1867,1160,8,1929,47,918,458,
DNK,558,481,364,854,20,1643,1591,998,120,731,792,936,258,1935,9,92,2956,300,697,4,66,1897,1636,1261,34,3606,96,2849,1367,
BRA,680,535,445,1199,44,2208,1920,1112,289,857,1355,834,611,3213,2,199,4470,789,688,17,178,2466,2253,1740,120,4700,189,3406,1517,
KOR,0,35,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,
THA,405,297,496,323,64,1232,829,452,275,535,121,724,685,775,28,191,1390,376,848,19,270,343,1217,1201,160,1654,174,1027,423,
ECU,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NZL,105,77,64,58,2,183,144,64,5,63,12,73,33,71,0,3,138,23,69,0,7,50,74,128,1,163,6,99,26,
IND,121,104,83,56,5,256,165,117,32,58,10,133,60,77,0,10,198,19,119,0,6,28,242,103,6,198,18,164,74,
COL,12,41,0,0,0,12,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,12,22,
EGY,12,17,0,2,0,10,10,9,0,0,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,5,0,4,2,
POL,48,106,0,10,7,47,114,142,0,0,0,0,0,5,0,0,20,0,0,2,0,18,25,0,9,92,25,143,118,
IDN,56,93,11,9,5,65,122,108,1,1,0,3,2,4,0,3,19,4,4,0,5,16,13,42,6,117,15,133,72,
PHL,17,36,0,4,0,8,28,29,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,12,0,22,12,
GRC,15,59,0,0,0,30,15,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,5,56,
AUT,51,100,6,10,2,60,117,126,0,0,0,2,3,5,0,2,18,9,0,0,2,20,10,26,1,121,8,138,95,
IRQ,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHL,24,135,0,0,0,36,60,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,90,0,80,267,
CHE,21,141,0,0,0,21,63,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,63,0,105,287,
ARG,161,235,115,65,1,443,324,439,11,81,8,189,79,122,0,2,279,15,314,0,3,58,690,161,0,567,7,507,558,
CRI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
