"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"BCA",0.73879961034612,-0.392378955466307,-0.116950531528662,0.163403083098975,-0.143965267559797,0.281323172332859,-0.170084676583199,0.155327744797201,-0.0531428576361062,0.126202242139677,-0.159363820380061,0.0119459163742026,-0.139256168179328,0.00180496588344234,-0.00615263560996941,0.0165703150189078,-0.126591011190951,0.139288805380791,-0.0581096271872463,0.0528182245991645,-0.0363296933236011
"KC",-0.14750075401593,0.160131174039168,0.0515571126858398,0.311643757967268,0.2290864522285,-0.290396107221145,0.128940599184719,-0.0898785165907344,-0.256625291166068,0.323628756166461,-0.408609458000322,-0.0561930337255872,0.12781043493323,-0.148497712690042,-0.0838604482617172,0.0995992066073941,0.333443136520918,-0.224134481880847,-0.279835487194177,0.188032182252141,-0.142026525141488
"KG",0.0213769682346126,0.0327022011831633,0.00329471047952972,0.225592963111807,-0.0683358551471589,-0.245258965280903,-0.0321111695675751,0.0520023439737298,-0.238498948368688,-0.0464082180977631,0.14602706326507,0.413279706910022,-0.0653135525763026,0.266723354858196,-0.190525242618685,0.398961783138064,0.206920662905649,0.159937500934327,0.0449566834095091,0.27092793089798,0.461689449563735
"KI",0.0808615161168336,-0.129436526679494,0.114131828497573,-0.416288290314451,0.126108983748492,0.357611592260347,-0.0670078413235735,0.249802300804126,0.00581576107782974,-0.232343252157979,0.271795548572393,-0.0697284814089736,0.0377293830738395,-0.256711763291943,0.195380314789983,-0.165336548286285,-0.224813834033008,-0.171247068162627,0.420073195575468,0.0906255114754235,0.222659738045642
"LE",-0.900466143710127,-0.261816617636128,0.0785311107989898,0.0191226646036155,0.116075942203623,0.153379874136267,-0.0627155793481307,-0.0566717998663711,-0.13414338312025,0.106906220011723,-0.117051088479973,-0.0948329906031676,0.0345204961890987,-0.0268831263694851,-0.0481323731708087,-0.0152229779151594,-0.0114071691213211,0.045153393109556,-0.0771204182335653,0.0705795902684876,-0.016048744243283
"OPENK",0.16671211921729,0.0354577469517708,-0.163277641924335,-0.0490920764044673,-0.242707093213567,-0.10827871900333,-0.0953265919252817,0.224021872141104,-0.0248176495311883,-0.362893949671533,0.556330739706184,-0.125755884129811,-0.289296105301863,-0.0411582462111805,0.0697299274380441,-0.0689180734200178,-0.17202028194166,0.337322486167981,0.0774641248443895,-0.321869197185717,0.0798357485277379
"POP",-0.900654522237921,-0.280789261341556,0.117725662255673,0.034350462600398,0.106212275460098,0.124054043755358,-0.0271449482912061,-0.0394012203987124,-0.124590022468941,0.121611224344788,-0.135840944951828,-0.0842950747268671,0.0231936423385573,-0.0172223472733551,-0.0368453428150657,-0.01346305268194,-0.00603314223797024,0.0295285419864813,-0.061756992315148,0.0522314165294152,-0.0169004547253947
"RGDPCH",-0.213946727628803,-0.0276278790993941,-0.19611736654087,-0.0771057523693258,-0.228575082028421,0.0293973124560881,-0.131659408755637,-0.0604286599144771,0.421061678646697,-0.131657648182961,0.104919255348879,-0.266789262660043,-0.0445106965522131,0.013498098189525,-0.178765564080246,-0.330303056607824,-0.279140741605858,0.144732727543711,-0.347624460575404,-0.382985026533866,0.220318640025625
"RGDPL",-0.214194235909603,-0.0272081248617904,-0.196157695455245,-0.0762681207010026,-0.228350777964826,0.029062061824149,-0.131849071798161,-0.0606414257567921,0.420965971443598,-0.130321023704051,0.104787151539276,-0.267083508401102,-0.0442908974437397,0.0144332167020438,-0.179608474763626,-0.3282797975515,-0.279799932409593,0.143863554037147,-0.348342126114997,-0.384115102469547,0.220130797370206
"RGDPL2",-0.218252637584347,-0.021720112523422,-0.194833878269732,-0.065997243281228,-0.226295311785704,0.0299080516795773,-0.132606886037874,-0.0634896575908701,0.424298335605226,-0.121605631388284,0.0967332841562207,-0.268677047319133,-0.0414706931713215,0.0199460450061889,-0.189977449682751,-0.322592748590343,-0.276626878385948,0.144094735495798,-0.344529447403951,-0.391775581635788,0.218511619453812
"XRAT",-0.0168597240505182,-0.215417315461571,-0.0205237607436204,-0.333390502675072,0.0260562320656723,0.290226904568644,-0.320877686491867,0.209227169127704,-0.136288436385628,-0.0167188432200514,-0.15365659193724,0.0285109192645454,0.297053650016333,0.0230884759633293,0.289285141267685,0.129463175522983,0.28690994538929,-0.224389944898054,0.370450846311212,-0.321831242404637,0.0641593359437125
"BCAperRGDPL",0.700325233751342,-0.383077427964587,-0.116889818926219,0.0719726626229734,-0.146805635898646,0.289473568251439,-0.23781131425974,0.135572510465861,-0.0666523834577249,0.159204342818661,-0.197528943570718,-0.00392092047497335,-0.179010556751395,0.00519079204206855,-8.89273315655477e-05,0.030552532415387,-0.136471484468467,0.181841924902508,-0.0584581161025699,0.0705535353385165,-0.0419413342728708
"KCxRGDPL",-0.3673445950352,0.0293770835640838,-0.172819982983682,0.0285071385629531,-0.144007567429673,-0.059602179372394,-0.067481291686304,-0.150548998760935,0.426935927216256,0.00566396232335458,-0.122292003499778,-0.330645000733515,0.0214177665582488,-0.154842835776638,-0.233953636323613,-0.225877660764377,-0.0926821920468536,0.0554556298676658,-0.48642955327589,-0.248340891422609,0.187819380200659
"KGxRGDPL",-0.25137717373124,-0.107236918005245,-0.188446235218105,0.0736839673579333,-0.36863263994864,-0.167876080264086,-0.197664452883817,0.0176312765615033,0.306604078407845,-0.226578910478899,0.26065849377432,0.0479679615166807,-0.158727265294303,0.164526411297866,-0.387547031644056,-0.0116126263125903,-0.00358220350689037,0.138948820233139,-0.309760085907416,-0.0623586080790806,0.378913918185441
"KIxRGDPL",-0.120270795958405,-0.0815141099285684,-0.119996477475215,-0.253620087917147,-0.128556430717095,0.150835414157607,-0.14606421665149,0.0929181980913084,0.363892762324548,-0.252356319333387,0.245824325258533,-0.334325729842628,-0.0175949292500253,-0.0192484410422656,-0.0312731096354231,-0.382174026772055,-0.377608242465677,0.0694928917514567,-0.145596562265434,-0.232766834812326,0.303488758879875
"KCxRGDPLxPOP",-0.968533812569754,-0.0916474046268182,0.0210811479969913,-0.00597816805708761,0.0804449605593077,0.0453269744462351,0.000599443491439042,-0.0313635551805387,-0.0510892923054769,0.0991771807287224,-0.0875730224107917,-0.0807813172347189,0.00911695200429316,-0.0507398655988177,-0.0451193368679553,-0.0115134933461002,-0.0123354515327525,0.0442450174283774,-0.0818599807942397,0.0571305342687845,-0.00336214084852038
"KGxRGDPLxPOP",-0.954836927396202,-0.146726085296026,0.071597310314103,0.118565561418186,0.0719917229946827,0.0659431459995954,-0.0612736705879564,-0.0235580320654222,-0.0390591750118594,0.100302695983939,-0.0780225254656703,-0.0601438474164643,-0.00929851350527226,-0.025885747637779,-0.0467197734771097,-0.00387622748735686,-0.00920303890417717,0.033841985162671,-0.0687012424385223,0.0588748633744199,0.00847058918899862
"KIxRGDPLxPOP",-0.916676504595994,-0.16495011210448,0.0289403054165966,-0.152244278178375,0.180119300693541,0.100136525312505,-0.0403577856713934,-0.0037545664999456,-0.0662597035001283,0.0773213999517696,-0.0796901571358252,-0.102364877811821,0.0634769237420637,-0.0501127385512106,-0.0694562927075102,-0.0241121920194991,-0.027973270368482,0.0746058800210078,-0.105874699348663,0.0869554191372302,-0.010158526951935
"RGDPCHxPOP",-0.957412776431861,-0.128171338878803,0.025717975222907,-0.0256729836906921,0.0925182825685333,0.0680487130903672,-0.0162797945091608,-0.0229524669145369,-0.0545799744097199,0.106076914873975,-0.0885669540723459,-0.0880009268985965,0.0189965206300595,-0.0487551680662971,-0.0521098054684096,-0.0141953913206506,-0.0182439995488324,0.0577544866322448,-0.0896292669863279,0.0663926386086458,-0.00678368057068139
"RGDPLxPOP",-0.957474066321408,-0.128204306858125,0.0258163466023253,-0.0249907111021641,0.092451699759954,0.0681806572110317,-0.0164197764735823,-0.0230503787312919,-0.054445479557942,0.106418226572848,-0.0883459391853759,-0.0880213150629501,0.0186369535790597,-0.0485599403546928,-0.0519375975414034,-0.0140770743162745,-0.0181040119498188,0.0574899432338743,-0.0894907736866007,0.0662566110169705,-0.00669529184675139
"RGDPL2xPOP",-0.958512983501036,-0.126765363122108,0.0284530367172839,-0.0167870413932148,0.0896877072597973,0.0698962746841754,-0.0178285616012578,-0.0218291014344706,-0.0530846708652819,0.107607286924965,-0.087899277989504,-0.0874232546508856,0.0165752048868458,-0.047139435891207,-0.0507751867230239,-0.0134545325532501,-0.0172301899051272,0.0558518153941194,-0.0876271349422164,0.064914450420002,-0.00609504213872958
