ID,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29
USA_1962,218.0,74.0,294.0,246.0,57.0,366.0,151.0,58.0,174.0,517.0,171.0,314.0,190.0,403.0,0.0,293.0,381.0,35.0,226.0,37.0,125.0,107.0,232.0,99.0,85.0,173.0,3.0,89.0,24.0
VEN_1962,57.0,23.0,36.0,46.0,0.0,67.0,30.0,10.0,0.0,71.0,17.0,32.0,14.0,41.0,0.0,0.0,56.0,4.0,25.0,0.0,0.0,13.0,23.0,15.0,0.0,20.0,0.0,7.0,2.0
ANT_1962,15.0,6.0,0.0,9.0,0.0,9.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
CAN_1962,5.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KWT_1962,19.0,30.0,7.0,8.0,0.0,28.0,10.0,25.0,0.0,7.0,1.0,0.0,14.0,14.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,10.0,11.0
GBR_1962,237.0,81.0,225.0,378.0,5.0,470.0,197.0,60.0,70.0,599.0,383.0,526.0,139.0,658.0,0.0,36.0,764.0,56.0,205.0,0.0,8.0,165.0,275.0,163.0,3.0,253.0,10.0,98.0,24.0
IRN_1962,12.0,20.0,6.0,5.0,0.0,20.0,0.0,15.0,0.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0
DEU_1962,232.0,79.0,195.0,372.0,18.0,415.0,199.0,59.0,34.0,504.0,391.0,466.0,54.0,543.0,0.0,112.0,672.0,24.0,195.0,4.0,31.0,183.0,228.0,130.0,29.0,255.0,14.0,95.0,24.0
DZA_1962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA_1962,151.0,68.0,60.0,213.0,8.0,234.0,152.0,52.0,9.0,102.0,205.0,112.0,6.0,269.0,0.0,30.0,357.0,6.0,46.0,3.0,10.0,129.0,114.0,78.0,10.0,166.0,11.0,78.0,22.0
JPN_1962,14.0,0.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD_1962,143.0,72.0,56.0,189.0,2.0,264.0,145.0,57.0,17.0,93.0,147.0,40.0,45.0,346.0,0.0,12.0,346.0,49.0,26.0,0.0,4.0,109.0,136.0,91.0,0.0,177.0,4.0,82.0,24.0
IRQ_1962,3.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ITA_1962,76.0,36.0,7.0,102.0,0.0,110.0,43.0,26.0,0.0,9.0,84.0,36.0,0.0,130.0,0.0,0.0,93.0,0.0,3.0,0.0,0.0,37.0,82.0,0.0,0.0,45.0,0.0,14.0,11.0
SYR_1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAU_1962,29.0,26.0,0.0,25.0,0.0,43.0,12.0,19.0,0.0,0.0,12.0,0.0,0.0,42.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,6.0,0.0,8.0,7.0
BEL_1962,29.0,34.0,0.0,13.0,0.0,35.0,28.0,26.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,25.0,0.0,14.0,11.0
LBN_1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA_1962,5.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWE_1962,14.0,16.0,1.0,2.0,0.0,18.0,6.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,2.0
SUN_1962,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN_1962,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_1962,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
