# PPI   Metabolic Trade-full Trade-thresh
0.002257 0.001777 0.000206 0.005068
0.000338 0.000103 0.000324 0.00367
0.01426 0.005882 0.00046 0.007424
0.018494 0.031634 0.003496 0.024037
0.00059 0.000202 0.000069 0.00037
0.00844 0.003456 0.005219 0.030638
0.001708 0.000471 0.007285 0.019261
0.000338 0.000037 0.008486 0.011632
0.094555 0.026442 0.001201 0.008762
0.26065 0.175072 0.006846 0.049114
0.236673 0.592456 0.053518 0.10427
0.075395 0.03231 0.014734 0.042558
0.035365 0.006171 0.001561 0.016749
0.115923 0.077188 0.05808 0.156366
0.001673 0.000177 0.000043 0.000093
0.026233 0.011052 0.002081 0.004366
0.046104 0.022057 0.120264 0.145614
0.005154 0.000908 0.002418 0.017044
0.019682 0.003654 0.007873 0.022643
0.00123 0.001584 0.00043 0.000276
0.00611 0.000851 0.001088 0.002231
0.004089 0.00294 0.095415 0.053333
0.008597 0.001422 0.067632 0.065422
0.007981 0.001232 0.025879 0.03767
0.001607 0.000238 0.001208 0.001188
0.004372 0.000526 0.155835 0.089874
0.000728 0.000078 0.005061 0.003059
0.001182 0.000071 0.181056 0.051087
0.000272 0.000011 0.172233 0.02618
