"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"sig_1",-0.0241407310733882,0.0236213884950305,0.0135940212227918,0.0165266194543051,-0.00394310821318104,-0.00230769693085912,-0.0241324644058554,-0.0191443660853651,-0.00585265657198543,-0.00527862757085151,-0.00234358823760458,-0.00119255876909516,-0.000101788711688411,-0.000829944871314925
"sig_2",-0.0426009141248841,0.0798215927551877,0.0262442950032096,0.00335139120257659,-0.00452194308657691,-0.00536961939161957,-0.0131782960530829,-0.0185912655971048,-0.00522366549487525,-0.004152286982295,-0.000767615559656989,-0.00136741493595891,9.82318337457869e-06,-0.000574644247303251
"sig_3",-0.0433523544631845,0.0178813505451255,0.0238734414708526,0.0181390681354141,-0.00740466050892453,-0.000660414912512438,-0.0211762648970383,-0.0165371578882867,-0.0059939317660312,-0.00476995718830147,-0.00255665933080456,-0.00110491994610611,-3.06691625045165e-05,-0.000779896252998251
"sig_4",-0.00500691232691375,0.00812517097658403,-0.00234903435542384,0.0121976189676724,-0.00153062770974605,-0.00111411201169076,-0.0296995591318671,-0.0164106121627673,-0.00640993066772219,-0.00610277280076593,-0.0027330103351821,-0.0012577447453989,-0.000163511937803341,-0.000950595415890001
"sig_5",-0.0579196362491496,0.0366005463086811,0.0269205163029319,0.00886168006640076,-0.0107041415986861,-0.00187856906942401,-0.0134810597120696,-0.0176587675980366,-0.00451367716075585,-0.00343305356536196,-0.00198520425477481,-0.00117056626852081,9.49564646394646e-05,-0.000666642477152281
"sig_6",-0.0107276346579718,0.0298488025878635,0.00663152904906198,0.00924914235607784,-0.0031118631552417,-0.00244386562184176,-0.0248772749320264,-0.0171748071165896,-0.00594786006281811,-0.00596461723563899,-0.00248103461916605,-0.00183179988501009,-8.75431367017197e-05,-0.000870142431692836
"sig_7",-0.0149679221522128,0.0474020596164753,0.0118836281167355,0.00439429025918248,-0.00393240778525834,-0.00165396464395128,-0.0208371596362815,-0.0173766917323445,-0.00531514994578597,-0.00548938509530444,-0.00205341590671276,-0.00185187808778639,-5.93657070093039e-05,-0.000752125457040949
"sig_8",-0.036342381796606,0.0872424109493972,0.0242525820694049,-0.001700768703285,-0.00454796343731211,-0.00284218867086753,-0.0117770813178803,-0.0169159538729865,-0.0036231701277809,-0.00441228444604053,-0.00123012554569074,-0.00160148974184074,2.15687773802273e-05,-0.000501643830893135
"sig_9",-0.0455307163827973,0.00312414818037331,0.0305720093764867,0.0190561923741402,-0.00689043963447768,-0.000688338511252006,-0.022014250760485,-0.0142059510264546,-0.00612872480248279,-0.00472255768468852,-0.00272039077542646,-0.000404001921420506,-2.1614491611607e-05,-0.000824346592325952
"sig_10",-0.014670416824843,0.00818429416290829,0.00266368960120045,0.0137129648170432,-0.00243369819361976,-0.000318764094162768,-0.0287436708234924,-0.0160276684643846,-0.00642217833926615,-0.00593341293768536,-0.00275671862812212,-0.00128054899663662,-0.00013371561689379,-0.000926062428171032
"sig_11",-0.00120671427343512,0.0018140091806155,-0.00584671496680848,0.0116358048401697,-0.00127609858459694,-0.000622740964127274,-0.0309538718282384,-0.0158084503190096,-0.00646089389172144,-0.00596526980579397,-0.00268368694562432,-0.00114317345612131,-0.000193559967068697,-0.000930490335072377
"sig_12",-0.0063710126520796,0.0159222339580513,-0.000900287807983896,0.01094542847596,-0.0023609312406581,-0.000928054085477221,-0.0287111775338139,-0.0160370625839986,-0.00619367153385822,-0.00602774770126655,-0.0026634410373113,-0.0016090622565286,-0.00012573064717555,-0.00089967963840922
"sig_13",-0.0275968393148867,0.0219065589640879,0.0184116850952568,0.0139217473040987,-0.00716963641754703,-0.00242745280750353,-0.0226946209342352,-0.0166285895271502,-0.00638473589245746,-0.00558334981102635,-0.00267606750778308,-0.00145053958575447,-4.2632410360727e-05,-0.000882212297463432
"sig_14",-0.00314965881598565,0.00962636277107998,-0.00384555814789581,0.0111063619063367,-0.00161726403717501,-0.0013147207977772,-0.0298171175683074,-0.0160788268219013,-0.006327513410303,-0.00604570415175805,-0.00271360549856883,-0.00142194252033406,-0.000165359192964667,-0.000917912810254341
"sig_15",-0.0544047547961567,0.0235468140501107,0.0387558569383647,0.0157141157756037,-0.0177806923666259,-0.00223696355246485,-0.0108380717768501,-0.0110015456410015,-0.00477046772034599,-0.00336935502174571,-0.00196420766717209,-0.00067160738339727,0.000114244212559645,-0.000572980593907773
"sig_16",-0.0324948437267477,0.0186678850385986,0.0108539303897893,0.0121076211054104,-0.00515376835606915,-0.00175141430097015,-0.0245955301005267,-0.0161887135211229,-0.00561121418077744,-0.00544520429614784,-0.00264419323627573,-0.00139395465761738,-6.49939443797966e-05,-0.000847518452288046
"sig_17",-0.00419243761214134,0.016836305540941,-0.00177740565949755,0.0100089332648148,-0.00213882523555364,-0.00130327091885812,-0.0288132004538534,-0.0160229050832869,-0.00607333729161717,-0.00604030170561501,-0.00265281054113819,-0.00157970193696843,-0.000125351625703068,-0.000902195687931552
"sig_18",-0.0104422039868064,0.0299693190339654,0.00268215573398041,0.00870159505015926,-0.002977313278688,-0.0033545154975907,-0.023390226500257,-0.0167954186909159,-0.00573148364746184,-0.00585394870323612,-0.00256681314011463,-0.00194711528721797,-9.30594259344517e-05,-0.000857922243374994
"sig_19",-0.0122456462859324,0.0379742961434153,0.00771907524980003,0.00692392389828898,-0.00406044992683629,-0.00227442011768737,-0.0224213002211772,-0.0161288916007925,-0.0052162686405442,-0.0056284247421321,-0.00239769211169497,-0.00196429057535985,-9.97186805579333e-06,-0.000820709506138473
"sig_20",-0.0329020173044324,0.0280880758190787,0.0103943325134605,0.00814108008460411,-0.00553474395516187,-0.00167926419904425,-0.0211068656615069,-0.0169717727488938,-0.00504373766514233,-0.00532895761611106,-0.00227214953005887,-0.00164442449712022,-1.35833817136368e-05,-0.000851245872038241
"sig_21",-0.028017261791614,0.0453852237889584,0.00996138613951578,0.0064898762245507,-0.0078064337049852,-0.00224350987532304,-0.0153319168255314,-0.0143635986810734,-0.00443511708979155,-0.00480201940667834,-0.00224364787859193,-0.00170639476532559,6.23801233412905e-05,-0.000746004269021515
"sig_22",-0.00465865277050862,0.0199749131812855,-0.000863510707731531,0.00918271044018102,-0.00238135061504434,-0.00103903003881831,-0.0281199303482538,-0.0161111893208086,-0.00594017933291588,-0.00603931576387443,-0.00255257920412641,-0.00164923934687515,-0.000104233406733494,-0.000901809250222819
