"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"A1CF",-0.0497902268062457,-0.0743427545341198,-0.0487899467375139,-0.0244113706004763,-0.0533128936171865,-0.0332054871725392,-0.0379550652471985,-0.0582329673037449,-0.0431074092294303,-0.0277522647286367,-0.0196191552088864,-0.0251020958981313,-0.0403503218952969,-0.0223648395249853,-0.0495891076520406,-0.0353779116976038,-0.024017670112665,-0.0308511050822867,-0.032155152367076,-0.0361766483996007,-0.0369701618373169,-0.0246913987403176,-0.029618683868272,-0.0305817796458125,-0.0351868924987599,-0.0320585549529862,-0.0360717533697409,-0.0388038473449964,-0.0522730097229947
"AACS",-0.0497902268062457,-0.0743427545341198,-0.0487899467375139,-0.0244113706004763,-0.0533128936171865,-0.0332054871725392,-0.0379550652471985,-0.0582329673037449,-0.0431074092294303,-0.0277522647286367,-0.0196191552088864,-0.0251020958981313,-0.0403503218952969,-0.0223648395249853,-0.0495891076520406,-0.0353779116976038,-0.024017670112665,-0.0308511050822867,-0.032155152367076,-0.0361766483996007,-0.0369701618373169,-0.0246913987403176,-0.029618683868272,-0.0305817796458125,-0.0351868924987599,-0.0320585549529862,-0.0360717533697409,-0.0388038473449964,-0.0522730097229947
"AAGAB",-0.0497902268062457,-0.0743427545341198,-0.0487899467375139,-0.0244113706004763,-0.0533128936171865,-0.0332054871725392,-0.0379550652471985,-0.0582329673037449,-0.0431074092294303,-0.0277522647286367,-0.0196191552088864,-0.0251020958981313,-0.0403503218952969,-0.0223648395249853,-0.0495891076520406,-0.0353779116976038,-0.024017670112665,-0.0308511050822867,-0.032155152367076,-0.0361766483996007,-0.0369701618373169,-0.0246913987403176,-0.029618683868272,-0.0305817796458125,-0.0351868924987599,-0.0320585549529862,-0.0360717533697409,-0.0388038473449964,-0.0522730097229947
"AAMP",-0.0497902268062457,-0.0743427545341198,-0.0487899467375139,-0.0244113706004763,-0.0533128936171865,-0.0332054871725392,-0.0379550652471985,-0.0582329673037449,-0.0431074092294303,-0.0277522647286367,-0.0196191552088864,-0.0251020958981313,-0.0403503218952969,-0.0223648395249853,-0.0495891076520406,-0.0353779116976038,-0.024017670112665,-0.0308511050822867,-0.032155152367076,-0.0361766483996007,-0.0369701618373169,-0.0246913987403176,-0.029618683868272,-0.0305817796458125,-0.0351868924987599,-0.0320585549529862,-0.0360717533697409,-0.0388038473449964,-0.0522730097229947
"AANAT",-0.0497902268062457,-0.0743427545341198,-0.0487899467375139,-0.0244113706004763,-0.0533128936171865,-0.0332054871725392,-0.0379550652471985,-0.0582329673037449,-0.0431074092294303,-0.0277522647286367,-0.0196191552088864,-0.0251020958981313,-0.0403503218952969,-0.0223648395249853,-0.0495891076520406,-0.0353779116976038,-0.024017670112665,-0.0308511050822867,-0.032155152367076,-0.0361766483996007,-0.0369701618373169,-0.0246913987403176,-0.029618683868272,-0.0305817796458125,-0.0351868924987599,-0.0320585549529862,-0.0360717533697409,-0.0388038473449964,-0.0522730097229947
"AASDHPPT",-0.0497902268062457,-0.0743427545341198,-0.0487899467375139,-0.0244113706004763,-0.0533128936171865,-0.0332054871725392,-0.0379550652471985,-0.0582329673037449,-0.0431074092294303,-0.0277522647286367,-0.0196191552088864,-0.0251020958981313,-0.0403503218952969,-0.0223648395249853,-0.0495891076520406,-0.0353779116976038,-0.024017670112665,-0.0308511050822867,-0.032155152367076,-0.0361766483996007,-0.0369701618373169,-0.0246913987403176,-0.029618683868272,-0.0305817796458125,-0.0351868924987599,-0.0320585549529862,-0.0360717533697409,-0.0388038473449964,-0.0522730097229947
"AATF",-0.0497902268062457,-0.0743427545341198,-0.0487899467375139,-0.0244113706004763,-0.0533128936171865,-0.0332054871725392,-0.0379550652471985,-0.0582329673037449,-0.0431074092294303,-0.0277522647286367,-0.0196191552088864,-0.0251020958981313,-0.0403503218952969,-0.0223648395249853,-0.0495891076520406,-0.0353779116976038,-0.024017670112665,-0.0308511050822867,-0.032155152367076,-0.0361766483996007,-0.0369701618373169,-0.0246913987403176,-0.029618683868272,-0.0305817796458125,-0.0351868924987599,-0.0320585549529862,-0.0360717533697409,-0.0388038473449964,-0.0522730097229947
"ABCF3",-0.0497902268062457,-0.0743427545341198,-0.0487899467375139,-0.0244113706004763,-0.0533128936171865,-0.0332054871725392,-0.0379550652471985,-0.0582329673037449,-0.0431074092294303,-0.0277522647286367,-0.0196191552088864,-0.0251020958981313,-0.0403503218952969,-0.0223648395249853,-0.0495891076520406,-0.0353779116976038,-0.024017670112665,-0.0308511050822867,-0.032155152367076,-0.0361766483996007,-0.0369701618373169,-0.0246913987403176,-0.029618683868272,-0.0305817796458125,-0.0351868924987599,-0.0320585549529862,-0.0360717533697409,-0.0388038473449964,-0.0522730097229947
"ABHD1",-0.0497902268062457,-0.0743427545341198,-0.0487899467375139,-0.0244113706004763,-0.0533128936171865,-0.0332054871725392,-0.0379550652471985,-0.0582329673037449,-0.0431074092294303,-0.0277522647286367,-0.0196191552088864,-0.0251020958981313,-0.0403503218952969,-0.0223648395249853,-0.0495891076520406,-0.0353779116976038,-0.024017670112665,-0.0308511050822867,-0.032155152367076,-0.0361766483996007,-0.0369701618373169,-0.0246913987403176,-0.029618683868272,-0.0305817796458125,-0.0351868924987599,-0.0320585549529862,-0.0360717533697409,-0.0388038473449964,-0.0522730097229947
"ABI2",0.317477696185908,0.144624347308136,0.302203458150266,-0.00643713505269283,0.201935741786305,0.0123018218832916,-0.0291560330076413,-0.0430425683157549,0.140484643848471,0.00900652384758684,-0.0189846441499858,-0.011590023620209,0.0928139049347089,-0.0193166100113827,0.320429197710422,0.0201649579010284,-0.0231126791215784,-0.0248667263602923,-0.0225987588007082,-0.0163145733583844,0.0469307853036422,-0.0246913987403176,-0.0239485795946222,-0.0293420907529998,-0.0231312203566127,-0.0314404262955997,-0.0360717533697409,-0.0388038473449964,-0.0522730097229947
