"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"YAL001C",-0.117147671845612,-0.218034588270094,-0.0705614160303558,-0.055620561487568,-0.12948545568288,-0.114445973211433,-0.171769039892556,-0.175598474364317,-0.0460972467657431,-0.0399746888647795,-0.0432054757113703,-0.0568228907859714,-0.0697268032363675,-0.0556770355992261,-0.0736564078256602,-0.0573474249714254,-0.076383994458738,-0.0946223736516895,-0.0875142512288521,-0.0652217309886347,-0.0978929322451597,-0.0936521235072837,-0.110750675541544,-0.128981971372761,-0.123049036849356,-0.148390130833808,-0.145117720779847,-0.149586969208156,-0.149614399857265
"YAL002W",-0.120566857915504,-0.222957052713236,-0.0708305384299008,-0.0556672187865135,-0.129711862221628,-0.114774503931891,-0.172914460554247,-0.175963245691796,-0.0461173221873018,-0.0399784951280146,-0.0432057736897633,-0.0568308159672382,-0.0697803506464525,-0.0556784812979847,-0.0736885024561517,-0.0573548674274036,-0.0764072243260288,-0.094673641976336,-0.0875566484830996,-0.0652217309886347,-0.0979229726269351,-0.0938056198378181,-0.110792560311653,-0.129004445879087,-0.12305604412653,-0.148433272877816,-0.145123254395652,-0.149732637628014,-0.149625617105153
"YAL003W",-0.109727805476254,-0.185800385626295,-0.0700331757814346,-0.0555702938023945,-0.122617790674187,-0.112281190428418,-0.164351971673407,-0.17026129388858,-0.0460898608963635,-0.0399725718574182,-0.0432055145781172,-0.0567602043897857,-0.0696632241595829,-0.0556680137069731,-0.0732833077461963,-0.0572537107808439,-0.0762462675886497,-0.0943873132198197,-0.0872223624399944,-0.0649510565444604,-0.0972086791047197,-0.0934915114528173,-0.110400814520641,-0.127845071345838,-0.121409333990505,-0.147236081156617,-0.142295576719517,-0.148321474810639,-0.149078776270621
"YAL007C",-0.0960278014275016,-0.196121682039334,-0.0673789686216092,-0.0547826741606713,-0.124127167599175,-0.109484768224523,-0.167487795452136,-0.173717022254165,-0.0458061335098736,-0.0398364598841307,-0.0431843710678003,-0.0563791402228587,-0.0690026253511159,-0.0555023622492159,-0.0730546335039443,-0.0570017304855848,-0.0759088027382994,-0.0936869685586111,-0.0867391424524815,-0.0648387554452818,-0.0970684906564345,-0.0933786764018947,-0.109953222369486,-0.128120190302592,-0.122414878265057,-0.147665012632611,-0.144603094510022,-0.149389709889599,-0.149462967010779
"YAL008W",-0.121171611914261,-0.229626198087815,-0.070838542070036,-0.0556672187865135,-0.129825065491002,-0.114846858911991,-0.173167955290851,-0.176711986837673,-0.0461173221873018,-0.0399784951280146,-0.0432057736897633,-0.0568308159672382,-0.0697808928987066,-0.0556784812979847,-0.0736885024561517,-0.0573548674274036,-0.0764072243260288,-0.0946746093032161,-0.0875582791467245,-0.0652217309886347,-0.0979296482673296,-0.0938056198378181,-0.110802826186679,-0.129010645742901,-0.123066555042292,-0.148458992173281,-0.145139855243066,-0.149750846180497,-0.149687311968536
"YAL010C",-0.120334260223675,-0.227561938805207,-0.070790520229225,-0.0556655524544083,-0.129825065491002,-0.114770592851885,-0.173083457045316,-0.176654391364913,-0.0461157507257316,-0.0399783936276617,-0.0432057736897633,-0.056829028332366,-0.0697737080563407,-0.0556783897980632,-0.0736764669697174,-0.0573548674274036,-0.0764064467572492,-0.0946697726688155,-0.0875536589331206,-0.0652217309886347,-0.0979296482673296,-0.0938056198378181,-0.110799951741672,-0.129005995845041,-0.123066555042292,-0.148454014245127,-0.145139855243066,-0.149750846180497,-0.149687311968536
"YAL011W",-0.108727635401387,-0.158171069074467,-0.0695179414477331,-0.0555447433767815,-0.126881780487277,-0.111389464187176,-0.166764866018117,-0.157225518553955,-0.0459922338463181,-0.0399595870622676,-0.0432051777329774,-0.0567215318887168,-0.069223999833822,-0.0556523855203928,-0.0734959346732026,-0.0572678362585166,-0.0762840768705582,-0.0941609587298711,-0.0870995191135851,-0.0651670201967272,-0.0975747267196868,-0.0937242972785946,-0.109289225572771,-0.128658028488471,-0.122456921928104,-0.147307431460167,-0.144343014567208,-0.1478996433448,-0.144838656569025
"YAL012W",-0.120334260223675,-0.227561938805207,-0.0708245356997994,-0.0556599980140576,-0.129825065491002,-0.114762770691874,-0.173083457045316,-0.176596795892153,-0.0461173221873018,-0.0399783501275104,-0.0432057451874822,-0.056829028332366,-0.0697808928987066,-0.0556779322984561,-0.0736885024561517,-0.0573548674274036,-0.0764054747962747,-0.0946746093032161,-0.0875563767058288,-0.0652217309886347,-0.0979296482673296,-0.0938056198378181,-0.110793792216656,-0.129009095776948,-0.123066555042292,-0.148454014245127,-0.145139855243066,-0.14974781142175,-0.149684507656564
"YAL013W",-0.116612697154404,-0.191993163474118,-0.0706514569818764,-0.0556527772416018,-0.128843970489761,-0.113734156650442,-0.16971291591788,-0.168610223669467,-0.046114414983397,-0.0399778498757709,-0.0432057659164139,-0.0568132375576614,-0.0697411729210991,-0.0556769257993204,-0.073672455140906,-0.0573484881794223,-0.076382925301666,-0.0945740073076834,-0.0874726693064171,-0.0652130924425441,-0.0978395271220034,-0.0937730908141287,-0.110489922315871,-0.128783575730707,-0.12288786947434,-0.147801076002172,-0.144691632362895,-0.149095338291135,-0.148206635247343
"YAL014C",-0.120915754453248,-0.228832252209889,-0.0708325393399346,-0.0556669410644959,-0.129825065491002,-0.114829259051967,-0.173139789209006,-0.176692788346753,-0.0461173221873018,-0.0399784806279642,-0.0432057736897633,-0.05683069679158,-0.069780486209516,-0.0556784812979847,-0.0736885024561517,-0.0573548674274036,-0.0764071271299313,-0.094673641976336,-0.0875577355921828,-0.0652217309886347,-0.0979296482673296,-0.0938056198378181,-0.110802415551678,-0.129009095776948,-0.123066555042292,-0.148458162518589,-0.145139855243066,-0.149750846180497,-0.149687311968536
"YAL015C",-0.119496908533089,-0.227720727980792,-0.070770511128887,-0.0556458341911634,-0.129711862221628,-0.114725615431823,-0.172980181411885,-0.176673589855833,-0.0461157900122709,-0.0399776323750146,-0.043205625996125,-0.0568270023461774,-0.0697773682590554,-0.0556775845987547,-0.0736885024561517,-0.0573522853508397,-0.0764005177953046,-0.0946726746494559,-0.0875523000467665,-0.0652217309886347,-0.0979218600202026,-0.0937974875818957,-0.110799541106671,-0.12900134594718,-0.123063051403705,-0.148452354935742,-0.145134321627261,-0.149749328801123,-0.149687311968536
"YAL017W",-0.112356159393926,-0.22581525787377,-0.0702742854405066,-0.0552023121291634,-0.128089282027267,-0.114086153850932,-0.172876905778454,-0.176654391364913,-0.0460988968003918,-0.0399538160422007,-0.0431888692459756,-0.0567850525145095,-0.0697493067049095,-0.0556354397349439,-0.0736564078256602,-0.0572652541819528,-0.0763745664372852,-0.0946146350366485,-0.087512892342498,-0.0649625746059147,-0.097830626268144,-0.093798504113886,-0.110783526341629,-0.128978871440854,-0.122957942246086,-0.148445717698202,-0.145128788011457,-0.149750846180497,-0.149687311968536
