"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"sig_1",-0.818910952284946,-0.189682614655217,-0.337097514945132,-0.0361101350852815,0.0519016360197186,0.113510590324857,0.08786154622848,-0.0894523900160829,-0.0923215300960649,0.196640729566689,0.0105143235844104,-0.0993994471016473,-0.0769035857757024
"sig_2",-0.932832554187894,-0.185312489088757,-0.238937326394133,-0.0369983435027195,0.0526184735340723,0.0231092392126111,0.0999463363288718,-0.0183524056529354,-0.103472131237464,0.142520086934797,0.00248567742309982,-0.0395713135940007,-0.0313807298441162
"sig_3",-0.601847146549718,-0.195868934404758,-0.24826980091773,-0.067688536379293,0.0617839220114943,0.225787674772084,0.157027358913473,-0.0455989151204947,-0.131295088359525,0.157916893746075,-0.0961371168500015,-0.105538605324245,-0.169558135744463
"sig_4",-0.669913518348696,-0.209105964588682,-0.269137328353039,-0.0720387601982235,-0.00185864710036895,0.157301940878409,0.0894141257623925,-0.10504320667533,-0.12101943165146,0.168776294838037,-0.0444884112768655,-0.147508774805869,-0.12733132498885
"sig_5",-0.761260134884046,-0.27907013978739,-0.248214820201539,-0.0277226338701495,0.022359215354579,0.0998591179952671,0.160021626989968,-0.0612910727348103,-0.160112395894998,0.192416911956534,-0.00343906950415999,-0.0848714488180826,-0.0669569154440545
"sig_6",-0.751567734913167,-0.239354022002018,-0.272439247193905,-0.072038353701385,0.0397141736293793,0.100632276240152,0.128540426924758,-0.0829055052191637,-0.122476023699455,0.18728215393377,-0.0211714076121812,-0.108982176729218,-0.0998991410299428
"sig_7",-0.839303751393731,-0.27639080867529,-0.254581011118294,-0.0699154499510356,0.0253437122604793,0.00723751118987599,0.12663394224303,-0.0558173246932713,-0.151717939034976,0.194294880825051,0.0219813601368313,-0.085636738747865,-0.0417252690739456
"sig_8",-0.906131232835141,-0.276561394549033,-0.210845676810524,-0.0771203476732198,0.029370581310671,-0.0233289823963201,0.136230733605737,-0.00882339103758359,-0.135031518772483,0.160213162507546,0.00210553958759878,-0.0386138277230544,-0.0256913813190391
"sig_9",-0.39257250863464,-0.14963740214096,-0.144492360893881,-0.0651324975517324,0.0331613634750056,0.27086782897169,0.195317162707377,0.0713658315274709,-0.187631909841716,0.0799721412174001,-0.191758496157714,-0.0743477254478673,-0.208035670961642
"sig_10",-0.436228893865491,-0.161662493114158,-0.156949164686318,-0.0740208285520039,0.00100687783561894,0.238632979715159,0.166565799494088,0.0321216891811266,-0.181529016289407,0.0887924346019901,-0.144415452741815,-0.091839439438716,-0.168002948186117
