"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"sig_1",-0.44138753874283,-0.0399567072152109,-0.0306438864890587,-0.00189715982560586,0.001866133096921,0.00279137413738429,0.00098104150894226,-0.000324187408507584,-7.48451955815079e-05,0.000106202050223243,6.98988634118194e-07,-1.17253063589321e-06,-6.09264177538204e-06
"sig_2",-0.505434908247228,-0.0378862203301783,-0.0199845322400001,-0.00190976691216616,0.00202069445431647,0.000671648931645315,0.000942230438139902,-8.53798274616217e-05,-8.93955879670203e-05,8.13260498755485e-05,-7.12042767226389e-08,-4.86568896392435e-07,-4.53881870110604e-07
"sig_3",-0.324791588613672,-0.0429006946468311,-0.021105200285831,-0.00372684551341798,0.00262167978447829,0.0063030023919077,0.00160490679955473,-0.000164990193760507,-0.000103955065619639,8.50657911662004e-05,-4.54512714282649e-06,-1.33065149691472e-06,-9.72730720590461e-06
"sig_4",-0.362012160247897,-0.0451408273849672,-0.0232869077138929,-0.00454126276237012,-0.000219885512920186,0.00429965881051586,0.00056378684667154,-0.000404689659664051,-0.000105382454662515,9.65315344554813e-05,-2.0238943041268e-06,-1.59313872476191e-06,-7.85005207835083e-06
"sig_5",-0.411176114515425,-0.0618810020303582,-0.0213077654755901,-0.000709400590375617,0.000989321149542695,0.00255880647052658,0.0014227061722669,-0.00025873664695853,-0.000135010822799806,0.000114647075231508,-1.97390773295109e-07,-1.11851765610658e-06,-3.71596790925532e-06
"sig_6",-0.405766539047981,-0.0519666338046251,-0.0236808085862664,-0.00405578807276616,0.00164127730699103,0.00268080424999786,0.00118886772158271,-0.000319987031860535,-8.50420395758628e-05,9.42679948277513e-05,-1.82489667543135e-06,-1.50698180017654e-06,-7.12734553577594e-06
"sig_7",-0.452477516146797,-0.0604455179239878,-0.0227566906792895,-0.00365451804281487,0.00106444433742058,0.000160406488309451,0.00104929027525291,-0.000169762497194739,-0.000142201408121354,9.238279718859e-05,7.01768931001214e-07,-1.09133292491248e-06,-2.53733430767926e-06
"sig_8",-0.489675133977061,-0.0614577023217781,-0.0184331479713316,-0.00425872419996993,0.00131846422362296,-0.000623823800178972,0.00115883843066507,1.6139560796144e-05,-9.73800343575739e-05,7.58254137089537e-05,1.14844768110456e-06,-5.03565995423277e-07,5.32796593076352e-07
"sig_9",-0.212026065128185,-0.0321459793147149,-0.012654624062474,-0.00351780509308265,0.00101011233871258,0.00726687926723853,0.0018173608866048,0.000286770072670254,-0.00015719454472113,4.42216749367092e-05,-9.89922024562921e-06,-9.40072392554348e-07,-1.1700555168856e-05
"sig_10",-0.235598148946088,-0.0345309425069831,-0.0136365431815504,-0.00420042128618758,0.000111554237274453,0.00611409360826293,0.00154617109200557,0.000103679212274509,-0.00014316464344967,4.91796968769332e-05,-8.03149234742435e-06,-1.06088299462898e-06,-1.053799193975e-05
"sig_11",-0.279105196502028,-0.0402524536013961,-0.0156400459712864,-0.00441470831439719,-0.00165926376683416,0.00491986937426781,0.00110210081650653,-0.000317956040198024,-0.000130151409802445,4.25453173684079e-05,-6.7378985006182e-06,-1.9983046035101e-06,-1.03087927657831e-05
"sig_12",-0.296789663990839,-0.0441304377133195,-0.0156731068193822,-0.00396914033124873,-0.000313380539631403,0.00427388482301748,0.00150485088084598,-2.70206230697357e-05,-0.000133616603641061,6.95237241775703e-05,-4.41216734215104e-06,-1.44838256891967e-06,-7.59219872030264e-06
"sig_13",-0.230801706957958,-0.0341535931111699,-0.0136497985066022,-0.00496027852880585,0.00336710527440051,0.00655287242124704,0.00188366221574333,9.68447513211806e-05,-0.000158133621898344,4.19109690192506e-05,-1.12234771607367e-05,-8.92329681414869e-07,-1.35943631513233e-05
"sig_14",-0.305178733410265,-0.043045889308539,-0.0171612798129451,-0.00516968484919489,-6.23597615662658e-05,0.00425564710658104,0.00122137319986975,-0.000226209432860942,-0.000125777353146204,6.94732279099185e-05,-5.94419830551806e-06,-1.94804681512806e-06,-1.01450342322614e-05
"sig_15",-0.289307378462571,-0.0462969920215428,-0.0166303351617618,0.0013584815630403,-0.000486259616564346,0.00728875825637817,0.00197089937720022,0.000322783315885225,-0.000118288844039446,7.31240557659308e-05,-1.05604356200167e-05,-7.91521136521422e-07,-1.16999518451137e-05
"sig_16",-0.306044842814076,-0.0485035529985928,-0.0158108772293875,-0.00248116028329831,-0.000104801988855932,0.0056857229856466,0.00187196900421564,-1.1545084695438e-05,-0.000158439938094718,5.55647306828414e-05,-6.65563902117164e-06,-1.12216196144304e-06,-8.82947278521457e-06
"sig_17",-0.35616237131605,-0.0530050664684749,-0.0177927724268118,-0.00434633228910493,-8.84665314021549e-05,0.00230434228591633,0.00129217254357131,-0.000340679418648976,-0.000131629657528172,7.67587032572289e-05,-2.34922890437298e-06,-1.73774423950629e-06,-6.20725421336676e-06
"sig_18",-0.290827205805071,-0.0387735515678755,-0.0184133331021169,-0.00616335498425071,0.00321798977114605,0.00609269411314724,0.00170597440696112,-7.46777573137883e-05,-0.000117032317949394,7.04392258964904e-05,-1.0386857076192e-05,-1.34946546792903e-06,-1.49282748827997e-05
"sig_19",-0.329808702694567,-0.0492162372631639,-0.0170746210211194,-0.00498373546384935,0.00189041042999219,0.00372551302310425,0.0017125336286488,-0.00012915893762609,-0.000147020753181922,7.53737435145657e-05,-5.10279091650011e-06,-1.32514744240508e-06,-8.63888194520566e-06
"sig_20",-0.363830057895866,-0.0590876176714136,-0.0161948870423036,-0.00279223154939892,-0.00137510972601856,0.00337153956072692,0.00182802680899767,-9.86012235067813e-05,-0.000164525267996795,7.32864192850482e-05,-2.99683725641312e-06,-1.18451610878804e-06,-5.1388154351039e-06
