"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",0.0948091969757041,-0.0670356916942617,-0.0225647194463503,0.00964196336849641,-0.0182879265603327,0.0368009589038566,0.00358249735631019,0.000537905618104343,-2.65415325147292e-05,-9.02918454322074e-06,-2.24527903140886e-07,-1.59288952848568e-09,5.63066868404193e-14
"X.E.",0.0579127948652987,-0.0615477206989012,-0.00490873596711583,-0.01565482008822,-0.00605117924406748,-0.0080683240935623,0.000734807562553428,0.00361841012836308,0.000868042478342375,-0.000796933586048934,2.26210553260982e-05,-2.44402987393769e-05,4.49644711525511e-14
"X.O.",0.104102534665489,-0.0872998458943572,-0.0302887182340786,-0.0177161942096258,-0.0119819853550122,-0.0108534743281415,-0.010808118051165,-0.00726973177554822,1.45040564948897e-05,-0.000131187647993544,-3.35546740073028e-07,-4.66707333923313e-08,8.22587001970925e-14
"X.B.",0.0423225178542114,0.0169204861779212,0.0616141665541459,-0.0017993860975496,-0.00481229415398233,-0.00431822655266494,0.0244869123082846,-0.00338130619940106,0.000242842838931846,-0.000103804727811737,2.646133561419e-07,2.96130461846897e-08,8.40723884176208e-14
"X.C.",0.0620774080694442,-0.0286155250229258,-0.0142856087893673,-0.0356565093604241,0.0500968762813117,0.00841025042273821,0.00275210738516699,-0.000412792689873814,-1.95632401749885e-05,-1.12348824663898e-05,-1.93749124883632e-07,-7.65340415449934e-10,5.29151671234126e-14
"X.M.",0.0726108674631589,-0.0736602392671523,-0.00354773068712007,-0.0184410893390322,-0.00786826951557214,-0.0101088660107211,0.00333705074456444,0.00297832947659136,-0.000307623184080164,0.00172957597114293,3.58194694526375e-05,-6.64101103963777e-07,9.24385372062897e-14
"X.A.",0.0317350841760096,-0.0330838002637749,-0.00257161559419754,-0.00834693216638641,-0.00345719355489235,-0.0045858152170511,0.00108587276922393,0.00170617707082116,0.000143038416189426,5.56695361583576e-05,-0.000185312429739932,3.22733854655571e-06,2.09044489978014e-14
"X.T.",0.0213862182416464,0.254664778604374,-0.0294074638030595,-0.0299862281274444,-0.0107143939394036,-0.000410808826004234,-0.00180686400697609,0.000810250443722954,5.22287881117763e-06,2.41899984138663e-05,5.76718282698255e-08,-1.86647139188879e-10,9.73678279730413e-14
"X.U.",0.100382845116751,0.0191248725290104,-0.0253357462577231,0.0783977756294579,0.0165575374904964,-0.0111949082790754,-0.000147895718163087,0.000877975440318348,3.73337371353452e-05,2.55729333960633e-05,1.29836663891992e-07,1.63888173417913e-08,8.65195092166296e-14
"X.R.",0.0359243057574675,-0.0332242585019816,-0.0033867704625191,-0.00818625913515697,-0.00434255907662103,-0.00633502236608779,0.00408482133224315,0.00180843466813256,-0.00195063571407508,-0.000854909295328474,5.68123576624299e-06,-2.66910746697152e-07,1.05109633882444e-14
"X.F.",0.0495838871365898,0.00495117885701725,0.101559707507046,-0.000859494054369906,0.00247972286527481,0.00482190464470099,-0.01752970555039,0.000968402160203148,-0.000150327283527456,-7.50861180852626e-07,-9.3625254369802e-07,-1.55920822557985e-08,4.15050152275018e-14
"X.G.",0.0479167960833334,-0.0509251759988225,-0.0040561837284212,-0.0129739385839844,-0.00501170825077036,-0.00665784779757384,0.000568233254184775,0.00297228039873728,0.000699221014382541,-0.000655886034065863,4.14925787826351e-05,2.83702217313645e-05,4.09983247856123e-14
"X.P.",-0.542733791212077,-0.0462040111171325,-0.00435061240353626,-0.00144474250512574,-0.000140590975387845,-0.000176361071694395,0.000147045112484053,-1.54705283254916e-06,-8.95053732850882e-07,6.25570425899644e-07,3.36854725878736e-09,-1.15040387319843e-10,-5.63449757328839e-13
