"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",0.172274932343138,-0.23357674293142,-0.179818562480086,0.107226615833175,-0.317888764294848,0.868850845496794,0.113343491088186,0.054622119281621,-0.0116817327026918,-0.00418668773744076,-0.00116014671765346,-4.24904195146121e-05,-0.000967581211306737
"X.E.",0.105223515126138,-0.214434679233687,-0.0391129462657183,-0.174113324318946,-0.105176723377566,-0.190473703395037,0.0232474429968308,0.367398125748175,0.382009325633338,-0.369397583321649,0.116810545722455,-0.65741439533673,-0.159792596757565
"X.O.",0.189160126287017,-0.30417928724578,-0.241372055012582,-0.197058988879061,-0.208275434219631,-0.256241754267973,-0.341931516731605,-0.738185756058057,0.00638299953492065,-0.0608137821013561,-0.00173344300793787,-0.00125512256425664,-0.00254970033951392
"X.B.",0.0769007815614105,0.0589439269811277,0.491005055285814,-0.020024150522568,-0.0836467643703174,-0.101945735101212,0.774664950564365,-0.343333064742092,0.106873887952842,-0.0481183631269029,0.00136595604897625,0.000796864943499755,0.000559479969382432
"X.C.",0.112793179841845,-0.09970456969598,-0.113835712772309,-0.39657378752868,0.870754339418606,0.19855153237763,0.0870666862889574,-0.0419129896632219,-0.00860990812476495,-0.00520855039160318,-0.00100096117787142,-2.03312929732892e-05,-0.00105190433875174
"X.M.",0.13193108987747,-0.256639785551839,-0.0282671440923146,-0.205106344287627,-0.13676215856157,-0.238649937542988,0.105570921628727,0.302412397362646,-0.135381841633877,0.801710610241705,0.18496765994666,-0.0178635729653624,0.148358492473049
"X.A.",0.0576593925808545,-0.115263262111866,-0.0204902042709219,-0.0928333072692084,-0.0600890337317809,-0.108258056013765,0.0343517659844228,0.173234901171414,0.0629472888938401,0.0258032850040411,-0.956901127002631,0.0868100194965898,-0.836227066081402
"X.T.",0.0388653192889021,0.88734273086817,-0.234362228634297,-0.333553927313334,-0.186253732251473,-0.00969811372155014,-0.0571625272088898,0.0822817977277645,0.0022982869355304,0.011212707422164,0.00029707345962665,-4.58705898558126e-06,9.49788752900775e-05
"X.U.",0.182422553242853,0.066628156889068,-0.201920729504584,0.872039343758896,0.287836961646941,-0.264331522481952,-0.00467441264185707,0.0891637147263898,0.0164322752117532,0.0118542364795646,0.000669715029238884,0.000441398027416653,0.000873963197018248
"X.R.",0.0652710244582439,-0.115753515474028,-0.0269855666932609,-0.0910474743767636,-0.0754776595521486,-0.149552411050545,0.129221478613938,0.183618156257848,-0.858425952831982,-0.396264377826812,0.029336161146346,-0.0071793409450311,0.0358793101943698
"X.F.",0.0900977326784445,0.0172408900295366,0.80935544265635,-0.00957353247070666,0.0431014746199207,0.113842362858559,-0.554579216052976,0.0983350204382046,-0.0661609395850386,-0.000349152393827542,-0.0048355545153429,-0.000419093163540687,-0.00321947424961572
"X.G.",0.0870607706034519,-0.177423883536634,-0.0323194915965451,-0.14429533755429,-0.0871087587271703,-0.157174445217046,0.0179774299808425,0.301790341685809,0.30771158553182,-0.304016189596981,0.214257833813752,0.763118611238843,0.514031512594397
"X.P.",-0.986193407410285,-0.161000613627089,-0.0346655123908959,-0.0160857972007643,-0.00244562806930346,-0.00416261732020763,0.0046564219910053,-0.000155436852919199,-0.000394405376911511,0.000288724195685716,1.66797897396994e-05,-2.69686952398465e-06,8.56247103580524e-06
