"","X.D.","X.E.","X.O.","X.B.","X.C.","X.M.","X.A.","X.T.","X.U.","X.R.","X.F.","X.G.","X.P."
"Q0045",-0.464471781220026,8.51179653610851,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"Q0080",-0.464471781220026,8.51179653610851,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"Q0085",-0.464471781220026,8.51179653610851,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"Q0115",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,2.2630761377917,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"Q0120",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,2.2630761377917,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"Q0130",-0.464471781220026,8.51179653610851,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"Q0250",-0.464471781220026,8.51179653610851,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"Q0275",-0.464471781220026,8.51179653610851,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL001C",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,2.2630761377917,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL005C",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,2.98770077949324,-0.0368981167395476,-0.216740786205873
"YAL007C",-0.464471781220026,-0.117404090153221,2.5486424290772,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL014C",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,2.5486424290772,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL016W",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,3.36826633258638,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL021C",-0.464471781220026,-0.117404090153221,-0.392098835242646,3.19600074000682,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
