"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",0.110137523619865,0.136243000402912,-0.52723040374383,0.371169453381191,0.47325328340294,0.0492887588565447,0.0709632614677773,0.127871163078462,-0.0228182939388964,0.00289529462104002,-0.0020994447939814,12.8961259582915,0.0118431359164206
"X.E.",0.0754259660295851,0.109195515386986,-0.0421625105550784,-0.0120022302095125,-0.220963449815867,-0.274765572658113,0.0325846461680717,0.186366491176393,-0.0775156319609858,0.832707680364666,-0.00830069206083231,3.90926228206104,0.302894168779215
"X.O.",0.162031218887083,0.0585137392483501,0.614694921960733,0.389237662597255,-0.0456798476458073,0.343508960988276,0.0785325576576672,0.261677631208112,0.00369414401958579,0.00192854019944436,0.00031907281674693,11.4719860937523,0.0105352794303865
"X.B.",-0.886205049554595,0.183350095606493,0.0476235992710418,0.0185319736391873,-0.0291877728651896,-0.0129783863581427,-0.0208728747467862,0.00874931607262908,-0.000753678297223809,-0.000233114493482046,7.5898379989435e-05,9.61505556900558,0.0088299703582365
"X.C.",0.143630951788161,0.131984250093643,0.208536721337232,0.182273909959843,0.0772398871163925,-0.357851481649032,-0.431603256848057,-0.632312369914382,0.0472089528697408,0.0037484102664038,-0.00409520926953758,9.2050683459337,0.00845345927086593
"X.M.",0.103276492882221,0.152274859941792,-0.0884043995485186,-0.0107330259688304,-0.308506533627965,-0.347579456210877,0.0925971410972476,0.253439078324599,0.718861549636763,-0.25109772588067,0.15856158740882,5.68685397245729,0.00522251292775096
"X.A.",0.0852756089431686,0.120882778869332,-0.0276922574081672,-0.00873487093040054,-0.233862216822209,-0.297768960084626,0.0479296971844997,0.155329706564181,-0.610102131070367,-0.296044129836157,0.554566164749729,4.44832113799964,0.00408510835286654
"X.T.",-0.0526978508423193,-0.830589777109481,-0.0470593977570817,-0.00591636836704429,-0.0538582411228395,-0.112031460338255,-0.0334326962664393,0.0358207570942977,-0.000357171988923995,-0.00197547132562219,0.00144117835511305,12.4733767114451,0.0114549048457204
"X.U.",0.12889340646134,0.120858430288779,-0.266206506060079,-0.326737062995482,-0.342736744705342,0.504493251761777,-0.415157368231051,-0.0213336822955789,-0.0116521877264271,-0.00264358126887487,0.000342849026918841,11.4719860937816,0.0105352794304044
"X.R.",0.0775122152389952,0.109881087190182,-0.035338815419524,-0.011075873040177,-0.221894454358438,-0.269861160257014,0.0531455823611715,0.159035233239997,-0.276653775311042,-0.263753283386829,-0.806260563097573,4.09752378936799,0.00376295418066684
"X.F.",0.105180187970221,0.0958524775338664,0.253073378178161,-0.66697950794906,0.484316611789111,-0.106410652261764,0.136898960258059,0.100241234906845,0.00942608321431863,-0.000324703875051645,0.000992182518166841,10.154825092191,0.00932566680597374
"X.G.",0.0239990800990315,0.0347438960105386,-0.0134152934493273,-0.0038188769641317,-0.0703062858884499,-0.0874250783090773,0.0103678026885579,0.0592982043844439,-0.0246639712860185,0.264951440098213,-0.00264111928111652,1.24481350409177,-0.951196110498181
"X.P.",0.0602689977745186,0.0386684443480986,-0.086828432011178,-0.045199743848933,-0.238775370035828,0.160671995050461,0.722508812122016,-0.53243469966696,-0.0056982744733358,0.0296269484408742,-0.000114243084988855,6.98845839302569,0.00641783919171007
