"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"Q0045",-0.0876969612781818,-0.169137670487992,-0.0595693518419732,-0.0474359371101417,-0.10403869772491,-0.0955151079472979,-0.141374617785917,-0.148207808395235,-0.0392056988285185,-0.0340739791090203,-0.0361259882710903,-0.0487014166533581,-0.0591951390874071,-0.0470303557671439,-0.0624147833590661,-0.048593634604211,-0.0647395592832503,-0.0796393770431946,-0.0748979707856406,-0.054844155742994,-0.0834173986577618,-0.079172248185116,-0.0948972383095709,-0.109240175781106,-0.10476224915594,-0.125074097054012,-0.12153134242108,-0.125947515561453,-0.127409014375493
"Q0050",-0.105973769845329,-0.195173561248272,-0.0614388559366248,-0.0479254346138453,-0.112636725395175,-0.0987016517711839,-0.146872673978351,-0.14998657802239,-0.0393107227035434,-0.0341199680143569,-0.0361337533199098,-0.0488611960581183,-0.0594505446326477,-0.0470993200542134,-0.0631578946537843,-0.0489308119250047,-0.0650496646249335,-0.0799677152704287,-0.0753516128909603,-0.0555276878327431,-0.0843342785273545,-0.0798548108563845,-0.0951786145540272,-0.110097556600681,-0.105874959008191,-0.12563896417088,-0.122365132209303,-0.126247552682484,-0.127472457818335
"Q0055",-0.106117229881177,-0.195362227123347,-0.0614388559366248,-0.0479261384204646,-0.112636725395175,-0.0987064871942854,-0.146872673978351,-0.14998657802239,-0.0393107227035434,-0.0341199680143569,-0.0361337533199098,-0.0488611960581183,-0.0594505446326477,-0.0470993431655696,-0.0631578946537843,-0.0489308119250047,-0.0650496646249335,-0.0799677152704287,-0.0753516128909603,-0.0555276878327431,-0.0843342785273545,-0.0798548108563845,-0.0951786145540272,-0.110097556600681,-0.105874959008191,-0.12563896417088,-0.122365132209303,-0.126247552682484,-0.127472457818335
"Q0060",-0.106117229881177,-0.195362227123347,-0.0614388559366248,-0.0479261384204646,-0.112636725395175,-0.0987064871942854,-0.146872673978351,-0.14998657802239,-0.0393107227035434,-0.0341199680143569,-0.0361337533199098,-0.0488611960581183,-0.0594505446326477,-0.0470993431655696,-0.0631578946537843,-0.0489308119250047,-0.0650496646249335,-0.0799677152704287,-0.0753516128909603,-0.0555276878327431,-0.0843342785273545,-0.0798548108563845,-0.0951786145540272,-0.110097556600681,-0.105874959008191,-0.12563896417088,-0.122365132209303,-0.126247552682484,-0.127472457818335
"Q0065",-0.106117229881177,-0.195362227123347,-0.0614388559366248,-0.0479261384204646,-0.112636725395175,-0.0987064871942854,-0.146872673978351,-0.14998657802239,-0.0393107227035434,-0.0341199680143569,-0.0361337533199098,-0.0488611960581183,-0.0594505446326477,-0.0470993431655696,-0.0631578946537843,-0.0489308119250047,-0.0650496646249335,-0.0799677152704287,-0.0753516128909603,-0.0555276878327431,-0.0843342785273545,-0.0798548108563845,-0.0951786145540272,-0.110097556600681,-0.105874959008191,-0.12563896417088,-0.122365132209303,-0.126247552682484,-0.127472457818335
"Q0070",-0.106117229881177,-0.195362227123347,-0.0614388559366248,-0.0479261384204646,-0.112636725395175,-0.0987064871942854,-0.146872673978351,-0.14998657802239,-0.0393107227035434,-0.0341199680143569,-0.0361337533199098,-0.0488611960581183,-0.0594505446326477,-0.0470993431655696,-0.0631578946537843,-0.0489308119250047,-0.0650496646249335,-0.0799677152704287,-0.0753516128909603,-0.0555276878327431,-0.0843342785273545,-0.0798548108563845,-0.0951786145540272,-0.110097556600681,-0.105874959008191,-0.12563896417088,-0.122365132209303,-0.126247552682484,-0.127472457818335
"Q0080",-0.105686849773631,-0.192909570747378,-0.0614313378236436,-0.047924730807226,-0.112636725395175,-0.0986702215210242,-0.146804796741407,-0.149849749589532,-0.0393107227035434,-0.0341199402544543,-0.0361337533199098,-0.0488607463975046,-0.0594505446326477,-0.0470992044974321,-0.0631578946537843,-0.0489308119250047,-0.0650496646249335,-0.0799677152704287,-0.0753495709910113,-0.0555276878327431,-0.0843342785273545,-0.0798548108563845,-0.0951745366374409,-0.110097556600681,-0.105874959008191,-0.125635954221767,-0.122365132209303,-0.126243937777411,-0.127469118689764
"Q0085",-0.102042964863069,-0.186117599244697,-0.0611481555680195,-0.0478751124405673,-0.111935799226403,-0.098346248173224,-0.145899766915492,-0.149325240596909,-0.0392960902758771,-0.0341157207492564,-0.0361334337979695,-0.0488543762054761,-0.0593978015220436,-0.047097032029944,-0.063107342865028,-0.0489130758966954,-0.0650303210590929,-0.0799580582637454,-0.0753111152086399,-0.0555092139924796,-0.0842910163112854,-0.0797527454102135,-0.0951429327838969,-0.110084160025375,-0.10583599251531,-0.125587795035959,-0.122365132209303,-0.126171639675958,-0.127442405661199
"Q0105",-0.102243808913258,-0.186494930994846,-0.0613010238653033,-0.0478708896008517,-0.112543268572672,-0.0980948061719462,-0.145899766915492,-0.149507678507387,-0.0393091745627323,-0.0341181081008815,-0.0361334704098585,-0.0488466570316064,-0.0594373164569978,-0.0470913235249486,-0.063147784296033,-0.0489292696616735,-0.0650198585014685,-0.0798795950844431,-0.0753237069249916,-0.0555276878327431,-0.084325905195212,-0.0798012264971447,-0.0951347769507242,-0.110001866777068,-0.10587062939787,-0.125547662381119,-0.122338662692217,-0.126209596179221,-0.127462440432623
"Q0110",-0.106117229881177,-0.195362227123347,-0.0614388559366248,-0.0479261384204646,-0.112636725395175,-0.0987064871942854,-0.146872673978351,-0.14998657802239,-0.0393107227035434,-0.0341199680143569,-0.0361337533199098,-0.0488611960581183,-0.0594505446326477,-0.0470993431655696,-0.0631578946537843,-0.0489308119250047,-0.0650496646249335,-0.0799677152704287,-0.0753516128909603,-0.0555276878327431,-0.0843342785273545,-0.0798548108563845,-0.0951786145540272,-0.110097556600681,-0.105874959008191,-0.12563896417088,-0.122365132209303,-0.126247552682484,-0.127472457818335
