"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",0.00861233194846078,0.166144849587473,-0.0312388494746843,-0.112439231931563,0.060158126123908,-0.438548676996325,0.382039415228188,0.781497163816969,0.0499042179973218,0.039338854861953,-0.0450841874553478,0.0036903075600532,0.0355439206339366
"X.E.",0.153827040280386,0.0649145908138875,0.021980283204773,0.101766853988407,0.282305930211048,-0.0666617341268367,-0.0882813330530294,-0.139590797362836,0.293411106964979,0.245732921763576,-0.149749085906511,0.825198627723454,-0.23945892639981
"X.O.",0.0889332511247576,0.132337490706241,-0.0279347129558412,-0.604048657557754,-0.157206943675636,-0.17485060270673,0.484799107626278,-0.562956368568454,-0.0270100013300378,0.0233723471912712,0.0024359102187109,-0.0197996579576984,-0.00978853080867672
"X.B.",-0.185586030583873,-0.545156042402939,0.801651288827698,-0.130575139194457,0.0225126330880465,-0.0560120971721475,-0.0656114208355772,0.025757176167027,0.00503059926523444,0.00326731854644189,-0.000477067644800017,-0.00216865670404759,0.0036984849811791
"X.C.",0.136633663836282,0.0121609081583778,0.0382430703149749,-0.0262258818388482,0.134907926786839,0.887658436194961,0.369325909558404,0.189606712340232,0.020010578227793,0.0103918184933322,-0.00476159744570248,0.00229558089734349,-0.00202128083437625
"X.M.",0.22920076785778,0.0990479929202272,0.0428097693499643,0.203814756104772,0.446566502293716,-0.10680820967828,-0.0908835666310851,-0.184121377451172,0.0171721110401635,-0.324235824175361,-0.63166880872922,-0.369960536399115,0.7684487512807
"X.A.",0.165032545924156,0.0747068780388653,0.0306995186384686,0.150678519557996,0.316518574187792,-0.0934267096414683,-0.0447682370797397,-0.122388885076992,0.482351611612284,-0.0906511434911885,0.7132062941072,-0.260930132551476,-0.465303622792984
"X.T.",-0.934108757850285,0.156512016859936,-0.174900171841528,0.146129234671129,0.168990116919133,0.0543377561328691,0.030285616220067,-0.135960200706347,-0.00616259969585241,0.00327630859025159,0.0027174643944868,0.0060199481513618,-0.00518930888278566
"X.U.",0.15227596795264,0.247555546979937,0.113836439242555,0.485153442505587,-0.794816755762412,0.0192041474432888,-0.172936865170154,-0.0698974019598042,-0.018523849473931,0.00177645773175549,0.0044211124309396,0.00409918381880835,-0.00575956416544772
"X.R.",0.0991051130380732,0.0456158580975226,0.0200828114764004,0.064176644154265,0.196606055380429,-0.0560771805643362,-0.00783900598063894,-0.014136270306347,-0.686319082260607,-0.505854971459327,0.33625063379674,0.318608242947854,-0.426795567838885
"X.F.",0.0805903796173407,-0.787278646369793,-0.603321429836963,0.0596991067224089,-0.0537573988203925,-0.0560159060250248,0.00571611790125857,-0.00876275458212555,-0.000132255967398471,-0.00266521853911421,0.000841551469762267,-0.0012311862641034,-0.00168996365449547
"X.G.",0.126855984380218,0.0513336562849116,0.0175998317961607,0.102309563807236,0.254770771525469,-0.0479475991656503,-0.087314445854561,-0.0664435625692252,-0.482592810456239,0.77207779912054,0.102639958692175,-0.227378222527608,-0.112892570513811
"X.P.",0.00829467412539734,0.152753841998962,-0.137211143698434,-0.618926294920999,0.00617492136595227,0.156542599061568,-0.71507496810917,0.190111777161703,0.0201303103349702,-0.0372585471938283,0.0109650822982709,-0.0275191179778594,0.0103377724931401
