"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"sig_1",-0.0696144171484156,-0.0244790526321687,-0.0102504276061433,-0.0392238167540906,0.00534693350307826,-0.0176955741787483,0.00176601078408454,-0.00247331301782624,0.00541557162320808,-0.00284086501468577,0.00096877967711,-0.000576473727154352,-0.000472176093744923,0.000375372491931325
"sig_2",-0.0651986623219251,0.0223975981269447,-0.0221751476129914,-0.0185204888225643,-0.0106960693866992,-0.0115885003212432,0.00543453893851667,-0.00548019530178132,0.00470347477923699,-0.0019547441671726,0.00137415518809327,0.00241406316285481,-0.00103669842037652,0.000411794049152509
"sig_3",-0.0609291412809264,-0.0264977640511657,-0.0283301311380478,-0.0204613925395217,-0.00095149608465301,-0.0190520382529675,0.00394052635435513,-0.00179541727270882,0.0086069915488046,-0.00267284169197596,-5.61950041252119e-06,-0.000934284232455908,-0.000548554970257395,-0.000559168851409997
"sig_4",-0.0328041797039679,-0.0218807085847837,0.00588217505770536,-0.0437005984686962,0.00906037504961514,-0.0125864026908854,-0.00247617783589622,-0.00235509826777733,0.0045715764245036,-0.00258507914970477,0.00101067791087516,-0.000770625359811631,-0.000153861464783717,0.00039365190134751
"sig_5",-0.0826595888182245,-0.0315652506667311,-0.0145419527606284,-0.0218429817940786,-0.00641291254675053,-0.00767111742535347,0.00368618839750201,0.00378044662642329,0.00754311808159521,-0.00243302574498797,0.00157815259018445,-0.000653092850654633,6.70702289578063e-05,-0.00050006754826587
"sig_6",-0.0491583513336417,-0.0145864822612793,-0.0267056198793421,-0.0331720581673541,0.00282517335164914,-0.017560419782739,0.00503129498985697,-0.00278891277574196,0.00767667246601862,-0.00294261639559071,0.00101582525811759,-0.000573223562702754,-0.000624501944332277,-0.000387370712122799
"sig_7",-0.0383198207169688,0.00982249929442508,-0.0108574017397214,-0.0367786635283384,-0.00343935072827388,-0.0112441614984232,0.00578363449942177,-0.00329294257306649,0.00518627421905231,-3.5729094929549e-05,0.00121318780338735,0.00126934281761469,-0.000517391345477755,0.000465400492593584
"sig_8",-0.0209630218182657,0.0272506984054907,-0.00829270244823916,-0.0145285364845978,-0.0207666945423963,0.00222585532684031,0.0016988033570245,-0.00594202544773471,0.00064739367256968,-0.000647844313854558,4.5119341734196e-05,0.003840188240422,-0.000746812184141394,-0.000281357955196379
"sig_9",-0.0481160710880356,-0.0254856035527919,-0.0245333422602652,-0.0185472810985487,-0.00221034129627725,-0.0184248616061923,0.0018497419050449,0.000296151953421267,0.00911179823141916,-0.00214999033499727,-0.00083468423093448,-0.00116437622889666,-0.000580208973809445,-0.00126628716434895
"sig_10",-0.0434589355496161,-0.0267147801501251,-0.021175869477856,-0.035789126108324,0.00415178911792256,-0.0166294042214089,-4.42318007024717e-05,-0.00145188203718075,0.00833621519612819,-0.00271750718760781,0.000320545474775976,-0.00127602309905747,-0.000257098496284457,-0.000684045860538384
