"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"sig_1",-0.451576588611298,0.208996267845255,0.0858382332676963,0.321655836927575,0.00968387859256672,0.618106077287435,0.0224716205114444,-0.269633810520047,-0.171287466533499,-0.114750063377111,0.21896396478378,-0.0859248185359355,0.274482400102135,-0.124551520955903
"sig_2",-0.540570468589263,-0.0552707957222051,0.0754223251949815,0.282032407909282,-0.110403120806038,0.640990339959529,0.0861641667682825,-0.195404828029038,-0.20602357909364,-0.0994996058396166,0.167499926517473,-0.174393553574729,0.300706133270919,-0.0410834304333964
"sig_3",-0.325803979966792,0.212612392740169,0.0604109062136922,0.394727403948099,0.0823759102462729,0.583797981473046,0.0152190588571936,-0.313754243151144,-0.210184776351354,-0.17131392718043,0.228247107866073,-0.0277062551771805,0.132424690187592,-0.145979916231023
"sig_4",-0.286423473025315,0.219002440458474,0.116447159346315,0.457746714420983,0.0736127387138361,0.611677166206156,-0.0564665083218178,-0.322096120513614,-0.166813804328288,-0.0779761027379192,0.202424656423896,-0.0223584380862579,0.194735108188754,-0.151201209038618
"sig_5",-0.310467171085471,0.158144001174994,0.0782635215962994,0.394374897162238,-0.00138167624116731,0.68552728860201,0.110305064262792,-0.220187805448724,-0.209434276312284,-0.0746265705989005,0.223480521032654,-0.103552543780888,0.211562941860433,-0.103599376109961
"sig_6",-0.310576096464347,0.153718968694456,0.106438477344761,0.416140404232912,-0.0112539179640582,0.669173537938145,0.0164525677016424,-0.314192839472045,-0.201128191889046,-0.120024222280975,0.193573112535902,-0.0918768953716876,0.207538375681674,-0.104497826735634
"sig_7",-0.336340071004241,0.0415700858043248,0.0873809811959854,0.371945167160734,-0.103804436568412,0.707969291666128,0.0700413776540961,-0.269356907655233,-0.234568417327892,-0.081570263523379,0.199708043382953,-0.12743135327855,0.275804124709932,-0.0814226430370428
"sig_8",-0.481674820691774,-0.197095926999399,-0.0434417068391078,0.370507290396066,-0.17338612822716,0.637306273278236,0.0495334040748151,-0.203888294903999,-0.287038189441098,-0.0629414502132139,0.169450103078428,-0.157775061802001,0.265776813498962,-0.0271002929523136
"sig_9",-0.283795378738885,0.198605336394959,0.0310680736782826,0.382313608289852,0.154076495921059,0.517821273802471,-0.00747211005008853,-0.312570339906257,-0.245882303197919,-0.193216524948583,0.252020760447816,0.0456013608552048,0.0126749988350474,-0.192930066434375
"sig_10",-0.238116892329545,0.189428268082755,0.0933496164800291,0.456698349135111,0.120979377034137,0.582346266905338,-0.0495811806409252,-0.340707328342899,-0.239222814789769,-0.165919328965347,0.220125788735151,0.0238640565008726,0.0683369852919548,-0.166404519783017
"sig_11",-0.178404856685477,0.187273487752255,0.187580386904333,0.541158826163002,0.0957562890100037,0.550776080002943,-0.0746873059931883,-0.295958077803105,-0.137200786514586,-0.0457545316773919,0.14335546715696,0.00499517951458366,0.0953625201105468,-0.12538073913327
"sig_12",-0.219511464388385,0.16587955250039,0.109897078699272,0.473976910026691,0.0618576879177101,0.632126679814059,-0.036460942838497,-0.34336541919063,-0.225887852256538,-0.142096274220293,0.203249222850552,-0.0169669589622608,0.110658756857885,-0.135271902219854
"sig_13",-0.264077868267531,0.15892400408769,0.0576465403505571,0.414236360213635,0.0805315727455393,0.600119612836942,-0.0207685965859726,-0.303525818053631,-0.241340039705805,-0.154441579040614,0.212581296664012,-0.00202775725259514,0.0512219937806002,-0.15320821923296
"sig_14",-0.192898359997803,0.171694498411583,0.175386753752584,0.52965319516399,0.0599965405129963,0.592461580594779,-0.0425882106145,-0.320036269306816,-0.195248391083427,-0.0892247181403367,0.157877847772486,-0.031088908500503,0.0995898772663727,-0.120486785006427
"sig_15",-0.239390992726742,0.15690515414441,0.08856070446796,0.459376678565845,0.0551270955162829,0.614673656369747,0.0200560795262238,-0.274645637717616,-0.241961614591222,-0.120648072407299,0.207801974405185,-0.0269431300547266,0.0622463639886998,-0.13011488991097
"sig_16",-0.220539383206382,0.154516059320798,0.0936267382448087,0.465041168878557,0.059518572144896,0.647502185971243,-0.0107642543085397,-0.280581155703412,-0.249601593071774,-0.10293196657825,0.229027209155432,-0.0244054340771204,0.0975968372404136,-0.151051137842595
"sig_17",-0.205294573200371,0.15482447034412,0.154666527131464,0.507251503400202,0.01308446037907,0.64769849546254,-0.0082465251831536,-0.338304621870253,-0.207369229028437,-0.0955035478014209,0.180428356291905,-0.0653071075680178,0.152355845781495,-0.116206552384205
"sig_18",-0.230520097730775,0.127995339759431,0.121741927523343,0.475051351246169,-0.00162908095067821,0.643468303623691,-0.00832396365816789,-0.306891200979525,-0.238021712283582,-0.0987243823387958,0.179292321772745,-0.0669628785832874,0.102326960655695,-0.108756926860004
