"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"protein.metabolism",0.0247592305748396,-0.0321020326440378,0.00310570209850341,0.00220400552544889,0.0492769989691027,-0.0158549785594796,-0.00222387801758388,-0.00483466808675114,-0.0038403062811612,0.00848770075136358,-0.00330213538365899,0.00109636860929287,0.000880856430566613,-2.24086564772273e-13
"death",-0.130453937016065,0.0631209395731527,-0.0145509749084115,-0.00388347241864986,0.0145528394350597,-0.00200746863861492,0.00186765703269927,-0.00285970846241896,-0.000158370819187311,-0.00198153813502566,0.000925402513903255,0.000758599186295235,-4.05497753314014e-05,8.74066954886143e-14
"other.metabolic.processes",0.056972399906057,0.0144816202145068,-0.0292124743669355,0.00474592444375339,-0.00780933800527452,-0.00990767646481527,0.000201683871660624,-0.0106265974717395,-0.00928355569820684,-0.013070980714629,0.00547031607041828,0.00427335782139506,0.00191619292226256,-3.44656476714592e-13
"signal.transduction",0.0119598573165771,-0.00267877704631305,0.0153883111051998,-0.0191260500295531,-0.00597477646959216,0.00551009490350589,0.0300688304249304,-0.0104151309982947,-0.000297544768647844,0.00271233687240294,5.63822900062469e-05,-0.00547187706990691,-0.000742245068633073,-2.84724955456266e-13
"stress.response",0.00620450723272041,0.0323200904370777,0.0371612256135159,0.0580263369446555,-0.00267578672568629,0.0037610242213864,0.00300734925361306,-0.000320712132789539,-0.000223764159496144,0.000792581680333404,0.000698241227135485,1.52990189579878e-05,0.000152718808922599,2.20789428757176e-12
"other.biological.processes",0.00191852149973519,0.00649717408999097,0.0152079866272833,-0.0111470291874409,-0.014964983769097,-0.0176146229043551,-0.010263113709019,0.00992452550581235,-0.00505841965698009,-0.00874574962497711,-0.00698269318354693,-0.00855605672932751,-0.00121556114129818,-1.39593199977898e-13
"cell.adhesion",0.00820072615765368,0.00134969398180719,0.00153611461252065,-0.00391182810408641,0.0055816783275215,0.00719248567206582,0.0147944789228518,0.0145521118876231,0.00278320420976625,-0.00796152886977239,-0.00654557066753298,0.00930607102988494,0.0020950657499073,-8.69361199308e-14
"DNA.metabolism",-0.00567393530573056,-0.0307990054483135,0.0269606537844695,-0.00956491471208375,0.0200417036273985,0.000496639352364868,-0.0015126395831154,0.00562743744109572,0.0118045944364636,-0.0119471963140561,0.00885362228744938,-0.00124030440020442,-0.000936352290012575,-7.05552544484383e-14
"cell.cell.signaling",0.0175015211841763,0.00924446229025492,-0.00232495615191869,-0.0014430439105041,-0.00224038648317017,-0.00376079321678629,-1.83078611925355e-05,-0.00120108361576388,0.000887269003773811,0.00145565308685558,-0.000546742529496602,0.00721067680425537,-0.00813806689906815,-1.34079271348597e-13
"developmental.processes",0.0143830418152403,0.000566675099262525,0.000241293194963112,-0.00822484207381967,0.0105355772821946,0.0435443129578046,-0.0116806939092754,-0.00225416933842773,-0.0074754024960143,-0.00144113611113444,-0.0012181381905234,-0.00122870596312663,-0.000567604093133885,1.23174365180861e-13
"cell.organization.and.biogenesis",0.0145870683161458,0.00624802554863544,-0.00580399029964019,-0.00420223843023436,-0.0145044318229982,0.00175445589317701,-0.009361269363669,-0.0100066939957065,0.0240377383799641,0.00425569662054606,-0.00318369382398993,0.00205566338071656,0.00174027368129876,-1.94209083186976e-13
"cell.cycle.and.proliferation",-0.0155296169120109,0.00505752067266765,0.0412255687035566,-0.0256842536670015,-0.01678197230462,-0.00461620214136208,-0.00647604861362625,0.00130684148029157,-0.00823293158729843,0.00916033842590997,0.00397541108947839,0.00721841914565827,0.00195181745514544,-1.10485327553821e-13
"RNA.metabolism",-0.065515997126898,-0.0993376887820217,-0.0192651644345588,0.0185132131039251,-0.0174340457432225,0.0026621991052094,0.00264605678935468,0.00333352569197634,-0.00255586199833015,0.00288711197675588,0.00131873058708047,0.00110499143409746,-0.000254766693315768,-1.86125765492324e-13
"transport",0.0411734541804025,0.0354687228086021,-0.0281992543753379,-0.000147430348914353,0.00114681368179829,0.00132639235916539,0.00365258554292917,0.0186186712379262,0.00246130354597818,0.0118808843949976,0.00594986322877976,-0.00303557110803832,0.000136497938646439,-1.32062548319876e-13
