"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"protein.metabolism",0.153315675588085,-0.245722218296235,0.039552159639962,0.0316978718996632,0.783444016886533,-0.319319879444879,-0.0588835306827953,-0.154750111100182,-0.128567349055059,0.313462459694821,-0.205762415785809,0.0623493472103472,0.0968428192784541,0.0767715982709979
"death",-0.807794028565674,0.48314217364375,-0.185290251376761,-0.0558459419527063,0.231367443001624,-0.0404253919239349,0.0494593205588921,-0.0915319520158912,-0.00530180402437255,-0.0731745665116971,0.0576686567552192,0.0431403363859243,-0.00445929991896478,-0.0210235298763695
"other.metabolic.processes",0.35279958525038,0.11085307451843,-0.372010271789845,0.0682555983053198,-0.12415621497534,-0.199543198009004,0.00534705035048682,-0.34014869983148,-0.310806395338036,-0.482730952011286,0.340891603784525,0.243006809762328,0.21067625436854,0.0292088418367191
"signal.transduction",0.0740560628832702,-0.0205029849902503,0.19595968051089,-0.275048383822737,-0.0949850569986295,0.110977957434159,0.796222136004062,-0.333364433923199,-0.0099610794817209,0.10017036164959,0.00351882730319238,-0.311129854120281,-0.0816045651504421,-0.152688574194613
"stress.response",0.0384170908516246,0.247382298831063,0.473207516259597,0.834451890063234,-0.0425362941206669,0.0757490065059625,0.0796361697582312,-0.0102652189513492,-0.00749089943993906,0.0292722072715911,0.0435125733132462,0.000875215593871174,0.0167885561409071,0.00628229126265422
"other.biological.processes",0.0118780838868363,0.0497385753432486,0.193686369430632,-0.160320077578392,-0.237939003740464,-0.354790005170281,-0.271788247643166,0.317696164955595,-0.169363177975109,-0.323012641876479,-0.435149250010974,-0.486550403516263,-0.133657099383101,-0.0553681149181329
"cell.adhesion",0.0507769768506184,0.0103308217282958,0.0195610081592715,-0.0562517843927979,0.0887359582365971,0.144849982550828,0.391734540316508,0.465752351170445,0.0931699325053316,-0.294001969272739,-0.407845000273477,0.529124621569027,0.230319907459903,0.804128651732754
"DNA.metabolism",-0.0351331926235253,-0.235730707682399,0.343302907333268,-0.137543696022227,0.318613628449858,0.0100038189125711,-0.040050037358105,0.180110916287082,0.395168419133578,-0.441185142237119,0.551662366565897,-0.070518163661591,-0.102938323458394,-0.201754198813414
"cell.cell.signaling",0.108366754370328,0.0707567609157174,-0.0296035701293646,-0.0207504755801009,-0.0356145583842059,-0.0757358258013063,-0.00048222016425149,-0.0384420646489174,0.0297022269668185,0.0537564514888829,-0.0340643126446098,0.409988616247792,-0.894662517819344,-0.302809084230762
"developmental.processes",0.0890615087453238,0.00433873265300286,0.00307528621060888,-0.118279985085973,0.167503634957207,0.876991980932254,-0.309299680658156,-0.0721515231489908,-0.250261077734157,-0.0532181639558004,-0.0758999931203289,-0.0698591038991869,-0.0624048621270225,-0.135320572776427
"cell.organization.and.biogenesis",0.0903287233952402,0.0478283569741664,-0.0739097950190808,-0.0604334633491345,-0.230604032088295,0.0353430007730717,-0.247891994984482,-0.320309161919102,0.804773019701169,0.157176598333643,-0.198387684155879,0.116902086938654,0.191336369974208,0.372402704124893
"cell.cycle.and.proliferation",-0.0961604676484505,0.0387109614421045,0.524953810967958,-0.369347116386661,-0.266792381522675,-0.0929632001329078,-0.171474524407206,0.0418271308753766,-0.275608729352082,0.338281371738288,0.247711580640162,0.410434599841082,0.214575484107215,-0.0291085613726429
"RNA.metabolism",-0.405703825038891,-0.760379752927017,-0.245329729598767,0.266245895186204,-0.277175666582502,0.0536238205666736,0.0700749036715761,0.106701140287804,-0.0855667845309615,0.10662844374381,0.0821821653154404,0.062840358942533,-0.0280117061568316,-0.00713470865251409
"transport",0.254956105306401,0.271492335675578,-0.359095349302927,-0.00211867436116025,0.0182369613211616,0.026719053952342,0.0967262770949123,0.595947188129772,0.0823998067135274,0.438771461239262,0.370761049110686,-0.172600604406383,0.0150054440433957,-0.254972285134009
