"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","protein.metabolism","death","other.metabolic.processes","signal.transduction","stress.response","other.biological.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","developmental.processes","cell.organization.and.biogenesis","cell.cycle.and.proliferation","RNA.metabolism","transport"
"sig_1",0.999999999999921,0.721346363202784,0.958989469608751,0.877796960832501,0.869400342351316,0.957239911843786,0.715461508823856,0.596369712924935,0.869024990352022,0.83972585285692,0.799908196457585,0.908395475911037,0.932351811684944,0.831551959524867,0.93705917494171,0.916764841183569,0.896835363094904,0.927541035661737,0.921183036023774,0.864614306935806,0.873076619121255,0.856282033373978,0.878312034427969,0.753391485957967,0.737291961006088,0.648094612787118,0.573178174605861,0.556525702994759,0.552364046760127,0.0803013325225193,0.0407757994918912,-0.0166986165408256,-0.0178956545564255,0.00159624689412777,-0.0106992643514601,-0.0102718585693221,-0.00738368157335367,-0.0122632441856968,-0.0181659758829119,-0.00810914872416294,0.0226312112953355,-0.014716767435458,-0.0247099422869248
"sig_2",0.721346363202784,0.999999999999947,0.566171903742104,0.408699198424861,0.876778897027383,0.79875646710582,0.972868208359066,0.978789469112341,0.401510174061203,0.354816737132533,0.329534314573728,0.512985067515171,0.568210320838745,0.385724127093144,0.672795901657138,0.528588319785501,0.598888657417997,0.694119855698341,0.755907414993361,0.639744935112735,0.828392160844651,0.727821109393515,0.826239251710891,0.90865649172996,0.893010165492765,0.943634406774815,0.906784498636936,0.94424414207315,0.960095743600078,0.180578188505406,0.0138172861328378,-0.0217663952901017,-0.0207227104966953,-0.010016427304561,-0.022724279040113,-0.0114549844528763,-0.00985094174803799,-0.0135804539145406,-0.0232825544014731,-0.0255493056829772,0.00816307252763208,-0.0214841236564021,-0.0309015205066126
"sig_3",0.958989469608751,0.566171903742104,1.00000000000005,0.915911502288898,0.787284274677937,0.900984761681757,0.576048265958037,0.439178334534927,0.969480002340215,0.940846147499037,0.85919104514693,0.964798868100573,0.975432978281292,0.87180777419929,0.959442921912813,0.95757268099183,0.88999687734563,0.901082274832873,0.894798674560755,0.818844455318651,0.821810691814429,0.784535586384441,0.803906895374807,0.649393521491722,0.632294401285573,0.512925254626443,0.441177356437309,0.408907125249816,0.398090935687579,0.0450623823479557,0.0416407345376774,-0.0100675191020227,-0.0139713222610037,0.00362189890166878,-0.00830979627206226,-0.00712061506578949,-0.00578046852680869,-0.0085591412066329,-0.0129628220862115,-0.00358910902758493,0.0157974355337495,-0.0125594916681655,-0.0169474103860979
"sig_4",0.877796960832501,0.408699198424861,0.915911502288898,1,0.628033277677182,0.854958720585676,0.43406786057929,0.288917379478885,0.915678004442758,0.950744823958063,0.985646341973176,0.961417401686132,0.941245479479213,0.989612583116381,0.835140612235457,0.951962052536288,0.945468893492963,0.907073513388763,0.845219194214765,0.834972865031517,0.700717064966134,0.819447469616298,0.781810013526744,0.528049568818079,0.493680329405936,0.373141572673658,0.274725111974611,0.249644629379709,0.24864605497836,0.0160006674419467,0.040173619604096,-0.0116804849147006,-0.00914984735780239,-0.002404803063303,-0.0018234360028873,-0.00449062253544822,-0.00424282563269899,-0.00541832298307869,-0.0101046996299847,0.00194322160485862,0.0265539938834837,-0.0117439440999694,-0.0116240859774454
"sig_5",0.869400342351316,0.876778897027383,0.787284274677937,0.628033277677182,1.00000000000003,0.920993608726175,0.914759259199528,0.814594289113874,0.64353997946759,0.588508568379643,0.547557397722656,0.735431651753817,0.783456094222374,0.600832436145783,0.900017753164049,0.7816572813347,0.783119392578914,0.861384993118489,0.917415409466165,0.857193036233047,0.980823740891434,0.846460695049026,0.912013988811848,0.94383412095192,0.961390295025914,0.887352368021989,0.861969441356815,0.823987736350754,0.788157622816459,0.109926901908746,0.0282529868050337,-0.0095934523777439,-0.0193157753842032,-0.000279947611702409,-0.0214399751060539,-0.00908310549897675,-0.00867461294878807,-0.0108890924766181,-0.0182044268946642,-0.0148484431270238,0.0100045881023829,-0.0164654239474813,-0.019992771829947
"sig_6",0.957239911843786,0.79875646710582,0.900984761681757,0.854958720585676,0.920993608726175,1.00000000000017,0.827570273363413,0.71229546832332,0.799748728435242,0.790194289745617,0.798328690715119,0.901884149418746,0.926336640528638,0.840304350700387,0.933913095548552,0.912706596992346,0.947857440893952,0.982901063633661,0.984922199214231,0.9134974480987,0.947764343849273,0.94733392278833,0.977120908775382,0.875885351500265,0.853564339499115,0.783182697542392,0.710111242519862,0.691148036776396,0.676972832088456,0.0911849918639302,0.0360899244481583,-0.0152247180764795,-0.0155003993499214,-0.00490659843588779,-0.0145389696377828,-0.00814970846346573,-0.00771275798719821,-0.00979313006800699,-0.0170020717930207,-0.0109094549816052,0.0207954008069222,-0.0179019728940072,-0.0210731826405756
"sig_7",0.715461508823856,0.972868208359066,0.576048265958037,0.43406786057929,0.914759259199528,0.827570273363413,0.999999999999891,0.969142343177327,0.415313865470161,0.376647477127944,0.363113406625162,0.549232837110848,0.595600972851395,0.421384945027898,0.710309289003372,0.567441891569434,0.651845495562868,0.742669167062656,0.805972013302899,0.693110562630245,0.888683597616845,0.792693408039576,0.873084229338154,0.974033379875248,0.958423945319762,0.991718164177862,0.967062037628798,0.974425703178913,0.957676922271465,0.156132420848451,0.0147829909116007,-0.0168145824248342,-0.0182282073404113,-0.0104593122303468,-0.0232164788392213,-0.0087434781335116,-0.00897219232208143,-0.0104903901286355,-0.0191016425228359,-0.022159412559072,0.00944435415228728,-0.0221253770774013,-0.0239385552038603
"sig_8",0.596369712924935,0.978789469112341,0.439178334534927,0.288917379478885,0.814594289113874,0.71229546832332,0.969142343177327,1.00000000000008,0.279271239306007,0.238627806752303,0.222954505970148,0.404541725272477,0.455752166441961,0.27785668054286,0.570709394395637,0.417665529749628,0.509536049276925,0.60771478605889,0.679457245717729,0.555385156745406,0.770769621385817,0.666582347534543,0.772508283935406,0.897953015654623,0.87834587258356,0.960669896728724,0.93703276125449,0.981368480275567,0.996431122859294,0.178602394125313,0.00548710573578564,-0.0201050885979552,-0.0174746254087048,-0.0123823451060185,-0.0222056847993161,-0.00892502535751693,-0.00938113360710549,-0.0106940593929514,-0.0203816681779657,-0.025154500909068,0.00392553126868557,-0.0246011501732339,-0.0256662397644923
"sig_9",0.869024990352022,0.401510174061203,0.969480002340215,0.915678004442758,0.64353997946759,0.799748728435242,0.415313865470161,0.279271239306007,1.0000000000001,0.985705656574694,0.885290939508643,0.960791040537408,0.95117936360741,0.876396530335251,0.898385912206924,0.933468597719488,0.841636747096574,0.825993209591609,0.808915956756827,0.726339981311537,0.703688563352495,0.687090191227197,0.691502537018418,0.504678109529338,0.478498572657484,0.354780027605692,0.281056630301538,0.248986910116565,0.242062400871887,0.0213717894664989,0.0402229121763223,-0.00752659689593313,-0.0101941261134371,0.00283773900077222,-0.00520868922629582,-0.00465680525339768,-0.00418305064232486,-0.00561195984688638,-0.00933158228468963,-0.000525830507683122,0.0120393706111405,-0.0100611372495746,-0.0116803159486538
"sig_10",0.83972585285692,0.354816737132533,0.940846147499037,0.950744823958063,0.588508568379643,0.790194289745617,0.376647477127944,0.238627806752303,0.985705656574694,0.999999999999701,0.9400855878006,0.971291357458026,0.946169179250825,0.926691014251359,0.856293364533151,0.93515820553087,0.873302624973174,0.836220322090298,0.801417369829318,0.727471996131701,0.666956403516945,0.713007635087363,0.694765458060145,0.473973652310059,0.436364886142701,0.318559516964138,0.234212274116797,0.206098454835834,0.202649586155539,0.0139752263097677,0.0401058789399535,-0.00859658726911366,-0.00837643417512344,-0.000218794912172118,-0.00421524631386365,-0.00376118290100486,-0.00358997153731171,-0.00453549924840762,-0.00826454895165863,0.000788929957871851,0.016625697853412,-0.00983936534147232,-0.00981037808096095
