ID,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29
RNF14,26,1,30,13,3,4,0,0,27,27,5,3,4,1,0,9,0,0,0,1,2,0,0,0,0,0,0,0,0
VDR,3932,701,24109,13025,1485,13910,3260,584,104521,168831,31040,71168,57443,50334,3421,32840,37078,6485,29888,1702,12631,3194,10402,11998,3584,5957,1317,1563,253,
SMAD4,12086,753,77586,142040,2444,36687,5404,404,477269,1489120,1640931,337379,123969,595773,7853,128473,222323,16107,57894,4409,19765,26862,20772,22608,3258,10372,1018,1491,106,
UBE2D4,261,4,564,526,12,54,0,0,1194,2350,959,172,93,169,14,171,0,1,0,2,11,0,0,0,0,0,0,0,0,
UBE2D2,13619,565,53949,378948,1943,41040,2745,183,225121,1608083,10627321,204052,74780,1835459,2944,150242,210229,25349,32901,9018,14268,6303,14789,11924,3276,2675,596,343,23,
UBE2D3,4706,216,28091,31133,612,6309,608,44,145585,380448,206816,49767,27793,56655,1777,25129,13785,1494,7667,607,3142,936,1251,1316,370,387,37,51,5,
UBE2D1,14442,968,69207,376027,1357,44355,3844,770,343721,2219356,10585413,266477,140146,1832357,3861,87180,216119,26921,47620,1510,11496,7258,18961,13885,1781,4617,731,1547,602,
SMURF1,26536,4648,304729,199942,9030,137825,29189,13662,2863301,5322091,1431985,1213885,1349188,1242683,44399,493557,518053,96829,552513,15629,125660,37711,323046,124165,33087,126541,12625,65018,36959,
SMURF2,1842,156,6567,9939,215,3373,524,80,21276,60226,50231,15092,6358,23291,441,5397,8069,787,3538,154,1053,671,1693,1013,219,700,72,168,22,
ECT2,628,24,1659,2421,38,388,17,2,3969,12129,9102,1248,770,2135,27,863,220,57,68,26,54,3,20,7,8,2,0,1,0,
FAM46A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HNRNPA1,97558,12186,1663423,1244141,190271,827072,201081,24004,18724783,38633073,13887841,12014679,7289543,12646187,710252,12877053,7649936,897691,5204065,1558660,3064548,1060574,1445977,1962275,1335383,979524,343115,242842,29371,
UBE2E1,320,15,905,385,16,148,10,0,2104,2963,316,424,347,278,18,210,63,17,51,3,31,2,0,6,2,0,1,0,0,
UBE2E3,203,14,438,301,6,118,13,3,761,1587,350,305,160,239,7,73,54,8,79,0,2,2,25,7,3,9,0,1,0,
UBE2E2,423,23,1181,1037,26,273,22,1,2585,6190,2315,914,545,818,31,433,133,33,164,5,66,2,16,18,5,2,2,0,0,
AR,20776,1904,230000,163938,9027,87911,12998,1406,1933202,3854255,1206331,1035606,618128,924267,43641,471165,401566,57994,262897,17721,110235,23307,69491,79715,22464,28314,6202,5469,583,
