"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"sig_1",-0.0486696388779354,-0.340875606491963,0.379049422810555,-0.137538420237899,-0.61676082975187,0.0314802638312535,-0.329469306267052,0.0283775939435921,-0.222793399077402,0.22575173802992,-0.118378806053703,0.0805614522360227,0.316252963173602,0.00383809825839307
"sig_2",-0.47855960239289,-0.391521539125734,0.375362353813233,-0.15907455592736,-0.562395886612386,-0.179240377721364,-0.309964536218131,0.00375400711111496,-0.298454081616657,0.0868416387864531,-0.120426494385419,-0.0453564869718827,0.358941262634697,-0.10731531960918
"sig_3",0.00850747989512218,-0.313849123528282,0.365829492636524,-0.128871081000578,-0.68035135664848,0.0675015699200841,-0.38030977220275,-0.0451320022013246,-0.243705522872344,0.236991976337203,-0.102438415185683,-0.0240294949878093,0.3999604118153,0.0219523724478357
"sig_4",-0.077705414599264,-0.230995262992519,0.307558765907197,-0.105098566583316,-0.503550409489596,0.0567260507811907,-0.300282590923262,0.0294781852796145,-0.188436689727934,0.238819100358775,-0.0851374071355256,0.110864555641113,0.215325029489777,0.00687094391408374
"sig_5",-0.00485014848322416,-0.350684063284246,0.364857091911253,-0.1723315913971,-0.68045624589111,0.0382749417176553,-0.374235332050425,-0.0284637093601863,-0.241213448604472,0.225458029609962,-0.102755502115312,-0.0124763056105285,0.393624754708207,0.00926392650668528
"sig_6",-0.0467431607020453,-0.361090746262917,0.397190730658931,-0.16502312303526,-0.645353586501819,0.0117927366933618,-0.311170235126397,0.0203495858648387,-0.220798854156121,0.206581309331772,-0.138343229231663,0.0951197822075119,0.338037013391276,0.00450954711639669
"sig_7",-0.219573316513362,-0.435489201290357,0.388578297647778,-0.21024079636714,-0.654076829842978,-0.164991832325561,-0.298995339585703,0.0460957678861805,-0.292905040761096,0.084760677197029,-0.125679250937485,0.0465945881649381,0.406634902780756,-0.0723746778204639
"sig_8",-0.703793670331731,-0.162340565157614,0.354669827753769,-0.114374340270995,-0.403285320920889,-0.256547099518058,-0.268602040559123,-0.0193220027938956,-0.35303622943031,0.0213292924727494,-0.0831881256568224,-0.139649169660156,0.28509104929445,-0.209803775096074
"sig_9",0.0101517761740313,-0.30708355901971,0.361679776597251,-0.122359348094004,-0.679885838763757,0.0726370647931952,-0.386475613647143,-0.0485694594703325,-0.245357353598626,0.240353575462801,-0.0993382687117948,-0.0307953074841931,0.401509587074796,0.0234583757863251
"sig_10",0.00888421470962641,-0.306439424489686,0.361667693589607,-0.121473505162399,-0.67926238596733,0.073050471102047,-0.387203442505533,-0.0473680704760592,-0.245491776112572,0.241648712571088,-0.0989182633380409,-0.0297439453590803,0.400367628022415,0.0233358114290297
"sig_11",-0.0864177197786152,-0.204321762538088,0.283459151459131,-0.0962217413924464,-0.468777139635501,0.0600576082362349,-0.295071976607684,0.0218071647686476,-0.17744827323866,0.240039399169835,-0.0731058966235525,0.108260646222091,0.191247411810369,0.00930801771669997
"sig_12",0.00878051780745659,-0.311346972610835,0.36510696290953,-0.128290870405046,-0.680676318388793,0.0685855796189969,-0.380209556848914,-0.0449537107004834,-0.24393396425987,0.238426233315484,-0.101302331429274,-0.024782540063592,0.399513908554714,0.0220038779471792
"sig_13",0.00861669512922555,-0.310090438426229,0.363721400635009,-0.126594110600619,-0.681430289134731,0.069753798893935,-0.382398100570155,-0.047660442171674,-0.243614911794329,0.238381613725103,-0.102837775571013,-0.0276001528113699,0.401934492743971,0.0240189265940393
"sig_14",-0.0728738268977497,-0.245518620841403,0.321612541377722,-0.118348760227721,-0.524452574173938,0.0529890280925949,-0.297353881116895,0.0269497487988983,-0.192229445231531,0.233561228172408,-0.0956718396685484,0.120718664257766,0.224940372571228,0.00617111387993474
"sig_15",0.0107619275877338,-0.315644682134466,0.36788730149491,-0.137284708900576,-0.68333433694001,0.0656639774555398,-0.374416177438029,-0.0473423143279426,-0.243553602254456,0.233342551976319,-0.10485001358235,-0.0205615465039038,0.399386980123404,0.0209758642797863
"sig_16",0.00985629419191317,-0.31146228121841,0.364198803138201,-0.128544070466405,-0.680892654003689,0.0691834430838957,-0.381688710572482,-0.0456989569124839,-0.244352410447629,0.238682265271641,-0.100567071229417,-0.0266274340727713,0.399510314055374,0.0221840530790565
"sig_17",-0.043124588097433,-0.326039555958209,0.383029563133912,-0.16692452489933,-0.62338659183281,0.0237641261051082,-0.281046530654667,0.0413555757112068,-0.210482511504912,0.20869803550374,-0.129924101389152,0.124584536696367,0.300911947385576,-0.00519913266613984
"sig_18",-0.0313704398752263,-0.370518998167382,0.410790403678335,-0.202279194546999,-0.674448894078784,0.0127915609520267,-0.283569179235567,0.00287570064190381,-0.210248418730353,0.190594332354146,-0.174703458243273,0.114023097907839,0.337164008970569,0.0183163098485355
"sig_19",0.00500150264505136,-0.317625826798883,0.367886989314699,-0.135697784541535,-0.682905089202272,0.0610617910915196,-0.375278127681765,-0.0447899387981894,-0.242694752866262,0.232588296438381,-0.105107077084261,-0.0215962543698584,0.40382529115155,0.0216489758258031
"sig_20",0.0101367892094,-0.326672179339972,0.357714584090391,-0.154800374136522,-0.685882505718577,0.054009104515036,-0.380308299060597,-0.0343092059352056,-0.241232511724177,0.24958182412664,-0.0915734045868341,-0.0265881289890658,0.383295605826248,0.0191638604373378
"sig_21",0.0041308963992601,-0.326201707874729,0.370094739413521,-0.150369678743429,-0.683318273387022,0.0544587194158148,-0.368643252364494,-0.0425832499353677,-0.240272535253581,0.228390262560533,-0.110227373851077,-0.0158040205696898,0.403792659502818,0.0198269794816822
"sig_22",-0.0438407782346205,-0.393534893313813,0.367840993398014,-0.17176203180413,-0.648257172242611,-0.0845729483542707,-0.133995879770591,0.245389144636672,-0.191866123907817,0.125119909124424,-0.145954298097748,0.159493320130499,0.338576092015622,-0.0716813844029736
"sig_23",-0.0797686254129053,-0.361278826535254,0.409835212630667,-0.170707963212137,-0.680788467268139,-0.016051850365799,-0.312968084142631,-0.00448891795234267,-0.220322361643078,0.197003338531821,-0.154167937705261,0.0814417669249992,0.391848023363077,0.0180087555462737
"sig_24",-0.0439040396914068,-0.405880015435531,0.418489356277478,-0.242716660428756,-0.687202191308311,-0.0457433173541428,-0.268645763302071,-0.0015031175483056,-0.228286933655648,0.148505216263415,-0.157326137409437,0.0866636029885123,0.393875365692128,-0.00694136072813825
"sig_25",-0.0219879711518799,-0.351241181077025,0.339864920960588,-0.1940506669035,-0.682280516712089,0.0210593059308736,-0.390553405647272,-0.0197390746464436,-0.250892856437288,0.226726874574268,-0.113910159241173,-0.0100693156804183,0.407734798599098,0.0020996801435652
"sig_26",-0.255530823626686,-0.386549649366645,0.396939607226471,-0.210469470081053,-0.660194632178443,-0.208022383806089,-0.283594080515287,0.0185849541227478,-0.309356161784373,0.0789822348781033,-0.138857561350752,0.0469356323102354,0.457437552441921,-0.0540456274053752
"sig_27",-0.196867297756431,-0.388458907541088,0.376680734877177,-0.307504779892644,-0.651844978302068,-0.0633083790031468,-0.391086091239009,0.0195892973190485,-0.307882276556666,0.0626771006663278,-0.0939399320324074,0.0183048778530964,0.410074297593241,-0.110451701861063
"sig_28",-0.536790182680632,-0.195445851820161,0.335970276623607,-0.14671011224905,-0.472351571960085,-0.286344858614311,-0.323609394497165,-0.0158103552572837,-0.474005889207571,-0.0599517374649352,-0.0347314469489403,-0.0943295374965562,0.340618864016798,-0.212195405714544
"sig_29",-0.729428850702665,-0.0526587149550689,0.370229291975949,-0.0889397111654009,-0.32958543332873,-0.25649444436086,-0.24987205333849,-0.0322124130325434,-0.380032455536179,0.00556623498707746,-0.0616614134140701,-0.185888549285773,0.237773416014058,-0.268741737988319
