"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"sig_1",-0.0119001400708926,-0.0337112902234868,0.0252317581849137,-0.00770956547513767,-0.0225092940508183,0.00097064858848751,-0.00758919023637554,0.00068724781946614,-0.00320791367108209,0.00139767865493188,-0.000345795033967948,0.000108382454254152,0.000211769100744552,7.04593145675104e-05
"sig_2",-0.121948932386978,-0.0390842866842127,0.0240223873814339,-0.00878305429792549,-0.0210003904141842,-0.00502613342365067,-0.00685753274452046,7.82872699594238e-06,-0.00425828438449579,0.000552884924464959,-0.000319613392411887,-7.23438972598113e-05,0.000241330657824039,-0.000272359958419739
"sig_3",0.00213216597437075,-0.0306427338596523,0.0237171486144288,-0.0071727939688465,-0.025400925230555,0.00201596196694663,-0.00866096325792015,-0.000891890498199822,-0.00343546791930131,0.00142582184207106,-0.000281602461384334,-4.37271911342465e-05,0.00027125558598403,5.2819536757646e-05
"sig_4",-0.019726379866063,-0.0225124512678056,0.0198612589704918,-0.00598081393037018,-0.0186839269994547,0.00168915008989132,-0.00680271603656915,0.000588459159924583,-0.00266895957361607,0.00145013769189791,-0.000207883114319443,0.000165944107141305,0.000151349711327142,2.25673964563194e-05
"sig_5",-0.000911276259850539,-0.0343051594553166,0.0236291033122011,-0.00987430286871161,-0.0253767863291845,0.000983082879508995,-0.0084691909186224,-0.000447136865650559,-0.00341246656976506,0.00137092990922945,-0.000218670123616954,-3.79209478095196e-05,0.000260987529012015,1.9602434402564e-05
"sig_6",-0.0116878687124547,-0.0352668938757163,0.0259813682718998,-0.00916398624426511,-0.0238448183571609,0.000261181194644786,-0.00713746185958421,0.000408620392715788,-0.00316446873215619,0.00128370192647845,-0.00035790891488055,0.000182075580553777,0.000224394271040375,-6.18335194226041e-06
"sig_7",-0.0547959483167961,-0.042509336860798,0.0252580817761312,-0.0116419206538512,-0.0244475392765237,-0.00526910676307729,-0.00702626741705729,0.000833623312906064,-0.00397902776734431,0.000468812111157021,-0.000336096940002966,6.06288945746444e-05,0.000270423234452715,-0.000260727456146217
"sig_8",-0.179278748178528,-0.015083531656683,0.0229945913490305,-0.00665463033321937,-0.0150011994676959,-0.00773622821085657,-0.00625027509363592,-0.000273772100454055,-0.00496057175014959,9.19573819916021e-05,-0.000212955655622363,-0.000195058094992633,0.000190949598293904,-0.000194356320539277
"sig_9",0.00252305583149569,-0.0300340465104064,0.0234705808825117,-0.00676545120935732,-0.025372388886196,0.00217700907026687,-0.00882593366624054,-0.000957974296220033,-0.00343394578790124,0.00146339876510035,-0.000252963981690667,-5.12202764107898e-05,0.000276457264055771,5.43174473354438e-05
"sig_10",0.00220472299707353,-0.0299552510049912,0.0234701577103364,-0.00671856797620251,-0.0253514031341815,0.00219186211395604,-0.00884372537642859,-0.00093148734024733,-0.00344407003214669,0.00146906261642709,-0.000253655688457668,-4.87091712150083e-05,0.000274401103755518,5.21663474514507e-05
"sig_11",-0.0219124074418505,-0.0198990591070547,0.0182300884347624,-0.00550406771362081,-0.0176053729091086,0.00171942108299557,-0.00661378992482964,0.00034752607302547,-0.00244594071734781,0.00144574437360595,-0.00021608611201777,0.000148931102488485,0.000121290640878221,3.88156435637209e-05
"sig_12",0.00214515138768351,-0.0303583857464803,0.0236491403709305,-0.00715207612729743,-0.0254261814860768,0.00204756253807896,-0.00861676840472736,-0.000910356103656392,-0.0034288881453508,0.00143642052884937,-0.000289940974189783,-2.95284589208245e-05,0.0002571198156937,3.66238587005198e-05
"sig_13",0.00217533857525897,-0.0303095882669293,0.0235715573995165,-0.00702718074289115,-0.0254432633315253,0.00209746273696612,-0.00872470702441246,-0.000934292528884516,-0.0034223367338402,0.00144183255361703,-0.000271590824109624,-4.66876693743419e-05,0.000273709377464024,5.42977831195547e-05
"sig_14",-0.0186112062389635,-0.0240025964525827,0.0207041904595995,-0.0066301778331404,-0.0196689631590329,0.00159328867123758,-0.00680202608492791,0.00054051819835732,-0.00271887573988025,0.00145544776776503,-0.000236724738911436,0.000183478801581226,0.000155630195759978,9.44059012021374e-06
"sig_15",0.00260280240089236,-0.0309048107389609,0.0237620227528253,-0.00771779475828547,-0.0254422627011886,0.00195929057528713,-0.00845465740260424,-0.000910020105336452,-0.00338800895198202,0.00143700940065048,-0.000271718053180364,-1.18149442138974e-05,0.000268221856068864,3.17846134442882e-05
"sig_16",0.00242865577057703,-0.0303937338710907,0.0235781929911259,-0.00716141448743129,-0.025379119331661,0.00206515549025972,-0.00865710329840044,-0.000873858944604149,-0.0034346138240937,0.00145241391386159,-0.000261752444910051,-3.72904093378979e-05,0.000269200190229677,4.16199005675853e-05
"sig_17",-0.0112820611965511,-0.0318824175834565,0.024709769041388,-0.00928189607835928,-0.0232513618539734,0.000722025921718786,-0.00638098227854528,0.000686890259877779,-0.00296996543672337,0.00128602367332568,-0.000332037097551758,0.000217927035605507,0.000198792463785358,-3.52175055500126e-05
"sig_18",-0.00791468063786719,-0.0361715493774208,0.0264097995671678,-0.0113284365844687,-0.0254855004318948,0.000437119964271714,-0.0065094128095737,0.000105709207495083,-0.00296789737417756,0.00114659620610298,-0.000508791902600087,0.000159744133465258,0.000220546050248762,4.27969304510062e-05
"sig_19",0.00126337736659486,-0.0309718669162559,0.0238001337208548,-0.00761926131292364,-0.0254723458648762,0.00184955290749202,-0.00850392371107736,-0.000881829248226892,-0.0034324596893416,0.00139069902507997,-0.000316328952489034,-3.59957744300241e-05,0.000264931734589392,4.86547799332061e-05
"sig_20",0.00246642779019045,-0.0321152862179919,0.0234068818234121,-0.00871543276219928,-0.0258782044568296,0.00157314507965147,-0.00860082089265998,-0.000663401499418232,-0.00337564345880979,0.00160348084609466,-0.000212737886951467,-3.84929086807804e-05,0.000247784785566251,2.61059260610688e-05
"sig_21",0.00107349396744511,-0.0317783816238061,0.02389753453355,-0.00854066460943114,-0.0253302560762288,0.00160514710676449,-0.00827114644058103,-0.000802255375108855,-0.00344405277798169,0.00139730595335476,-0.000303284795319476,-2.70639321527825e-05,0.000276499940498635,4.54103162098115e-05
"sig_22",-0.0112278643201106,-0.0383888153893092,0.0237482764793246,-0.00964478874151364,-0.0242568184631768,-0.00243542789298182,-0.00296047720866734,0.00483072058559341,-0.00272189923365876,0.000761579941589806,-0.000389870711945068,0.000236714651677119,0.000227967668434872,-0.000185747997859289
"sig_23",-0.020212532634804,-0.0352799523619064,0.026710434820137,-0.00937950727614895,-0.0255844545183743,-0.00047955796914304,-0.00700225364804664,-9.87535676836105e-05,-0.00302335382115026,0.00119055212002557,-0.000402517768946231,0.000122492965676312,0.000266676038823988,4.91314150883865e-05
"sig_24",-0.0111103956901261,-0.0396376952775229,0.0273160014385247,-0.0140380971175495,-0.0254114328646503,-0.00136852259084369,-0.00587791542113033,-0.000148158615575471,-0.00330587114711813,0.000895822695776951,-0.000402929723339229,0.00011899157971194,0.000268679166980868,-3.90625793031618e-05
"sig_25",-0.00530342665329895,-0.0342325588682194,0.0215020379424384,-0.0110916633601961,-0.0252802808650807,0.000469248121377836,-0.00888527032059058,-0.000383464604354062,-0.00362144677980377,0.00143720949388473,-0.000352014709938161,-1.04205721327579e-05,0.00027742699691108,-1.65951995576686e-05
"sig_26",-0.0648747742193664,-0.0378324159483376,0.02571248294632,-0.0118225340675882,-0.0245770947711182,-0.00608508812643748,-0.00644472224971647,0.000374364525428375,-0.00432271669318185,0.000533751212372957,-0.000377679940419074,7.77145548622263e-05,0.000309675786834737,-0.000291625691273148
"sig_27",-0.050170545855492,-0.0379988736024095,0.0245149277352889,-0.0173997265384657,-0.0243060548705459,-0.00167455149117527,-0.00894975824624635,0.000417343536354461,-0.00427379747238202,0.000365070316369349,-0.000247202042330523,3.06315054886327e-05,0.000275743101164346,-0.00013484026848553
"sig_28",-0.13589527539024,-0.0191884990212432,0.021634367120928,-0.00815907832647713,-0.0176803043731328,-0.00841320479833322,-0.00725857312790201,-0.000314428434462041,-0.00681717954788566,-0.000381148868997672,-8.71213248095099e-05,-0.00014114761351185,0.000227361797221058,-0.000752791925960771
"sig_29",-0.184297815284909,-0.00534718357154689,0.0242216060630788,-0.0049282403769132,-0.0122570555520258,-0.00754159662674506,-0.00562297584834399,-0.000667883116755014,-0.00530890555711325,6.91916813848867e-05,-0.00017636580221344,-0.000296102193729876,0.000159897541120195,-9.02856488038393e-05
