"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"protein.metabolism",-0.993909775478494,0.0785850122726867,0.0497559477056796,-0.0293386374684334,0.0274275277856297,0.00517706476480867,-0.0111490766741255,0.0371693946988265,0.00265482008822971,0.016389692386327,-0.00195955953326304,0.00740395741149199,-0.00350510823006895,0.000314061607956884
"death",0.0540380082133773,-0.632532253207734,0.495432894133734,-0.139723087773685,-0.536238896403984,0.0469530279222089,-0.188352326930019,-0.0204451044597174,-0.0729031113692698,0.0311350749283747,-0.00519543103411794,-0.00120861157631892,0.00591307840451982,0.00121648073472134
"other.metabolic.processes",0.159355966676056,0.442411357108305,0.187879864308284,-0.034207541040232,-0.0609135865007113,-0.409218273525321,-0.0819766344747571,-0.251638163491757,-0.682231727661425,-0.169408910692715,0.0814173977642716,-0.0212921748320233,-0.00377974197766438,-0.1695880981419
"signal.transduction",0.108407374078811,0.148548487563322,0.0799456578283446,0.0613310980233394,0.0684312443298414,0.128698143739464,-0.0942085210417245,-0.191399233595997,0.10114258494742,0.390782713055094,-0.536297224280449,0.46915297780392,-0.467573689551687,-0.355903605186855
"stress.response",0.0974774213380234,-0.317321936469688,0.300502331453929,-0.169374698113522,0.844500728498271,-0.00278709633976191,-0.0849822100444246,0.0957113564438555,-0.0711290182472303,0.0666443550156092,0.167422271732844,0.0370024515991184,0.0482921681416476,-0.0227913512630038
"other.biological.processes",0.178676944960496,0.101902635529733,0.0263291458935235,0.364558304196434,-0.0864399458063549,0.183820073994179,0.336801655300948,0.81015161781861,-0.086741334440553,-0.0613526073766225,-0.0281449384836604,0.0309113368809523,-0.00806518896404755,-0.0381517176906779
"cell.adhesion",0.0381314825688048,0.106691630683277,0.0209756808642771,-0.0111110198857004,-0.0385552938072891,0.0182811095259358,-0.0207987308168874,-0.0518457007309355,0.0588614322029537,0.192769052423154,-0.147249674512776,0.41124164327033,0.86614727284939,0.323735816289914
"DNA.metabolism",0.0171221058572941,-0.0575747065962468,-0.141136814462626,0.1132162401109,-0.0504567923539521,0.489921913621862,0.365262106400451,-0.360372921755925,-0.252035819180494,0.402509187447411,0.481418772702058,0.00763619945737405,-0.0197170569835958,-0.235558263346175
"cell.cell.signaling",0.0432220559557255,0.107832406627147,-0.0116330769348887,-0.0351447622918365,-0.0756857533035058,0.0630933361487041,-0.183923114162454,-0.019230520789349,0.287214351043679,-0.427823439468041,0.533861549023853,0.605204923917121,-0.156144012834692,-0.656931570217003
"developmental.processes",0.0833911168491657,-0.0249123013007934,-0.170544965811446,-0.728939190186689,-0.0690633562839742,-0.192812948090331,0.588187020991999,-0.00905385139906793,0.179588640064102,-0.0492384890844352,-0.0767416047929155,0.0376283328603991,-0.0447685757880491,-0.0207893616981349
"cell.organization.and.biogenesis",0.111082484856997,0.00226496688084005,-0.0479914580298576,0.136033824885419,0.110326905441001,0.44150074094249,0.0081219234674198,-0.413073597517754,0.219263794939058,-0.572031055384885,-0.301845113780553,-0.318817949565964,0.14513466849495,0.391663126178986
"cell.cycle.and.proliferation",0.0130739718152554,-0.234464639642981,0.0118898557626895,0.543066868728083,0.0344412355158606,-0.59687787176559,0.315679222348296,-0.262943467143904,0.331790033633381,0.0674462918657121,0.0941317966578282,0.00376965039176256,0.00177843687142049,0.00794562326973105
"RNA.metabolism",0.0609414504532345,-0.338549230350943,-0.805807803507889,-0.0281118441614923,-0.0107165827343497,-0.136454160880991,-0.420251796036188,0.0725781525353999,-0.151786322680035,0.0880885824670823,-0.00309407464596133,0.00589693455915546,0.011009473416255,-0.0290407624158125
"transport",0.153994873118796,0.389298529158254,0.11762628143269,-0.139710202348631,-0.0868573823903129,-0.0332303088042892,-0.335681575517802,0.0552640223537966,0.489822208179098,0.403046578988346,0.278232308592036,-0.431340231638623,0.0342214292042997,0.383184601530654
