"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"Cell.cycle.progression.meiosis",0.0991498009942424,0.126391677124157,0.0672688216793625,0.0507933211947731,0.087248852759718,-0.0123526562940531,0.0391332351966254,-0.0495821723908372,0.0698954918248103,-0.0779098890774996,0.0306538014032443,-0.160758269950104,-0.95790614314458,-0.724044651921752
"Nuclear.cytoplasmic.transport",0.0505666791471283,4.67610545239648e-05,0.014628181074162,-0.0417017622561838,-0.038475963857396,0.0403477195961732,-0.262488370472283,0.035816515312926,-0.823001985318713,0.0434099453579733,-0.0586594684520806,0.469409740278076,-0.138437918642546,-0.345950000142525
"Chrom..seg..kinetoch..spindle.microtub.",-0.0870111853962462,-0.327501813333129,0.0943707682563065,0.0331475375644688,-0.0632838198287646,0.770909944100412,0.434271525843314,0.264491030460494,-0.0334640490458219,-0.104309727220003,0.071539011716203,0.0274543214513486,-0.0210609977423335,-0.0219690255885163
"RNA.processing",0.158818938691161,0.186188491122407,0.088703643573829,0.141857374368827,0.0649171730970499,0.156003451635625,-0.255280494589685,0.206736494590803,0.194987516193822,0.136421454221391,-0.844890843487617,-0.0414919369546479,0.0589936498347009,-0.0252420730750214
"Signaling.stress.response",0.112852699380942,-0.118563190069636,-0.127548703013147,-0.256456193986378,-0.513050935899379,-0.352085535532807,-0.0229725663066581,0.529227033962391,0.061251302134234,-0.467146088629217,-0.0103941983203727,-0.0240233107432499,-0.0262798388239093,0.0426361266516202
"ER.Golgi.traffic",-0.0434792667708551,-0.555558119414381,0.461047318491233,0.583585805581943,-0.0358739471040114,-0.363889962941365,0.00373172582373235,-0.0462090988996456,-0.01173842786913,0.0152919990850072,-0.0045598231178959,0.00199392747239463,0.00574635077691478,0.000305328846190943
"Chromatin.transcription",-0.650884668183126,0.211463975408847,-0.567353714247044,0.410596176955001,-0.015472951801359,-0.141509898167196,0.131160028100673,0.0291012523824514,-0.0399132291249814,0.0291558299305924,0.0105329176220685,0.00741009635274872,-0.0160717478008255,-0.0138654639261973
"DNA.replication...repair.HR.cohesion",-0.613701360078488,0.138952734418909,0.57118735276184,-0.496080252013906,-0.0306218453992767,-0.0688190282154313,-0.0640583383331784,-0.136347155273587,0.0493990750021191,6.94527893438075e-05,-0.0153472013194986,-0.0231123116645714,0.0111188263053754,0.00785396787442143
"Protein.degredation.proteosome",-0.00910099201094415,0.00877642084313167,0.00022060574267587,0.153497735097653,-0.0234876841026452,0.28026684561774,-0.757134564277017,0.13761551109537,0.273978993804217,0.0254883714520028,0.477358622153159,0.034274705205047,0.0139962076440645,0.107100670312799
"Golgi.endosome.vacuole.sorting",0.0468477395523933,-0.486939849993286,-0.292687100027047,-0.37924694606703,0.69612655532118,-0.183072822424528,-0.0595332694322614,0.0729419559135741,0.0580732399983676,0.0294197586768056,0.00122699597416656,-0.000626932318205504,-0.00186389319398992,0.0295603720586444
"Protein.folding...glycosylation.cell.wall",0.129845594228312,-0.205651255777843,-0.217945026863283,-0.0795753403707785,-0.298732183283871,0.124957834841797,-0.0800013531131135,-0.778094214384698,0.14898754957642,-0.322438512279053,-0.14362655796674,0.152843622558166,0.0133953607201544,-0.199422317518975
"Metabolism.mitochondria",0.414145675338409,0.461841827884308,0.195617094192774,0.0829554547929864,0.169853482678043,-0.172547933628966,0.364081832689497,-0.00556707810446903,0.202093351344011,0.0119915161854399,0.312509280322547,0.463657918790989,0.159044818769957,-0.0566647284459616
"Ribosome.translation",0.211005972582135,0.197259166810112,0.0709059992583957,0.0748670876489927,0.116100397411638,0.0275791211047258,-0.0289132131613027,-0.124129697107379,-0.421561248412014,-0.238341540664799,0.134556468310327,-0.755250515551916,0.228983130190659,0.579650130539977
"Cell.polarity.morphogenesis",0.166456986082482,-0.141180339330411,-0.120835786050559,-0.192494863312769,-0.424351826090411,-0.0690648062400903,0.0807935652209035,-0.0457537015158007,-0.0203520185343728,0.804947545137791,0.109521874306818,-0.210950891431826,-0.0488876187438112,0.0749780864880703
