"","Cell.cycle.progression.meiosis","Nuclear.cytoplasmic.transport","Chrom..seg..kinetoch..spindle.microtub.","RNA.processing","Signaling.stress.response","ER.Golgi.traffic","Chromatin.transcription","DNA.replication...repair.HR.cohesion","Protein.degredation.proteosome","Golgi.endosome.vacuole.sorting","Protein.folding...glycosylation.cell.wall","Metabolism.mitochondria","Ribosome.translation","Cell.polarity.morphogenesis"
"YAL001C",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,-0.197991266809611,-0.148827693907207,2.11683240345218,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL007C",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,-0.197991266809611,6.71378263625845,-0.472024514325782,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL011W",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,-0.197991266809611,-0.148827693907207,2.11683240345218,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL014C",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,-0.197991266809611,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,2.74250818741839,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL021C",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,-0.197991266809611,-0.148827693907207,2.11683240345218,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL023C",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,-0.197991266809611,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,-0.364336847464135,5.48641989031567,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL024C",-0.080386969795139,-0.208692559005299,2.99212352900936,-0.409612713368029,-0.197991266809611,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL029C",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,-0.197991266809611,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,3.27668312008579
"YAL030W",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,-0.197991266809611,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,2.74250818741839,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL032C",-0.080386969795139,-0.208692559005299,-0.333942358148366,2.43936956676156,-0.197991266809611,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL033W",-0.080386969795139,-0.208692559005299,-0.333942358148366,2.43936956676156,-0.197991266809611,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL038W",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,-0.197991266809611,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,4.64962203098631,-0.234607120495092,-0.304941537075588
"YAL040C",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,5.04667101357265,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
"YAL041W",-0.080386969795139,-0.208692559005299,-0.333942358148366,-0.409612713368029,-0.197991266809611,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,3.27668312008579
"YAL043C",-0.080386969795139,-0.208692559005299,-0.333942358148366,2.43936956676156,-0.197991266809611,-0.148827693907207,-0.472024514325782,-0.327970697910201,-0.197991266809611,-0.364336847464135,-0.182121822085167,-0.21489849723046,-0.234607120495092,-0.304941537075588
