"","Cell.cycle.progression.meiosis","Nuclear.cytoplasmic.transport","Chrom..seg..kinetoch..spindle.microtub.","RNA.processing","Signaling.stress.response","ER.Golgi.traffic","Chromatin.transcription","DNA.replication...repair.HR.cohesion","Protein.degredation.proteosome","Golgi.endosome.vacuole.sorting","Protein.folding...glycosylation.cell.wall","Metabolism.mitochondria","Ribosome.translation","Cell.polarity.morphogenesis"
"YAL020C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,3.90053265926851,-0.299085192396628
"YAL021C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,2.53287501449013,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YAL024C",-0.0909845943838129,-0.198117102016355,3.20313611199184,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YAL032C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,3.02227646419388,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YAL036C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,3.90053265926851,-0.299085192396628
"YAL040C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,4.38947472476532,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YAL041W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,3.34078159907033
"YAL054C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,2.48067790516172,-0.256164579198895,-0.299085192396628
"YAL060W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,2.48067790516172,-0.256164579198895,-0.299085192396628
"YAL062W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,2.48067790516172,-0.256164579198895,-0.299085192396628
"YAR003W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,2.53287501449013,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YAR007C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,3.34078159907033,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YAR014C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,3.34078159907033
"YAR035W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,2.48067790516172,-0.256164579198895,-0.299085192396628
"YBL007C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,3.34078159907033
"YBL014C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,2.53287501449013,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
