"","V1","V2","V3","V4","V5","V6"
"sig_1",-0.404911473839501,0.000194833915792266,0.0835213675653078,-0.387605674392495,0.020426699820054,-0.121189848446797
"sig_2",-0.141569338254451,-0.0039007768442251,0.00837064029070263,-0.49853189071017,-0.228606557933898,-0.0362124867622633
"sig_3",-0.474978075970496,-0.0489507924321025,0.230763970397014,-0.253006143100673,0.109823402234782,-0.11517662357226
"sig_4",-0.460153066383008,-0.100106752063441,0.2308563439064,-0.301169086776504,0.0773094930710822,-0.120848076698458
"sig_5",-0.452358888785852,-0.109067707389711,0.147547906424624,-0.339234819956367,0.0568252364348998,-0.0988814579144502
"sig_6",-0.517726560790564,-0.0907226812968352,0.16478493977354,-0.412519747901865,0.0691995296667826,-0.140567323314943
"sig_7",-0.241154836387901,-0.0442974758939354,0.0834171206221398,-0.500213713530304,-0.0245425954045639,-0.101837389823222
"sig_8",-0.0590230829969385,-0.0481437702918007,0.0427101702325766,-0.518024928990042,-0.192011096202361,-0.0374309807879705
"sig_9",-0.412529744950338,-0.0694176387906775,0.243568495343067,-0.235780386778411,0.0910860353289589,-0.112442732358509
"sig_10",-0.465918604785056,-0.133495168196115,0.270735091719168,-0.217177462334712,0.112096808302559,-0.124283502874305
"sig_11",-0.457277723664725,-0.0814350723517281,0.245284654164589,-0.233787912319665,0.0550592266109454,-0.0825818415633244
"sig_12",-0.485768586193455,-0.122520903377679,0.283205955460481,-0.253130152161467,0.0891133537730023,-0.083733343676956
"sig_13",-0.487053444539534,-0.0555824982404454,0.222081434105816,-0.281905641561329,0.0943230567049827,-0.10177697076852
"sig_14",-0.536900499354524,-0.191733707632605,0.288565715653332,-0.309974535067865,0.130317595231984,-0.137347519306975
"sig_15",-0.36321407234274,-0.0777746546471685,0.285151739493644,-0.265360586956685,0.0635311663463206,-0.0697762302918519
"sig_16",-0.438861594804592,-0.108352338539564,0.241375179203563,-0.23050423076934,0.0994384983467929,-0.0913165952237126
"sig_17",-0.531995047588239,-0.141720686425282,0.283504453999968,-0.337998541556025,0.0947589019448883,-0.138735834689246
"sig_18",-0.58511475072762,-0.141019628629806,0.243366953370432,-0.380874710195287,0.129118053718204,-0.118877412754214
"sig_19",-0.518439755918874,-0.154397449249566,0.305105740466678,-0.226326364083339,0.120483878188246,-0.0991743456656339
"sig_20",-0.445018738363487,-0.0535681844941036,0.182633616549203,-0.343287787896542,0.0884796936063877,-0.134055484745438
"sig_21",-0.459274422076122,-0.143530178296092,0.246312051244021,-0.285031523825973,0.105289562446825,-0.119708540270935
"sig_22",-0.192438854391821,-0.126397857552218,0.154992536439346,-0.417377186140174,0.0137029210931973,-0.0730135847334565
"sig_23",-0.564372865504861,-0.153514972308048,0.213228797503425,-0.391358316944332,0.0809205019395531,-0.137562475115314
"sig_24",-0.400159831048714,-0.0458507305358138,0.146350954965424,-0.465460927423305,0.0825530450959922,-0.114942096427624
"sig_25",-0.46756155413503,-0.200194254556231,0.216076784665304,-0.255872600938977,0.0781735886180518,-0.0930527240617944
"sig_26",-0.331854678363298,-0.048893617298126,0.105175285078616,-0.511667110857756,0.0213578192898422,-0.146190553174366
"sig_27",-0.30710606753971,-0.207707413670365,0.109062551659623,-0.490514794575985,0.0428195795617434,-0.116183756057287
"sig_28",-0.100663657570543,-0.118194065564229,0.0505364782483084,-0.510683192227545,-0.0142349251345916,-0.0911758488793039
"sig_29",0.000484089209028573,-0.0737872124909457,0.0561200668634981,-0.51413760229673,-0.160459991279337,-0.0320171289815038
