"","V1","V2","V3","V4","V5","V6"
"sig_1",-0.0787450384580197,0.0358124691714593,-0.0682105975088687,-0.0442664059249086,0.00991146366533837,-0.00471696082754731
"sig_2",0.0180693247526046,0.045930341830619,-0.0349614387342205,-0.0418202894725186,0.0486443596322252,0.0328671817953009
"sig_3",-0.101833681427014,-0.00103606030593149,-0.0624138313944255,-0.0398838031930168,-0.00627286537191059,-0.0161891021586183
"sig_4",-0.098976642545174,0.0079580603171612,-0.051366115760072,-0.037628873389099,0.0011019947021033,-0.012270054757133
"sig_5",-0.135878141250714,0.0182706679444003,-0.0430767991936182,-0.0279932492378536,0.00821169126289031,-0.0101768420452794
"sig_6",-0.0840668170028755,0.0295739627408923,-0.0730777858380208,-0.0505104403590748,0.0113147391336429,-0.00409910756177961
"sig_7",-0.049928725236133,0.0389638660292772,-0.0401723827713867,-0.0478801800298159,0.0273841678388698,0.00637143654398148
"sig_8",0.0536295784154292,0.0221259922264839,-0.0240398390937217,-0.0384230610619617,0.0472300418633707,0.0378104976605715
"sig_9",-0.0991540031922997,-0.00652810824342386,-0.0441619963056516,-0.0354035976849836,-0.00205884879476527,-0.0138297313825605
"sig_10",-0.112241688332209,-0.00941468276596647,-0.0421301632087972,-0.0323737660838805,-0.00323069738055788,-0.0153616604062572
"sig_11",-0.113219258942914,-0.00857747345597863,-0.0452288987520842,-0.0313302655358354,8.74858689188678e-06,-0.0116562206855209
"sig_12",-0.100489899345344,-0.00735542633785926,-0.0475265245915723,-0.0356005254953071,0.000226136497981732,-0.0111239408003026
"sig_13",-0.0969053127641126,-0.000682717440192715,-0.0595592963350719,-0.04392847495597,-0.000775206851938606,-0.0127075051073833
"sig_14",-0.116631955663667,0.00516373553413704,-0.0447415156224024,-0.0381246263662054,6.20178104362511e-05,-0.0163762685063063
"sig_15",-0.0202457755289582,0.0161033940404617,-0.0591407095843318,-0.0390244665755455,0.00509386237517497,0.000123214097337158
"sig_16",-0.103468962176236,-0.00900446579912611,-0.0383946522814391,-0.0281183715984034,-0.00123222350561278,-0.0120725654939246
"sig_17",-0.101265207514195,0.0020662314281893,-0.0623280389888125,-0.0442178145725591,0.0037389715909421,-0.00902778606675169
"sig_18",-0.102919809400929,0.0283537067176979,-0.0590969799377545,-0.0558583604528598,0.00789866365632556,-0.0139255721776443
"sig_19",-0.114899649943152,-0.00864660566485639,-0.0516829908378997,-0.0301355127556101,-0.0036779635622404,-0.0133342534308749
"sig_20",-0.104482170233382,-0.000440891709499183,-0.0391933530228191,-0.0353776662088088,0.00411179386035762,-0.0108657552201953
"sig_21",-0.115614367609033,-0.00638180845831814,-0.047297742276014,-0.0276091773638884,-0.00185715233102567,-0.0122487854296277
"sig_22",-0.0570829583673198,0.0152012477163643,-0.0111829794262294,-0.046626289295269,0.0187151018836257,-0.00465430609079994
"sig_23",-0.0499303374394479,0.0323770691818443,-0.0816203688015084,-0.0451970397831161,0.0165513302731267,0.00762087259001573
"sig_24",-0.0941328917967691,0.0161120627522966,-0.0766709123367319,-0.0565007035090097,0.00501726851658318,-0.0100561386061877
"sig_25",-0.140302154806875,0.0234311994944897,-0.0288996393145404,-0.0258565279220396,0.00620725834183121,-0.0156604774015908
"sig_26",-0.0420340769527692,0.0363412793569523,-0.066715664388717,-0.0516614618494264,0.0220905670230454,0.00748275413730786
"sig_27",-0.111140619475799,0.0420142305660039,-0.0255631360014041,-0.0385609272926489,0.0138160073885908,-0.0132518652675733
"sig_28",-0.00609090396128515,0.0370267518895918,-0.00631255833067302,-0.039542771366216,0.0311920622848198,0.0102477811426782
"sig_29",0.0803563492168675,0.00714852981479604,-0.020948032309653,-0.0307572885714166,0.041934481747323,0.0400932462923351
