"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Metabolism","Genetic.Information.Processing","Environmental.Information.Processing","Cellular.Processes","Organismal.Systems","Human.Diseases"
"sig_1",0.999999999999998,0.78633044255529,0.900316147202308,0.92948010643011,0.902313454430755,0.971303999123334,0.939526134146023,0.678863166067573,0.835480110036861,0.844536876266432,0.858887082050272,0.818813489258778,0.860087754986762,0.880586991144688,0.775622063540274,0.838670602754996,0.925513819637448,0.912885052792893,0.858113303283358,0.822787324607394,0.815069084908885,0.963859682262823,0.941960192847967,0.93317443046094,0.855810529792086,0.9496226013978,0.893823496939304,0.795959742665197,0.552644887934803,0.171751908330889,-0.00688527660996739,0.018270082627799,0.00654524706216776,0.0269674979182587,0.0505852796663003
"sig_2",0.78633044255529,0.999999999999998,0.577513869060316,0.58728733507455,0.629319402263516,0.699937112854734,0.904374261115338,0.97098611131106,0.511788182493221,0.505668577045152,0.502567296381076,0.490019571511302,0.55740692247145,0.532156725333894,0.46390310301467,0.50352523366208,0.59487798583949,0.605926627018084,0.538598943172364,0.526161308329113,0.50575825744214,0.749724693218617,0.673478827466897,0.641462686978708,0.571845360418531,0.811905074013862,0.769901219656743,0.930422018477061,0.901301527041161,0.135590545781808,-0.0033119608727334,0.0423363357501677,0.0110355627274991,0.050520334644455,0.0342642046402719
"sig_3",0.900316147202308,0.577513869060316,0.999999999999998,0.911355816476022,0.955072426473831,0.953936428058132,0.79596504594462,0.483385637715835,0.988230557547116,0.98566545421694,0.862416868522693,0.97834528910148,0.989613447938616,0.917168919850567,0.950217960875413,0.985076035968476,0.949556430274326,0.957760014045744,0.991876300528649,0.919909105461748,0.972907408121026,0.882100446523623,0.950641559652297,0.972072658627498,0.9720404224146,0.873506256798712,0.838719519614155,0.624169005993209,0.370959391535179,0.0892398449741258,-0.00553478221363483,-0.00317283777210637,-0.0105863494008236,0.00111753562309842,0.0316269062802521
"sig_4",0.92948010643011,0.58728733507455,0.911355816476022,0.999999999999996,0.856608166812923,0.962104114832655,0.798650875312731,0.483132640945201,0.864911535113399,0.900678910873895,0.981855579199705,0.861537187207431,0.881992679247465,0.981179449768041,0.794589957298335,0.890230523921447,0.984719726997482,0.952946157117584,0.875181003596869,0.822119616214162,0.838367411186369,0.939866124973284,0.953218295740587,0.928484398367606,0.834950196794266,0.852803313595082,0.775735444685742,0.617953587588596,0.366673167261149,0.113843619216505,-0.0082058300803267,-0.0096914524414958,-0.00866359379226552,-0.00337863172730194,0.0264733831801085
"sig_5",0.902313454430755,0.629319402263516,0.955072426473831,0.856608166812923,1,0.922875623412035,0.838704745497788,0.538091620707221,0.930613929566197,0.923985493359765,0.790027736498686,0.917345562096831,0.934160239811075,0.850592210495625,0.891140503174903,0.930567303074702,0.894972835475421,0.90850591039804,0.946296834714956,0.961849671347114,0.927720756963428,0.870319878120625,0.911140370795608,0.949903012887674,0.969843376880983,0.889830601216543,0.915988077013359,0.691523486253993,0.422993268978018,0.102774331446507,-0.00798800663292646,-0.00812092101584402,-0.0171478072676747,-0.00264240552217598,0.0309191485756751
"sig_6",0.971303999123334,0.699937112854734,0.953936428058132,0.962104114832655,0.922875623412035,0.999999999999997,0.892273546933726,0.604167651223559,0.910410554670599,0.92280093796505,0.906353099002554,0.896601073023561,0.932192914525948,0.949918121421677,0.850047437230714,0.919440308168321,0.980818388582419,0.981454466044545,0.922084389431854,0.86344672996601,0.891104914612332,0.970588041391409,0.992701476603987,0.974959454649197,0.905027150213377,0.947164960869185,0.873601472156417,0.735595326169698,0.484459457231482,0.104414647152754,-0.00418070483885947,0.00425521185709793,-0.00279479347439268,0.00895840840270853,0.0328837534981399
"sig_7",0.939526134146023,0.904374261115338,0.79596504594462,0.798650875312731,0.838704745497788,0.892273546933726,0.999999999999996,0.847559936909872,0.730108853666759,0.726665170500982,0.710778201954825,0.7091433649357,0.765972589767808,0.751572094119908,0.677699356007368,0.728815168330881,0.814363432364165,0.814831045418554,0.758122607698093,0.733765600444944,0.726193310976403,0.93042447087872,0.864907976592501,0.867434434692135,0.785783579263894,0.970708518123073,0.934669339889344,0.947261173983833,0.750564245529569,0.118389928728117,-0.00683247104470546,0.00749877114725565,-0.00159310912503655,0.0150293188794225,0.0269491583516925
"sig_8",0.678863166067573,0.97098611131106,0.483385637715835,0.483132640945201,0.538091620707221,0.604167651223559,0.847559936909872,1,0.429090920048726,0.418136154624173,0.404787269917516,0.405738883491877,0.47799300994859,0.439492305588016,0.382002457133315,0.417974249046399,0.501060582952883,0.516134494123868,0.44915006668024,0.445941196456989,0.42598990093149,0.670332714037345,0.591562118715363,0.55022033789178,0.484915316517041,0.751697722774448,0.705477921484845,0.939525133755303,0.97713254446637,0.0813943184337529,-0.00574392116561702,0.0141214051504067,-0.00743517740663921,0.0209480732889116,0.00929553036622397
"sig_9",0.835480110036861,0.511788182493221,0.988230557547116,0.864911535113399,0.930613929566197,0.910410554670599,0.730108853666759,0.429090920048726,1,0.990880684767104,0.821338387962684,0.994817870721708,0.994038084193051,0.884165515303539,0.977806526832678,0.991979016085887,0.914645740275274,0.931432728231285,0.995015391483322,0.915035340710281,0.989266004653045,0.823614299293532,0.915222376728073,0.94093314261793,0.969972519915847,0.8214489045904,0.785765331875852,0.563816813709569,0.327742718423089,0.0588792781494432,-0.00531359287936079,-0.00657977055222513,-0.0122379963077593,-0.00349621021695248,0.0225037374530236
"sig_10",0.844536876266432,0.505668577045152,0.98566545421694,0.900678910873895,0.923985493359765,0.92280093796505,0.726665170500982,0.418136154624173,0.990880684767104,1,0.871512366731756,0.992115858141261,0.988814537907545,0.924244206217699,0.95932243344455,0.997661543411451,0.940216399105291,0.950980532147268,0.989558760481419,0.916756955677122,0.980519992627888,0.841764321143043,0.929267056660257,0.94363261238711,0.959301567218836,0.813203637749228,0.77750367085871,0.552754081445803,0.313607859594713,0.0642583341604585,-0.00553929867019237,-0.00888319396912033,-0.0121031521803687,-0.00404211606077989,0.025470623936138
