ID,Membrane transport,Signal transduction,Signaling molecules and interaction
ec:1.1.1.27,0.0,1.0,0.0
ec:1.11.1.6,0.0,1.0,0.0
ec:1.11.1.8,0.0,1.0,1.0
ec:1.14.13.39,0.0,7.0,0.0
ec:1.14.99.1,0.0,3.0,0.0
ec:1.14.99.3,0.0,1.0,0.0
ec:1.2.1.12,0.0,1.0,0.0
ec:1.2.4.1,0.0,3.0,0.0
ec:2.1.1.43,0.0,1.0,0.0
ec:2.4.1.11,0.0,2.0,0.0
ec:2.7.1.1,0.0,4.0,0.0
ec:2.7.1.107,0.0,9.0,0.0
ec:2.7.1.11,0.0,1.0,0.0
ec:2.7.1.127,0.0,6.0,0.0
ec:2.7.1.134,0.0,1.0,0.0
ec:2.7.1.137,0.0,1.0,0.0
ec:2.7.1.149,0.0,3.0,0.0
ec:2.7.1.150,0.0,1.0,0.0
ec:2.7.1.153,0.0,44.0,0.0
ec:2.7.1.154,0.0,3.0,0.0
ec:2.7.1.158,0.0,1.0,0.0
ec:2.7.1.67,0.0,4.0,0.0
ec:2.7.1.68,0.0,3.0,0.0
ec:2.7.1.91,0.0,4.0,0.0
ec:2.7.2.3,0.0,1.0,0.0
ec:2.7.7.41,0.0,2.0,0.0
ec:2.7.8.11,0.0,1.0,0.0
ec:3.1.1.4,0.0,34.0,0.0
ec:3.1.3.25,0.0,2.0,0.0
ec:3.1.3.36,0.0,5.0,0.0
ec:3.1.3.46,0.0,4.0,0.0
ec:3.1.3.56,0.0,3.0,0.0
ec:3.1.3.57,0.0,1.0,0.0
ec:3.1.3.64,0.0,1.0,0.0
ec:3.1.3.66,0.0,2.0,0.0
ec:3.1.3.67,0.0,4.0,0.0
ec:3.1.3.7,0.0,1.0,0.0
ec:3.1.3.86,0.0,2.0,0.0
ec:3.1.3.9,0.0,6.0,0.0
ec:3.1.4.11,0.0,43.0,0.0
ec:3.1.4.17,0.0,3.0,0.0
ec:3.1.4.4,0.0,2.0,0.0
ec:3.6.3.14,0.0,1.0,0.0
ec:4.1.1.32,0.0,4.0,0.0
ec:4.1.2.13,0.0,1.0,0.0
ec:4.2.1.11,0.0,3.0,0.0
ec:4.6.1.1,0.0,16.0,0.0
