"","V1","V2","V3","V4","V5","V6","V7"
"sig_1",-0.00993996496276561,-0.0239476020589762,0.0407799813884932,0.0667269751248395,0.0801294638035921,0.117706781175055,0.172695422312385
"sig_2",0.0168975460556915,-0.0532924402801274,0.0336538602974159,0.160538780187658,0.168509453606291,0.057724438725703,0.22137052904675
"sig_3",-0.0175101485217412,-0.0432543960539073,0.0933117184659215,0.00308752765831165,0.000311069702177912,0.202235697331186,0.134077775073794
"sig_4",-0.0173635999449302,-0.0322569039239262,0.0600721097668784,0.00757886437457735,0.0149311631072505,0.188648721389117,0.130123901039543
"sig_5",-0.0245103780039244,-0.0119890126487156,0.071508187805495,-0.001700208336966,0.00232885805876484,0.203451486229586,0.144171896151503
"sig_6",-0.0132762983197604,-0.0567851134305648,0.0856814562897945,0.0503250810161789,0.0395777795757809,0.171046490911409,0.142600501437405
"sig_7",-0.00816367188764421,-0.0658900814059256,0.0577883127091946,0.0938902217843938,0.0824955050472907,0.118546245623332,0.161779639400448
"sig_8",0.00464170574728621,-0.0674880916880442,0.0529865939447002,0.184825249593823,0.145895433586767,0.100809092716347,0.198592012288383
"sig_9",-0.0157273910736201,-0.0555092264560388,0.107573134454543,-0.00810238917937957,-0.0166576168498514,0.220027973942962,0.119985052950459
"sig_10",-0.016494093178664,-0.0426684694876947,0.0967376683016486,-0.00665271857198541,-0.0139918083635618,0.221108330733698,0.121403581015832
"sig_11",-0.0179033757374228,-0.0300241273478009,0.0817411624671278,-0.00846677740215537,-0.0072191291713237,0.212316411467624,0.12050359555003
"sig_12",-0.014731161586666,-0.0533231573098369,0.109539164362411,0.00102190651878437,-0.0120971390700164,0.219521624445121,0.118804268505327
"sig_13",-0.0153617258470007,-0.0578050360436217,0.109591541398895,-0.00118924223298175,-0.013127316032198,0.218704584428345,0.120838953588492
"sig_14",-0.0145630852821246,-0.0573269811154252,0.0986114872231268,0.00262485523381181,-0.00618265816201807,0.212611002890309,0.118132331937873
"sig_15",-0.0134854352644711,-0.0893203077677669,0.109728698342368,-0.0164900980532205,-0.0160899613238808,0.20917374598812,0.117897743115129
"sig_16",-0.0152921257597527,-0.0572989971842408,0.105443514273504,-0.00578338763623,-0.0162315600782443,0.222587643753695,0.119336013129556
"sig_17",-0.0152428509626694,-0.0619275793960838,0.0929634334729502,0.0139506313743151,0.00532801173230532,0.201084999555344,0.123143824251334
"sig_18",-0.0153357905387098,-0.0723015249481433,0.105873874142567,0.0283310229948247,0.0103096207445672,0.198794865689165,0.123576098104494
"sig_19",-0.0156975829275719,-0.0461006501065232,0.101465003097361,0.00536716618272314,-0.00628067332167101,0.215031274432617,0.126279657081935
"sig_20",-0.0194590065516496,-0.0239695593669148,0.0780878511159648,-0.0117093550072362,-0.0109492008573777,0.217121373698454,0.127044575984285
"sig_21",-0.0144561980551487,-0.0635475527734916,0.123157526493528,-0.00275802542667922,-0.0170825618459077,0.220440624127535,0.11583000613284
"sig_22",-0.0142723609374283,-0.0909917608285546,0.0695267943326523,0.0166316503014802,0.0211027815795629,0.174075588241665,0.128522370603632
"sig_23",-0.013765221894008,-0.061463438671699,0.0993509250887239,0.0442810539034177,0.0208370769171022,0.198365912238923,0.128743599196951
"sig_24",-0.0128074217086194,-0.0908652774228209,0.104349952495519,0.0275608953767543,0.0165705135245461,0.183041390481584,0.127781040912525
"sig_25",-0.0202755671596428,-0.0231184051133715,0.0858649724129535,-0.0068407430741506,-0.0114560747355251,0.219203117514868,0.131709734367506
"sig_26",-0.0108262468064534,-0.0927301368240182,0.0954162468864037,0.0939050637695241,0.0655397919745803,0.14600946594695,0.142306320491654
"sig_27",-0.0274564051535978,0.0227420181347308,0.0412660959845703,0.00504829698952485,0.0134152472715062,0.192551681744444,0.144789832453113
"sig_28",-0.013277212492082,-0.0680878225244908,0.0585872217720622,0.119662221683976,0.0828340229275877,0.147337693562701,0.157662236856084
"sig_29",-0.00740527281208249,-0.068373214802997,0.0675915281361492,0.189290873245672,0.120548167489349,0.142425370847324,0.176673990683677
