"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"ec:1.1.1.1",-0.0219090250204536,-0.260250413273142,-0.0413137437971869,-0.111100950395418,-0.150285368377508,-0.103686300012908,-0.200359109242184,-0.286626337400766,-0.0616136694449517,-0.0689464725366548,-0.0941927531217054,-0.0511059132409628,-0.0744489607444398,-0.0870001772308833,-0.0675316565752596,-0.0735559614029783,-0.0984814375124181,-0.0988229091568156,-0.076106498496548,-0.107627061669605,-0.0753710370092254,-0.165805084517507,-0.122364388323878,-0.101461054407457,-0.100133952012907,-0.166170115250619,-0.171106511722598,-0.227929040748757,-0.240237018321966
"ec:1.1.1.10",-0.257103344898144,-0.394074347855986,-0.108703434978053,-0.126672605695594,-0.150285368377508,-0.15682608873826,-0.247605099255736,-0.298988217758411,-0.0738980635053459,-0.0744450292390511,-0.0941927531217054,-0.071021838475418,-0.084524156811137,-0.0889871978080838,-0.0675316565752596,-0.0735559614029783,-0.107408965481383,-0.106056101109086,-0.088739506705138,-0.107627061669605,-0.0753710370092254,-0.165805084517507,-0.127393171510017,-0.120639606278998,-0.100133952012907,-0.1755486388758,-0.171106511722598,-0.227929040748757,-0.240237018321966
"ec:1.1.1.102",-0.233583912910375,-0.355838937975174,-0.108703434978053,-0.126672605695594,-0.150285368377508,-0.15682608873826,-0.238155901253026,-0.298988217758411,-0.0738980635053459,-0.0744450292390511,-0.0941927531217054,-0.071021838475418,-0.084524156811137,-0.0889871978080838,-0.0675316565752596,-0.0735559614029783,-0.107408965481383,-0.106056101109086,-0.088739506705138,-0.107627061669605,-0.0753710370092254,-0.165805084517507,-0.127393171510017,-0.120639606278998,-0.100133952012907,-0.1755486388758,-0.171106511722598,-0.227929040748757,-0.240237018321966
"ec:1.1.1.105",-0.245343628904259,-0.394074347855986,-0.108703434978053,-0.126672605695594,-0.150285368377508,-0.15682608873826,-0.247605099255736,-0.298988217758411,-0.0738980635053459,-0.0744450292390511,-0.0941927531217054,-0.071021838475418,-0.084524156811137,-0.0889871978080838,-0.0675316565752596,-0.0735559614029783,-0.107408965481383,-0.106056101109086,-0.088739506705138,-0.107627061669605,-0.0753710370092254,-0.165805084517507,-0.127393171510017,-0.120639606278998,-0.100133952012907,-0.1755486388758,-0.171106511722598,-0.227929040748757,-0.240237018321966
"ec:1.1.1.14",-0.257103344898144,-0.394074347855986,-0.108703434978053,-0.126672605695594,-0.150285368377508,-0.15682608873826,-0.247605099255736,-0.298988217758411,-0.0738980635053459,-0.0744450292390511,-0.0941927531217054,-0.071021838475418,-0.084524156811137,-0.0889871978080838,-0.0675316565752596,-0.0735559614029783,-0.107408965481383,-0.106056101109086,-0.088739506705138,-0.107627061669605,-0.0753710370092254,-0.165805084517507,-0.127393171510017,-0.120639606278998,-0.100133952012907,-0.1755486388758,-0.171106511722598,-0.227929040748757,-0.240237018321966
"ec:1.1.1.146",0.236804726845005,0.217692210237015,-0.0153946318045462,-0.0488143291947135,0.116888619849173,-0.00365846241224556,0.120913622849969,-0.0764743713207866,-0.0640705482570305,-0.0634479158342586,-0.0865347396197293,-0.0630554683816359,-0.0610153659888436,-0.0740845434790798,-0.0675316565752596,-0.0306454702175901,-0.0663423368241459,-0.0843565252522748,-0.050840482079368,-0.107627061669605,-0.0753710370092254,-0.0958376116798544,-0.059504598497136,0.0200031074456358,0.00749826341560065,-0.105209711686943,0.138338814013303,-0.0684749299247557,-0.195468814314193
"ec:1.1.1.153",-0.257103344898144,-0.394074347855986,-0.108703434978053,-0.126672605695594,-0.150285368377508,-0.15682608873826,-0.247605099255736,-0.298988217758411,-0.0738980635053459,-0.0744450292390511,-0.0941927531217054,-0.071021838475418,-0.084524156811137,-0.0889871978080838,-0.0675316565752596,-0.0735559614029783,-0.107408965481383,-0.106056101109086,-0.088739506705138,-0.107627061669605,-0.0753710370092254,-0.165805084517507,-0.127393171510017,-0.120639606278998,-0.100133952012907,-0.1755486388758,-0.171106511722598,-0.227929040748757,-0.240237018321966
"ec:1.1.1.170",-0.257103344898144,-0.394074347855986,-0.108703434978053,-0.126672605695594,-0.150285368377508,-0.15682608873826,-0.247605099255736,-0.298988217758411,-0.0738980635053459,-0.0744450292390511,-0.0941927531217054,-0.071021838475418,-0.084524156811137,-0.0889871978080838,-0.0675316565752596,-0.0735559614029783,-0.107408965481383,-0.106056101109086,-0.088739506705138,-0.107627061669605,-0.0753710370092254,-0.165805084517507,-0.127393171510017,-0.120639606278998,-0.100133952012907,-0.1755486388758,-0.171106511722598,-0.227929040748757,-0.240237018321966
"ec:1.1.1.178",-0.257103344898144,-0.37495664291558,-0.108703434978053,-0.126672605695594,-0.150285368377508,-0.15682608873826,-0.247605099255736,-0.298988217758411,-0.0738980635053459,-0.0744450292390511,-0.0941927531217054,-0.071021838475418,-0.084524156811137,-0.0889871978080838,-0.0675316565752596,-0.0735559614029783,-0.107408965481383,-0.106056101109086,-0.088739506705138,-0.107627061669605,-0.0753710370092254,-0.165805084517507,-0.127393171510017,-0.120639606278998,-0.100133952012907,-0.1755486388758,-0.171106511722598,-0.227929040748757,-0.240237018321966
"ec:1.1.1.179",-0.257103344898144,-0.394074347855986,-0.108703434978053,-0.126672605695594,-0.150285368377508,-0.15682608873826,-0.247605099255736,-0.298988217758411,-0.0738980635053459,-0.0744450292390511,-0.0941927531217054,-0.071021838475418,-0.084524156811137,-0.0889871978080838,-0.0675316565752596,-0.0735559614029783,-0.107408965481383,-0.106056101109086,-0.088739506705138,-0.107627061669605,-0.0753710370092254,-0.165805084517507,-0.127393171510017,-0.120639606278998,-0.100133952012907,-0.1755486388758,-0.171106511722598,-0.227929040748757,-0.240237018321966
