ID,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29
cpd:C00001,8061.0,373.0,50625.0,76233.0,1079.0,15879.0,1921.0,142.0,234635.0,1016164.0,629175.0,179620.0,55510.0,183478.0,1753.0,51494.0,60027.0,3748.0,28940.0,2605.0,6397.0,6379.0,7404.0,5535.0,1349.0,2264.0,328.0,289.0,32.0
cpd:C00002,2727.0,176.0,12382.0,17301.0,432.0,5311.0,714.0,65.0,31854.0,155420.0,96999.0,36461.0,10519.0,44427.0,454.0,11547.0,17203.0,1084.0,6584.0,675.0,1768.0,1335.0,2160.0,1830.0,403.0,864.0,130.0,126.0,14.0
cpd:C00003,2204.0,99.0,5887.0,20333.0,222.0,2909.0,374.0,22.0,14750.0,84322.0,167265.0,14949.0,3231.0,34150.0,226.0,8413.0,7969.0,339.0,2903.0,815.0,737.0,721.0,734.0,796.0,201.0,226.0,48.0,35.0,1.0
cpd:C00004,5206.0,134.0,4992.0,118373.0,637.0,7408.0,761.0,31.0,5021.0,102480.0,2268626.0,15165.0,1729.0,221135.0,85.0,32434.0,41399.0,1063.0,2636.0,5887.0,1508.0,3870.0,1689.0,1543.0,767.0,551.0,107.0,56.0,3.0
cpd:C00005,1057.0,48.0,1625.0,8514.0,17.0,1255.0,118.0,9.0,883.0,22606.0,55815.0,6076.0,587.0,12904.0,9.0,409.0,2892.0,138.0,721.0,5.0,52.0,124.0,269.0,219.0,21.0,49.0,11.0,11.0,0.0
cpd:C00006,720.0,51.0,1178.0,4701.0,49.0,913.0,139.0,8.0,703.0,10456.0,27767.0,2421.0,489.0,7295.0,13.0,937.0,2042.0,67.0,699.0,30.0,138.0,131.0,178.0,231.0,48.0,64.0,31.0,9.0,0.0
cpd:C00007,416.0,15.0,459.0,2423.0,1.0,298.0,20.0,1.0,123.0,4987.0,11028.0,938.0,67.0,2309.0,0.0,21.0,354.0,23.0,140.0,0.0,4.0,9.0,22.0,18.0,0.0,4.0,1.0,0.0,0.0
cpd:C00008,3208.0,232.0,10100.0,30567.0,262.0,8062.0,1069.0,115.0,17001.0,154417.0,249682.0,44642.0,9415.0,99776.0,290.0,8745.0,33725.0,2313.0,6218.0,223.0,1684.0,2937.0,4313.0,3007.0,280.0,1694.0,109.0,233.0,30.0
cpd:C00009,2444.0,248.0,6065.0,19423.0,185.0,6823.0,1168.0,137.0,9648.0,68945.0,133004.0,27555.0,6367.0,67662.0,149.0,4187.0,27957.0,2184.0,5033.0,101.0,1036.0,2923.0,3773.0,3378.0,219.0,1872.0,194.0,307.0,34.0
cpd:C00010,796.0,70.0,1861.0,3211.0,89.0,1243.0,178.0,24.0,2750.0,14458.0,10443.0,4796.0,1260.0,6267.0,41.0,956.0,2415.0,191.0,874.0,191.0,235.0,145.0,482.0,299.0,57.0,168.0,6.0,27.0,4.0
