ID,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29
cpd:C00001,8764.0,359.0,53099.0,89055.0,1110.0,16292.0,1918.0,119.0,252803.0,1140821.0,781190.0,186278.0,56144.0,212373.0,1613.0,52832.0,66106.0,4127.0,28371.0,3498.0,5579.0,7219.0,6276.0,5327.0,1081.0,2121.0,279.0,231.0,20.0
cpd:C00002,3314.0,203.0,15477.0,23944.0,496.0,6690.0,876.0,74.0,44041.0,211254.0,154776.0,49926.0,13930.0,62603.0,654.0,14892.0,23891.0,1364.0,8337.0,766.0,2319.0,1850.0,2795.0,2401.0,488.0,1071.0,155.0,152.0,14.0
cpd:C00003,2443.0,122.0,6675.0,23407.0,262.0,3675.0,469.0,31.0,17873.0,95629.0,200250.0,18020.0,4392.0,46022.0,245.0,10181.0,10298.0,561.0,3792.0,999.0,1034.0,887.0,1022.0,1028.0,239.0,312.0,71.0,54.0,1.0
cpd:C00004,4844.0,108.0,1986.0,123984.0,24.0,6785.0,691.0,25.0,1336.0,36898.0,2551007.0,8051.0,622.0,231321.0,9.0,964.0,42892.0,895.0,701.0,3.0,119.0,4244.0,1490.0,1292.0,21.0,521.0,16.0,44.0,3.0
cpd:C00005,505.0,11.0,819.0,3089.0,8.0,201.0,8.0,1.0,967.0,8810.0,16575.0,844.0,237.0,1435.0,6.0,194.0,143.0,10.0,43.0,1.0,18.0,1.0,10.0,6.0,4.0,1.0,0.0,0.0,0.0
cpd:C00006,923.0,60.0,1800.0,6281.0,84.0,1260.0,153.0,10.0,2609.0,16176.0,40027.0,3758.0,986.0,11421.0,43.0,1457.0,2763.0,171.0,870.0,98.0,243.0,132.0,257.0,286.0,67.0,84.0,20.0,12.0,0.0
cpd:C00007,562.0,20.0,830.0,3610.0,9.0,426.0,26.0,2.0,408.0,10140.0,18617.0,1402.0,205.0,3753.0,6.0,222.0,489.0,39.0,222.0,5.0,17.0,12.0,50.0,25.0,4.0,6.0,1.0,0.0,0.0
cpd:C00008,3468.0,225.0,9729.0,38167.0,256.0,8461.0,1133.0,95.0,15086.0,161851.0,362564.0,45402.0,8257.0,120976.0,273.0,8960.0,38962.0,2277.0,6367.0,226.0,1583.0,3349.0,3694.0,3335.0,289.0,1625.0,129.0,214.0,18.0
cpd:C00009,3193.0,234.0,8542.0,31156.0,192.0,8224.0,1133.0,108.0,12753.0,132494.0,247524.0,46605.0,7723.0,100682.0,136.0,5588.0,36120.0,2453.0,6165.0,107.0,1106.0,3249.0,3976.0,3327.0,213.0,1681.0,162.0,238.0,22.0
cpd:C00010,797.0,68.0,1857.0,3256.0,87.0,1212.0,181.0,20.0,3004.0,14186.0,11211.0,4470.0,1380.0,6176.0,33.0,1084.0,2546.0,193.0,784.0,155.0,250.0,167.0,380.0,319.0,47.0,159.0,9.0,18.0,3.0
cpd:C00011,1308.0,89.0,3772.0,7219.0,106.0,2189.0,271.0,22.0,6915.0,36684.0,33827.0,10988.0,2235.0,15636.0,115.0,2596.0,5480.0,365.0,1874.0,67.0,452.0,302.0,607.0,697.0,111.0,179.0,46.0,26.0,1.0
cpd:C00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpd:C00013,534.0,29.0,782.0,2746.0,15.0,534.0,62.0,3.0,552.0,7198.0,11132.0,2083.0,289.0,3337.0,0.0,265.0,1072.0,20.0,278.0,4.0,15.0,42.0,66.0,93.0,5.0,20.0,10.0,2.0,0.0
cpd:C00014,471.0,62.0,866.0,1619.0,57.0,745.0,159.0,27.0,715.0,4362.0,5352.0,1633.0,430.0,2843.0,17.0,684.0,1417.0,48.0,537.0,35.0,165.0,137.0,318.0,191.0,75.0,157.0,19.0,39.0,5.0
cpd:C00015,168.0,40.0,242.0,217.0,9.0,273.0,57.0,22.0,170.0,561.0,192.0,461.0,126.0,376.0,0.0,61.0,247.0,18.0,145.0,1.0,27.0,11.0,171.0,50.0,4.0,63.0,3.0,13.0,7.0
cpd:C00016,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpd:C00018,10.0,4.0,8.0,2.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpd:C00019,13.0,3.0,4.0,5.0,0.0,6.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpd:C00020,316.0,54.0,532.0,730.0,7.0,524.0,112.0,28.0,371.0,2532.0,1272.0,1304.0,258.0,1239.0,3.0,65.0,729.0,31.0,393.0,0.0,33.0,48.0,266.0,141.0,3.0,118.0,4.0,38.0,6.0
cpd:C00021,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpd:C00022,141.0,34.0,271.0,96.0,14.0,197.0,51.0,9.0,308.0,408.0,29.0,266.0,242.0,138.0,8.0,72.0,153.0,41.0,134.0,1.0,49.0,7.0,52.0,64.0,8.0,31.0,4.0,5.0,1.0
