"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","EC1","EC2","EC3","EC4","EC5","EC6"
"sig_1",1,0.737182581896354,0.737209900195901,0.863064280710263,0.574809516005406,0.949878637976828,0.83919496466144,0.609454981056533,0.577938254329981,0.580024467738209,0.53744071811593,0.623829310348931,0.702200851749682,0.733741413819995,0.434799635551998,0.622343245327079,0.908032088734305,0.827680373074092,0.606893177638142,0.407234633203727,0.539733890809874,0.827030075392999,0.80589396190339,0.805359666509698,0.510205795080877,0.731175756162857,0.533756795825828,0.676246028752826,0.524192452650192,-0.0707571197722001,0.0548186471870282,0.0393508442660604,-0.0347481004527853,-0.0432268655131037,0.0220808937771627
"sig_2",0.737182581896354,1.00000000000001,0.380593896619427,0.445845032853513,0.220915565987495,0.759201601597099,0.867653995571316,0.967754118900175,0.286506442301969,0.229888362853597,0.170911300149914,0.234096151875429,0.459304246206325,0.3709305882527,0.122561602813407,0.239780066229961,0.626476464455069,0.642466984557215,0.302376227952869,0.111444719172515,0.173077411929438,0.721068783978836,0.767961626034868,0.759126952149495,0.190798108181353,0.808977237435156,0.366133033715411,0.856780722816513,0.916408721983283,-0.0931845131770999,0.0932418861242235,-0.0280976559297884,0.0379832521850057,-0.0670444517211356,0.0117132929802814
"sig_3",0.737209900195901,0.380593896619427,1,0.761148892158627,0.418503277938017,0.720988839831527,0.428560276245416,0.275054370514524,0.942375644363506,0.957471922221513,0.691125188730924,0.955284698136469,0.927520467270395,0.674742039100352,0.876084980489891,0.802115699045595,0.681386933616738,0.65425138247787,0.941656388473613,0.23965900104646,0.781297608722845,0.485132755429592,0.579110051322559,0.479450705308462,0.356580422950186,0.368766866419271,0.181864212578355,0.289577201415149,0.218144061859592,-0.0539446185546033,-0.0184679052402381,0.0838445109540539,-0.0188368688484074,-0.0117232879725283,0.0291055681982909
"sig_4",0.863064280710263,0.445845032853513,0.761148892158627,1,0.530677240384751,0.782386111381231,0.570910216340541,0.312257764664214,0.622921458462898,0.686847601724436,0.833452419393347,0.717793707971995,0.673591080847071,0.897196002686797,0.554349399459304,0.658754019298601,0.885248722057809,0.675416694126799,0.63545240513745,0.390231119996034,0.601055723109869,0.684576888894811,0.580606078912477,0.597726959769238,0.474895800237721,0.447803749823049,0.392426996611951,0.393654722601767,0.234838935683858,-0.0330030377122213,0.00447917044813502,0.0594309622812966,-0.0484816487020947,-0.0393755642747682,0.043520810054235
"sig_5",0.574809516005406,0.220915565987495,0.418503277938017,0.530677240384751,1,0.445566947912518,0.335249131145387,0.0997897724388519,0.274978006773177,0.303904078824822,0.216213773120016,0.408337671807783,0.310695143690136,0.399742266839482,0.20230545439713,0.670238797564218,0.464975197486391,0.434694408253346,0.288958694021141,0.961133899249184,0.628786115164388,0.363800165027459,0.271721558401969,0.242456851711182,0.980566729325372,0.165205019675789,0.726674963512828,0.123365643670217,0.056192331449422,-0.0450606213270542,-0.0135481944815804,0.0615896734056516,-0.0410711125860234,-0.0271939535050004,0.0734782509351679
"sig_6",0.949878637976828,0.759201601597099,0.720988839831527,0.782386111381231,0.445566947912518,0.999999999999991,0.852965297282222,0.673517683421564,0.584439673496208,0.562266866455751,0.474652020494815,0.593057895390595,0.737638565995793,0.720032321594754,0.421125203807662,0.60191571847132,0.88152930300968,0.929905704238874,0.57475604340778,0.28618200138464,0.510077036068281,0.809133024509884,0.933250028187995,0.868499524971488,0.405746092698411,0.828539280435125,0.434005113380234,0.738559558569459,0.602499810234817,-0.0598906893587863,0.0520798940057864,0.0320006414492696,-0.0526267139640084,-0.0387819985736713,0.0378949974036755
"sig_7",0.83919496466144,0.867653995571316,0.428560276245416,0.570910216340541,0.335249131145387,0.852965297282222,0.999999999999992,0.829391692189423,0.331007759917217,0.272402719864717,0.226355233213966,0.288716153291343,0.504793402291266,0.439979760978587,0.148659190511454,0.258765645217051,0.80724060572082,0.69926298125269,0.323191743267774,0.211279042497046,0.202139763347507,0.928419838744189,0.812255876625129,0.940969047578347,0.290920667225219,0.946072832964878,0.540468053432025,0.947837430572969,0.768039680204337,-0.0614527423622605,0.061880882133406,0.0158172625813422,-0.0103679311023296,-0.0498680492541468,0.00483914356506979
"sig_8",0.609454981056533,0.967754118900175,0.275054370514524,0.312257764664214,0.0997897724388519,0.673517683421564,0.829391692189423,1,0.212924156834319,0.13957557246421,0.0807389948027783,0.131979912905147,0.39263067176631,0.248241688529687,0.0415428598871843,0.139983207273124,0.521906939763387,0.578814458539793,0.202103523412121,0.0129329595032722,0.0822382211007542,0.662088176733462,0.737545394974771,0.725694604765321,0.0873614045102456,0.820026033581322,0.275917717194712,0.88194065373352,0.984642163767001,-0.0685491949034523,0.0706994950462847,-0.0323996370242974,0.0506858879681723,-0.0576317327480735,0.00108574640655993
"sig_9",0.577938254329981,0.286506442301969,0.942375644363506,0.622921458462898,0.274978006773177,0.584439673496208,0.331007759917217,0.212924156834319,0.999999999999999,0.971298516290359,0.649964418000278,0.920519754258961,0.941934719182936,0.5311363932885,0.927176656996665,0.658826530850497,0.555378475588706,0.536566810735785,0.908933546670603,0.105506776276962,0.666824639608968,0.391569013165143,0.48915077405721,0.384083391703374,0.213010271320252,0.294955588910705,0.135594720607369,0.22310857757756,0.174524901450681,-0.032493879517166,-0.0158923947510809,0.0903715222749522,-0.0252130184306316,-0.012733587862747,-0.0076683603833367
"sig_10",0.580024467738209,0.229888362853597,0.957471922221513,0.686847601724436,0.303904078824822,0.562266866455751,0.272402719864717,0.13957557246421,0.971298516290359,1,0.738886807270211,0.967944948374745,0.880714876745204,0.593841717548797,0.964393924957236,0.710345636139531,0.569096775597576,0.509686994908515,0.935259673230037,0.137599841887012,0.726741999233443,0.364537021662543,0.423869270888866,0.33646077364259,0.239198288628794,0.21950983093115,0.102868319405603,0.146222742208675,0.0961618913513229,-0.03182761518533,-0.0246770759003183,0.0963477782301485,-0.0288852226945726,-0.0147858805255077,0.00481313635415773
"sig_11",0.53744071811593,0.170911300149914,0.691125188730924,0.833452419393347,0.216213773120016,0.474652020494815,0.226355233213966,0.0807389948027783,0.649964418000278,0.738886807270211,1,0.70285154033437,0.595183753056326,0.715649346523128,0.673075651225614,0.500142129958376,0.604822389895036,0.41139363437028,0.64438324829915,0.100034295716931,0.493052157967692,0.374538987359951,0.311577817402529,0.297016288620772,0.171134944228159,0.162583725792814,0.0882124495110435,0.0957317729986888,0.0395528804249779,-0.0224867679941544,-0.00578352062046171,0.0563884129165881,-0.0164485605524703,-0.0274829819344448,0.00608678191487901
"sig_12",0.623829310348931,0.234096151875429,0.955284698136469,0.717793707971995,0.408337671807783,0.593057895390595,0.288716153291343,0.131979912905147,0.920519754258961,0.967944948374745,0.70285154033437,0.999999999999995,0.825493963201027,0.611667106329503,0.921802823832855,0.792456544484098,0.602743899595814,0.530211478860141,0.917279725066257,0.254738006515201,0.819204311390556,0.388646908369411,0.414644392324476,0.353476094532685,0.35120468438215,0.22593555691178,0.114024791703432,0.152792953598376,0.0808913120170159,-0.015057365634364,-0.0462024093443779,0.0904698294311519,-0.0315773606965984,-0.0145701738475281,0.0299650179015692
