"","V1"
"AFG",-0.660107716076829
"AGO",-1.13797710562938
"ARE",-0.660107716076829
"ARG",-0.182238326524278
"ATG",1.72923923168593
"AUS",-0.660107716076829
"AUT",1.72923923168593
"AZE",-1.13797710562938
"BEL",1.72923923168593
"BEN",0.773500452580825
"BGD",-0.660107716076829
"BGR",1.25136984213338
"BHS",-1.13797710562938
"BLR",0.295631063028273
"BRA",-0.182238326524278
"BRN",-0.660107716076829
"BWA",-0.182238326524278
"CAN",-0.660107716076829
"CHE",0.295631063028273
"CHL",-0.660107716076829
"CHN",-0.660107716076829
"COD",0.773500452580825
"COG",0.773500452580825
"COL",-0.182238326524278
"CRI",-0.660107716076829
"CYP",1.72923923168593
"CZE",1.25136984213338
"DEU",1.72923923168593
"DNK",1.25136984213338
"DOM",-0.660107716076829
"DZA",-0.660107716076829
"ECU",-0.182238326524278
"EGY",-0.660107716076829
"ESP",1.72923923168593
"EST",1.72923923168593
"FIN",1.72923923168593
"FRA",1.72923923168593
"GAB",0.773500452580825
"GBR",1.25136984213338
"GHA",-1.13797710562938
"GNQ",0.773500452580825
"GRC",1.72923923168593
"GTM",-0.660107716076829
"HND",-0.660107716076829
"HRV",0.295631063028273
"HUN",1.25136984213338
"IDN",-0.660107716076829
"IND",-0.660107716076829
"IRL",1.72923923168593
"IRN",-1.13797710562938
"IRQ",-0.660107716076829
"ISR",-0.182238326524278
"ITA",1.72923923168593
"JOR",-0.660107716076829
"JPN",-0.660107716076829
"KAZ",0.295631063028273
"KGZ",-0.660107716076829
"KHM",-0.660107716076829
"KOR",-0.660107716076829
"KWT",-0.660107716076829
"LAO",-0.660107716076829
"LBR",-1.13797710562938
"LBY",-0.660107716076829
"LCA",1.72923923168593
"LKA",-0.660107716076829
"LTU",1.25136984213338
"LUX",1.72923923168593
"LVA",-0.660107716076829
"MAR",-0.660107716076829
"MEX",-0.660107716076829
"MLT",1.72923923168593
"MMR",-0.660107716076829
"MNG",-1.13797710562938
"MOZ",-0.660107716076829
"MYS",-0.660107716076829
"NGA",-1.13797710562938
"NIC",-0.660107716076829
"NLD",1.72923923168593
"NOR",0.295631063028273
"NPL",-0.660107716076829
"NZL",-0.660107716076829
"OMN",-0.660107716076829
"PAK",-0.660107716076829
"PAN",-0.660107716076829
"PER",-0.182238326524278
"PHL",-0.660107716076829
"PNG",-1.13797710562938
"POL",1.25136984213338
"PRK",-1.13797710562938
"PRT",1.72923923168593
"PRY",-0.182238326524278
"QAT",-0.660107716076829
"ROM",1.25136984213338
"RUS",0.295631063028273
"SAU",-0.660107716076829
"SDN",-0.660107716076829
"SGP",-0.660107716076829
"SLV",-0.660107716076829
"SRB",-0.660107716076829
"SVK",1.72923923168593
"SVN",1.72923923168593
"SWE",1.25136984213338
"SYR",-0.660107716076829
"TCD",0.773500452580825
"THA",-0.660107716076829
"TTO",1.25136984213338
"TUN",-0.660107716076829
"TUR",-0.182238326524278
"UKR",-0.660107716076829
"URY",-0.182238326524278
"USA",-0.660107716076829
"UZB",-1.13797710562938
"VEN",-1.13797710562938
"VNM",-0.660107716076829
"YEM",-1.13797710562938
"ZAF",-0.182238326524278
"ZMB",-0.660107716076829
"ZWE",-0.660107716076829
