"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"Cell.cycle.progression.meiosis",-3.30051980214033,-4.2207414964961,4.2687027834214,-2.01672255128398,-5.55909845879432,-14.672154373273,12.8198698126496,25.9177712088677,-61.2326256452505,23.4078682758129,-1.16180402852707,-292.980333594241,-1159.29282451417,-33002970.9567457
"Nuclear.cytoplasmic.transport",-6.069922273476,-7.72887795661049,7.87596432191445,-3.52593440991397,-11.0913536228583,-26.5551507626909,23.2945533511867,47.289438069828,-111.369417869251,42.5282770818419,-2.11917742822176,-534.351767287818,-2108.6225218259,-60069174.1943194
"Chrom..seg..kinetoch..spindle.microtub.",-9.25627780249857,-11.5735671736871,11.8579056842589,-5.68358998849431,-15.7211139573118,-41.481380908724,34.8396243805776,71.6352268970622,-169.299331492229,64.5082966660369,-2.93727837276669,-811.952907151113,-3204.43130624907,-91284953.70968
"RNA.processing",-12.4725413033839,-15.2485506608232,15.7146275399988,-7.2447891353858,-19.7267433157732,-51.8181174074986,44.6364529734609,91.5069660140667,-215.611168501086,82.3159037816969,-3.83012649895102,-1034.65399853211,-4083.3276302965,-116321950.485565
"Signaling.stress.response",-7.33650161361075,-9.36261175080311,9.51760962726971,-4.47267711235731,-12.2884237447706,-32.2763206798535,27.8075972371883,57.3668438179123,-135.710177071093,50.9639605130583,-2.68187150378517,-648.210953975874,-2557.86915808881,-72866237.8693689
"ER.Golgi.traffic",-5.85264252841748,-7.46005817834803,7.56278237291625,-3.47548890417495,-9.86832109665022,-25.7656408708088,21.6896633592578,45.8591770549791,-107.722437519387,41.6514144908825,-2.21820913512246,-515.574656121844,-2035.05204026813,-57974981.3312427
"Chromatin.transcription",-13.3816209253739,-16.1237497616976,15.6832573043392,-7.27861467201202,-21.2824600292877,-55.7371772353024,47.9384783316678,98.4307100479876,-232.088473568742,88.523962373476,-4.11544876417567,-1113.48441890996,-4394.35811334404,-125182171.009095
"DNA.replication...repair.HR.cohesion",-9.70656402448938,-12.3547000388134,12.4740085074876,-5.84477958392816,-16.2292459254336,-42.8848719591821,37.1510858044056,76.0102429853983,-178.339864035668,68.0159583631169,-3.1776283058843,-855.916406897281,-3379.63958966014,-96291202.8833124
"Protein.degredation.proteosome",-7.15156112074439,-7.7531063101732,9.01787290380945,-3.93401115756215,-11.4035411997218,-29.9049432585818,25.8327773170642,53.060208428972,-124.851692317311,47.651236667344,-2.24425329397664,-599.225725906144,-2364.79408647069,-67365868.6490035
"Golgi.endosome.vacuole.sorting",-10.7915309384448,-13.7104995226229,13.807169763177,-6.46343215866655,-18.0148134283772,-47.5514334410938,40.8865300701967,84.4878787734017,-197.176453289913,75.2557065615474,-3.55947570520331,-947.971524580326,-3739.953751138,-106532453.423234
"Protein.folding...glycosylation.cell.wall",-7.7253870156215,-9.88700813661391,10.0133212359127,-4.63515311085089,-12.89260041324,-34.2497098944496,29.5944093768026,60.103139894523,-142.339378500744,54.4988726372549,-3.17619316860149,-685.041961028094,-2702.80218747816,-76995529.4290049
"Metabolism.mitochondria",-13.0938825401658,-16.7336195696634,16.9853829340034,-7.80348050353171,-21.9603912666572,-57.9442653824373,50.2788182712224,102.384228631132,-241.966183347226,92.5522125026661,-3.87065197919178,-1160.09105750091,-4577.31474406907,-130394297.156524
"Ribosome.translation",-10.6033519934312,-13.5246017752814,13.8876744809482,-5.3996825591423,-17.6353547714998,-46.5757752427446,39.8251017962706,81.935636298246,-192.983547397808,73.5269309739265,-3.42779277879885,-925.992446465058,-3654.66192976333,-104110051.518353
"Cell.polarity.morphogenesis",-9.24732996488341,-11.7872933281954,11.9904503725271,-5.58495356361643,-15.7237521483371,-40.5628659454908,34.5871602718382,72.0256733586807,-169.775886829509,64.6829150556807,-2.6598715084522,-816.258960389701,-3221.80365678674,-91777833.9187903
