"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"BCA",-0.226719786693096,0.082237042137232,-0.120579020298982,0.189655122061954,-0.135386379606687,0.18544280798596,-0.0799748183430949,0.0923068121030639,-0.0534664046473985,0.0397425542199029,-0.0303430373273532,0.0110792299885252,-0.049030914376944,0.0483498428459197,0.00233801192198378,-0.0396331247244584,0.054672525831266,-0.0569594822023737,-0.0363579229648322,-0.00719389946412798,0.00732988937894921
"KC",0.221181934910442,-0.230294771860176,-0.147572435352926,-0.162531604236238,-0.213476813088907,-0.0681596941213758,-0.211081101114284,-0.126862421134461,0.147509578501441,-0.120645154984174,0.00615553613459671,-0.0386744915456361,-0.0308133219200999,-0.00965997699617474,0.0558551441304067,-0.00034625971987389,-0.034745605798286,0.00148782998025313,-0.0106715938039158,0.00729157830227524,-0.0047012523644022
"KG",-0.0274551245914152,-0.345351024613933,-0.269014958774355,-0.15998230278895,-0.040919228312074,0.0978962777850621,0.141321948708107,0.00164832367996881,0.0022227894653227,-0.127401538254291,0.0819605451219393,0.0525883519957843,0.0231962860456924,-0.0405306208911204,-0.0767175073572305,0.0302090576078311,0.0258235090343191,-0.0283075950762181,0.00294630468711536,-0.00384640086264817,0.0028290382805104
"KI",-0.242826899387707,0.0587784911199326,0.00262705207207362,-0.0817286661285457,0.129043315644991,0.061554929609604,0.110946507667954,0.120010673654962,-0.166737750152355,0.164918055468413,-0.0324569741198236,-0.122251035810343,-0.0449080819423788,0.0531113490226425,-0.0289602520035876,0.00527998814464832,0.00548611566033109,0.0385615116936713,0.0164044336778545,-0.0017502264796557,0.00433498395177806
"LE",0.75589193067634,-0.104422319313554,0.192887922572952,-0.255559102982219,0.144551039585692,-0.0396791232442069,-0.0267669451912679,0.0168301067739022,0.0061677919619694,0.0397065881774263,0.0233356911934403,-0.0325004828380936,0.0220685332361978,-0.00248915000231886,0.00296969379246508,-0.00247036757889363,0.00302270824772817,0.00859829691218211,0.00532932859914917,0.00965942712251072,-0.00233122247000545
"OPENK",-0.331085303964667,0.0569382359792065,0.235155316224596,0.130150093880973,0.0364760626122561,-0.146345924584011,0.193669452306133,0.108318980190569,-0.0995270225040456,0.0210974729539929,-0.0203894635198458,0.0902874302653193,-0.0398361420019477,-0.0246163473539349,-0.0701399419669434,-0.0507603253826785,0.03686942043065,0.0114790524007039,0.006449434079153,-0.0110986509714081,0.000551707106075089
"POP",0.768789219153116,-0.120998002863247,0.17708371571653,-0.225459961457574,0.139888367367808,-0.0496488868698094,-0.0222077404718131,0.0194726655300551,0.0223031626252243,0.0455904075097518,0.03341956729516,-0.0360803293643914,0.0220446830783772,-0.00174851901373118,0.00339253045944375,6.64827914469454e-05,0.00290960386685409,0.0100640971700494,0.00391537017030039,0.00913224259693171,-0.00231500325800667
"RGDPCH",0.201204841445596,0.325776743484367,0.486880653307299,0.0906424543685498,-0.0876817871991166,0.0183091716689077,0.209758270008042,-0.0197455883861806,-0.00614761218062625,-0.040068465917189,-0.0387833922699635,0.0718448629838923,0.0141143046495776,0.0363520856278325,0.0111907008234384,-0.00359053085837467,0.0065158986606656,0.00813522656464109,0.00928390826796307,-0.00721724204037051,0.00200589613227872
"RGDPL",0.201678920057773,0.325785108685185,0.487215756579851,0.0907965124183171,-0.0880039858986712,0.0185772900803486,0.209952629296539,-0.0203806126819206,-0.00550630296779571,-0.0400679591741063,-0.0385515965790615,0.071767843994331,0.0138584948844324,0.036087936256902,0.0111309821815325,-0.00358561469450178,0.00639027505052565,0.00790415911800549,0.00927357669708781,-0.0071717860007476,0.00197620482443532
"RGDPL2",0.199863198064912,0.315756654080835,0.488382964248265,0.0864371107342056,-0.0910202261057158,0.0226290379809683,0.212209938897062,-0.0241118825275113,0.00233695118995474,-0.0382516913170655,-0.0394222152726102,0.0737801158457965,0.0154848146988637,0.035802514011558,0.0153363654876745,-0.00447206597715252,0.00492036745745207,0.00648100138262441,0.00959680143869713,-0.0074773327710805,0.00167131822123436
