"","BCA","KC","KG","KI","LE","OPENK","POP","RGDPCH","RGDPL","RGDPL2","XRAT","BCAperRGDPL","KCxRGDPL","KGxRGDPL","KIxRGDPL","KCxRGDPLxPOP","KGxRGDPLxPOP","KIxRGDPLxPOP","RGDPCHxPOP","RGDPLxPOP","RGDPL2xPOP","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"BCA",1,-0.209911019841061,-0.00910281779531639,0.0514248906847462,-0.485568699962713,0.122603718117673,-0.488644591188349,-0.0887972550444877,-0.0889589460536765,-0.0909444270341652,0.0648215709452196,0.988972163665877,-0.22817551994261,-0.10364782162525,-0.0388255645686992,-0.63961245761557,-0.576931687372694,-0.586324106579654,-0.60826876888642,-0.608169495712277,-0.607438265740785,0.0237276020721202,0.0450568038353411,-0.0764288904986541,-0.0556939003647273,0.0234573005165137,0.0389954168896046,0.10201578884102,0.0806247318988248,-0.231122038591715,-0.28852449819446,-0.118927238424362,-0.25089500993703,-0.175701051624758,-0.120071053034923,-0.0487819645954263,-0.191380306093046,-0.103431555944302,-0.0315765719279603,-0.178570552745524,-0.0742138252113869,-0.0572321979863,-0.030193084707974,-0.028178861401237,-0.0142813531003214,0.0042716382944575,0.0759973614817467,0.0479867446824514,0.129398859725031,0.0900147990314761
"KC",-0.209911019841061,1,0.0720990936411737,-0.582622900109783,0.206017354168813,-0.699057228622164,0.220657047891043,-0.375692628038232,-0.374482621946784,-0.357957856912662,-0.186157487427735,-0.223966775671926,0.0752066885608768,-0.295222422471639,-0.615322932485472,0.226422822854224,0.224822655145899,0.16456373063913,0.210078318972626,0.210175457012775,0.210993004951026,0.00898419774227131,-0.150803661331069,0.0281349597080072,0.143179102891821,-0.243058816066399,-0.0880925953639919,-0.350197975687257,-0.0470214026055488,0.208940423147814,0.254035994721706,0.254422887013989,0.233151906688618,0.172153628042687,0.249885645186608,0.089526952123664,0.178021677223542,0.202880868185218,0.126430141670467,0.136821891060718,-0.0160222427808303,0.0161434539024678,0.093039340342444,0.0763921112829181,0.015510864354207,-0.1020577314459,-0.193607612171015,-0.239224087870832,-0.372242495873591,-0.0825490844973575
"KG",-0.00910281779531639,0.0720990936411737,1,-0.235250660754805,-0.0819767851884457,0.0314041744752661,-0.0766175684427221,-0.346385163822338,-0.345773621769508,-0.344993177157131,-0.140198072610966,-0.0257164740884491,-0.344628288296984,0.362795978491432,-0.394737172449269,-0.0689630688460163,-0.0228043116234711,-0.117585696561613,-0.0795421604979367,-0.0793696830675266,-0.077406126576946,-0.133193869690834,0.0619252933019588,-0.0398015056177378,-0.0219083170065157,0.0226702378777949,-0.0941743955519625,-0.120705937613819,0.200118405928137,-0.0308121847644863,-0.00593391719390473,0.0397212632376814,-0.0374983301263708,-0.0868181704847776,-0.00663209056894718,-0.00239528982194009,-0.0222929171965709,-0.0525634631927505,-0.126240010011518,-0.0809759235305552,-0.00554887881116747,-0.062718146768988,-0.0901369448267451,-0.0914511389452807,-0.1201469464209,-0.0214749787633328,-0.210462060504394,-0.0569724529611432,-0.238884365754066,-0.00710007327875698
"KI",0.0514248906847462,-0.582622900109783,-0.235250660754805,1,-0.0660342605901343,0.288226863847142,-0.0786107588919928,-0.0398873131997459,-0.0417228385083896,-0.0586417414722567,0.421014274193655,0.0608950368505955,-0.273879592276868,-0.219812863517762,0.433976699155061,-0.111130614451492,-0.133360742359918,-0.00541259652564973,-0.0923090606099484,-0.0925293092020142,-0.094691988988815,0.0999103801271868,0.121078549220588,-0.0628651443873726,-0.209474320375374,0.244542394559793,0.0771301623753744,0.278377021969261,0.106295305192893,-0.192449320822408,-0.261296255890239,-0.286652008392014,-0.254639974027009,-0.133385334346889,-0.286494815861852,-0.0404971436817533,-0.176061417647676,-0.257150628429626,-0.112920270835309,-0.150098000005918,0.0437234926826727,0.00635553879141807,-0.191372754114545,-0.0992875736454899,-0.0665203866387339,0.113456644786039,0.0395533638696548,0.223431228282579,0.150702923290957,0.058974651277331
"LE",-0.485568699962713,0.206017354168813,-0.0819767851884457,-0.0660342605901343,1,-0.324192152643379,0.996766385194235,0.136303332485127,0.136597587994745,0.136830926592761,0.0835045620498121,-0.436382940665833,0.29411530363777,0.122335081897489,0.0624897088064258,0.968019366606978,0.974562124110876,0.969296998867789,0.977660829768958,0.977702280041525,0.977897937986223,-0.12838266268958,-0.264041862926378,0.331977078802318,0.313244013413657,0.0207686014316371,-0.0964124127914688,-0.268296036625371,-0.339875634207684,0.733799809193728,0.767824165937006,0.546682215763821,0.681460537533853,0.649553109397218,0.540988669691468,0.305457348083998,0.650594870300572,0.465477121318359,0.358724661354586,0.550275572075089,0.294136614279627,0.428985865702103,0.207532933742418,0.147262940900571,0.310279840859664,0.18405704005372,-0.0412504694705279,0.0859569017999006,-0.213942833409449,-0.298169731344934
"OPENK",0.122603718117673,-0.699057228622164,0.0314041744752661,0.288226863847142,-0.324192152643379,0.999999999999999,-0.33801444752335,0.378484228750374,0.377637477971028,0.363815231745442,-0.0941660616531881,0.112668599292614,0.0103770717309726,0.371941274439802,0.499235444148342,-0.273854746760778,-0.276971860347769,-0.280869841492783,-0.277859293886548,-0.277881788711276,-0.277780578301222,0.000431249870299207,0.281299428319633,-0.24642276729936,-0.288458000484945,0.0588131849075456,-0.0785219016246086,0.131073971640474,0.0900195135423783,-0.342019903356777,-0.316997033481694,-0.287313120842566,-0.322428051311744,-0.325187911458803,-0.317343281761629,-0.223848359925291,-0.332681710318601,-0.311518035650166,-0.259182469233907,-0.268769673876792,-0.119363868363354,-0.2264007050919,-0.183180819615518,-0.172168160447074,-0.230462631138437,-0.0675823589014551,-0.0213561576620775,0.00834219338964115,0.157880137504538,0.0881073869897329
"POP",-0.488644591188349,0.220657047891043,-0.0766175684427221,-0.0786107588919928,0.996766385194235,-0.33801444752335,1,0.118289992880708,0.118626896870231,0.119207676593829,0.0838186158539495,-0.443520168994707,0.280238156449871,0.109922145118111,0.0399421551325742,0.965480379696993,0.975258061585263,0.959735424597775,0.973844799187479,0.973909884197153,0.974404827441023,-0.130994442910945,-0.270954801203261,0.330692057732756,0.336816924238278,0.0148655807654597,-0.0986826325296935,-0.274749720290723,-0.351264557076047,0.738206440671131,0.780817719559475,0.576059367188105,0.692572399232223,0.643669626681593,0.566465418983977,0.305046402789062,0.654025229953719,0.488566824684116,0.363551296509479,0.543913916340339,0.29085182053839,0.421373535827014,0.233809913231886,0.147286321456784,0.312082878775048,0.174235915934698,-0.0408140216553062,0.0793474467447101,-0.22223714789157,-0.311182860339825
"RGDPCH",-0.0887972550444877,-0.375692628038232,-0.346385163822338,-0.0398873131997459,0.136303332485127,0.378484228750374,0.118289992880708,1,0.99999344227309,0.999144926734035,-0.187613050222728,-0.0757626575722442,0.876145771261379,0.691134140915594,0.8658869480831,0.193550287534333,0.178318685712807,0.191023075326536,0.195841190878856,0.195765795823049,0.195141711045463,-0.173646839550357,0.187084298997858,0.0443402958600802,-0.00508956938448671,-0.0304325337135386,-0.0588893298363961,-0.04059440242781,-0.0670068351341487,0.146404402736305,0.159619303232514,0.0436101368150636,0.16002465513997,0.193551068825935,0.0839857858999021,-0.0163380464549291,0.122213552782694,0.0953701091212501,0.130436254987215,0.207357166291524,0.0383175549658453,0.0962071800188659,0.0738660761186452,0.109041845613397,0.135772763730819,0.0540642994483351,0.160782406750178,0.0537670699122795,0.189062448356098,0.0555910303985937
"RGDPL",-0.0889589460536765,-0.374482621946784,-0.345773621769508,-0.0417228385083896,0.136597587994745,0.377637477971028,0.118626896870231,0.99999344227309,1,0.99920774246682,-0.187771021643177,-0.075949289104564,0.87658902830644,0.691456251674792,0.865024958164215,0.193867695389479,0.178734965659277,0.191152064703586,0.196129273224249,0.196055167701338,0.195440164373659,-0.173808923545529,0.187313108100115,0.0442812417770715,-0.00477380083198202,-0.0310009099932012,-0.0592988328153831,-0.0411591054497119,-0.0668366988276283,0.146803127219432,0.160070316045402,0.044023102663969,0.160436481833197,0.193821488728931,0.0844221683720755,-0.0162904387007091,0.12257953657427,0.0957665941719829,0.13068221522788,0.207516835050985,0.0382344820612999,0.0961985047571432,0.0742834690930033,0.109162916411416,0.135852461254939,0.0536752271588295,0.160675450804257,0.0534090343248088,0.188901976989191,0.0557360385608994
"RGDPL2",-0.0909444270341652,-0.357957856912662,-0.344993177157131,-0.0586417414722567,0.136830926592761,0.363815231745442,0.119207676593829,0.999144926734035,0.99920774246682,1,-0.186611984079572,-0.0782778180188242,0.884549042157819,0.690178381270891,0.854080095846707,0.194657157490471,0.180542840178933,0.189705494696879,0.196440515320645,0.196376432188512,0.195881828534426,-0.171944731020024,0.195421565056698,0.0387256047550979,-0.00592859712489755,-0.0379817399285559,-0.0614015283407613,-0.0462779419160811,-0.0606971168916352,0.145549675165918,0.159365905484649,0.0435631083904124,0.158486665535973,0.190159371392161,0.08234647949033,-0.0173232920998226,0.120740672647588,0.0928667442529633,0.126038021391816,0.202579946289451,0.0343684210084961,0.0914858784949828,0.0709141190994891,0.103474898698094,0.129245553002681,0.0479447200261991,0.152251404246641,0.0464428853183629,0.180970101667239,0.0556239164072892
