"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"Cell.cycle.progression.meiosis",0.129015938337927,0.17978726960606,0.0656001599340426,-0.0256094285769558,0.202654199243585,-0.134140842770591,0.00969307778717768,-0.0123025475738641,0.198909781053049,-0.0432906652687241,0.500331251453561,0.507250948446479,-0.581076044610431,0.167584448457119
"Nuclear.cytoplasmic.transport",-0.121813757895385,-0.527254310879364,-0.531656303159063,0.219988500778978,0.4638063103392,-0.314167063732629,0.0534620939033059,-0.142655355999199,-0.0192052834646532,0.116163105033056,0.0888647465398548,0.0572999074720856,0.118304559344015,-0.110094411790628
"Chrom..seg..kinetoch..spindle.microtub.",0.0125026284534436,-0.200792340505964,-0.211848632521053,-0.43832868322855,-0.574147053267181,-0.177357121740102,0.33784504071222,0.061835052091696,0.261737337548979,0.400462615849571,0.0594316071338804,-0.042078776926048,-0.0963366569707248,0.0200463488907377
"RNA.processing",-0.559778920905608,-0.291266484479059,0.652407040542536,-0.168568145205805,0.140351621679096,0.0297777975808759,-0.0262770161890731,-0.324167749060286,0.0189429053812631,0.0248159485999707,0.0966168975140708,-0.102145218161856,-0.0260369984097762,0.134590592275395
"Signaling.stress.response",0.226239341103137,-0.00710880435865012,0.15166281498285,0.0309363226838312,-0.156060031758172,-0.253423085287288,-0.218394482966768,0.158291528484903,-0.731574581848627,0.223910795381522,0.397589038948918,-0.0427387121273159,0.134976073497633,-0.00447535617151025
"ER.Golgi.traffic",0.0903742164549639,-0.0052127935669641,-0.0234988887224151,0.317091025079256,0.031302533367451,0.216039882206159,0.113613872901816,-0.155178539960363,-0.279970183944354,0.348914081037584,-0.396005490243237,-0.198396278907489,-0.640107565350355,0.252219628253631
"Chromatin.transcription",-0.540343050248134,0.50840981580257,-0.349413689826783,0.0109904833758767,-0.000108757449429189,-0.0478689515598921,-0.480730627773072,0.252530147721184,0.0821256821037174,0.103433100695159,-0.0556849828034822,-0.0882849529833213,-0.0433030937605373,-0.0272537874993786
"DNA.replication...repair.HR.cohesion",0.137497236763704,0.0324974634276641,-0.18285554414713,-0.654758958176426,0.223972390066223,0.032901107965371,0.0619842506078774,-0.0677447445674191,-0.366872965813969,-0.434153663116734,-0.330375765660444,0.135347958094689,-0.0876381706644593,-0.0609937930352778
"Protein.degredation.proteosome",-0.224732601521873,0.339066189005534,-0.0361205620091865,0.37958601923083,-0.2722151414869,-0.230661863703056,0.536366812478198,-0.284979503212558,-0.183274527323984,-0.277942931613019,-0.0443942039797253,0.231371474581959,0.162947473158458,-0.178312526361718
"Golgi.endosome.vacuole.sorting",0.0510508333489904,-0.0851938223231965,-0.214269107987542,0.100738605944278,-0.0602782418845539,0.859086230213385,0.0863676230497041,-0.0314877777903354,-0.0272955834540306,-0.0357035608324228,0.36442280613811,0.105468900221482,0.19503827416445,-0.0440877416295326
"Protein.folding...glycosylation.cell.wall",0.26935317055209,0.121516040609094,0.18730520494018,0.0237977948590691,0.105860089248804,0.00499829842797193,-0.181178327246505,-0.170707876656368,0.148495985953173,0.452260062677537,-0.379467775060132,0.549176214754166,0.362827514603006,-0.852110386672215
"Metabolism.mitochondria",0.464658362342214,0.329460229792539,0.0908521685941745,0.0312759269412201,0.310267820820181,-0.145329132716131,0.154370537807682,-0.143669251910412,0.315121329434863,-0.0392950651850676,0.147165222849818,-0.601228141457897,0.143311243517811,0.414477683368955
"Ribosome.translation",0.0223135568228996,-0.216637773698982,0.253684915141104,0.227272204195608,0.105192981558925,-0.0274423599138579,0.246304068699297,0.822580889402973,0.0873876799411059,-0.168329944297207,-0.203605477499223,0.100018160952242,-0.00438144226789801,0.0154079215751638
"Cell.polarity.morphogenesis",0.247463319514153,-0.315954299190689,-0.0132031807353487,0.25397147659498,-0.43996663426041,-0.113984852292935,-0.507164398190893,-0.204039085470093,0.187225693571556,-0.452898675577144,-0.110647817802739,0.0094282723465652,-0.127867679235372,0.0939652855546684
