"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"sig_1",-0.0791619737180366,0.0060942403202437,-0.054244480125561,-0.0265550483309342,-0.00812952180182412,-0.0172543523168187,-0.0581395363162828,0.0565146198757268,-0.0200442839350192,0.01291524241121,-0.0144629978596697,0.00424684569995222,0.0136933782765573
"sig_2",-0.105297764418345,-0.0948147555284909,-0.147161912103589,-0.0819747376136559,-0.055832745883884,0.0390322496035958,0.03230257036515,0.00139099148095018,-0.00753054265775041,-0.0216393202256439,-0.00301825089252804,0.00037048969390312,-0.0102502379435336
"sig_3",0.0596086442718232,0.0607550111717225,0.0165939616726374,-0.0208207165119678,0.010219243237396,-0.0171255865677921,0.032397193001402,0.0336940359753037,-0.0141725121240713,0.0292506718991004,-0.00489089827920098,0.0126715151159284,0.0120101538446409
"sig_4",0.0458352415640286,-0.0337298717203134,-0.0219442927040532,-0.0429113087991191,-0.0317540808915939,-0.0947064054489419,0.0195852857339146,0.00187916322036675,0.0278625949295887,-0.0200545734025858,0.0173152156958155,0.00792414121634836,0.012043623707032
"sig_5",0.00679718391874776,0.0211827093402304,-4.34609274938766e-05,0.0199834390514124,-0.00130764190480375,0.00938617535971524,0.0601377639974439,-0.000517729299787626,-0.0318666192812512,0.0129016323637446,0.00823594871229031,-0.00455293562240462,-0.00745008585777167
"sig_6",0.135645480873688,-0.0405008503831648,-0.0191458618543698,-0.103306984275705,0.0197929322972634,-0.0786631087153054,0.0365399050706748,0.0169208945349237,-0.0138324029214781,-0.0125667578813953,-0.0110230079166487,0.00701487272101421,0.00411123568827253
"sig_7",0.109094431744087,-0.128532482042421,-0.0886311625013625,-0.0501438678595637,0.0386147683757839,-0.00977178679815489,0.012397113435806,0.0107667888396804,0.0184760707619853,0.0157532980217538,0.00784184253461566,0.00601548418786353,-0.000221282066091964
"sig_8",0.151532417335145,-0.191680538376509,-0.0218214668993118,-0.0514266005129272,-0.0102194816351868,0.0754342960389458,-0.0012608412735674,-0.0190038092530638,0.0225973820041683,0.00854771046988256,-0.000603495331907726,0.00157336607779976,0.00691095932153521
"sig_9",0.137539907565522,0.054503035766137,0.0381121867878011,-0.0105994767183794,0.00376291396147994,-0.0212508801230659,0.0390225386169514,0.00425431595939019,-0.0222151845749982,0.0265888164040977,0.018884954240899,-0.00333335773101966,0.00701316051067961
"sig_10",0.151743329729672,0.0411982112541557,0.0249237014350413,-0.00311947139174004,-0.00840261757040491,-0.0904566376842929,0.033362926785764,0.00163916731780266,0.015430056517476,0.0397649753056895,0.00279546881057068,-0.0128565596934382,-0.00714897931080961
