"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",-0.113579831599298,0.0059054766859122,-0.0663348017400025,-0.0656830608577763,-0.0432090325250759,-0.0766365181282481,0.019598782449554,-0.0377184190745822,0.0272704265858804,-0.0747809489935917,0.00341656694328221,0.00709413566999077,7.96689100030274e-15
"X.E.",-0.127744341571027,0.076459199231556,0.0491238055055275,0.044049025090415,0.027382810500244,-0.0467691873861204,-0.0541270527223186,0.0573420516119558,0.000962427757678271,0.00450246315604677,0.0406760335143565,0.0231918960034535,-5.26946822901446e-15
"X.O.",-0.151442478569055,-0.0681054742986547,-0.190951052384759,-0.0768081394716355,-0.0367758449337741,0.0298121347130655,-0.0111891651915692,0.0295806631935633,0.00808370568346182,0.0520795215241062,0.00331387472436405,0.00106706430581351,6.8625092500283e-15
"X.B.",0.0133473282204053,-0.0336645172955019,0.154455846982099,-0.188727130088932,0.0386243245998619,-0.0179410096986012,0.00235813152235463,0.00252224345216253,-0.017229317723138,0.0207759465996187,-0.00398960832782391,0.000778874580871812,8.40018904301251e-15
"X.C.",-0.108059114627477,0.037188779059239,0.0167025055498084,0.0179308110612399,-0.0106481130501163,-0.00881997191845184,-0.0700857058359915,0.0163547512722698,-0.0228686318747654,-0.0164042272851335,-0.00236069060394817,-0.0527952867905002,1.80132061038228e-15
"X.M.",-0.119728849131869,0.107873615534891,0.0426473633112022,0.0346888718131391,-0.0637415260637132,0.00350771460770809,0.12143333195302,0.0422738611868431,-0.0306472601924769,0.0069847987280514,0.00222837699194575,-0.00808797824574862,7.07024947848114e-15
"X.A.",-0.0792653635300484,-0.00171293348542051,-0.0508446300423602,0.0126642396979824,0.188556054273637,-0.000906208514631796,0.0426436671662862,0.0315365036829461,0.0225858034209112,-0.0138722824506403,-0.0100615688182977,-0.00773706656077375,-3.97299412452213e-15
"X.T.",0.231938212221166,-0.261645323608218,0.0326448120429104,0.0854656392740862,-0.0190461913055437,-0.0503726121357365,0.0137772256496722,0.0354019600169536,0.00551856418349541,0.001971534272199,-0.00283000962865972,-0.00212570600632033,-9.4324771445939e-15
"X.U.",-0.0971928176991459,-0.0215658006003884,0.0101801035267819,0.0726438196161788,0.0536461694031836,0.0465189797039508,0.000248088248706086,-0.101890243588552,-0.0527174056577557,0.0127831590126894,0.0114987710250488,0.00897225698392463,5.93852176976318e-15
"X.R.",-0.0601007213613715,0.0454826621841147,-0.0184655667656483,0.0227995543639957,-0.00430126281922748,-0.0219703768996937,-0.0399938646596069,0.0326650177492422,-0.0531279924739565,-0.0111940874324151,-0.0479007593073947,0.0249173910551786,2.43085113822352e-15
"X.F.",-0.057017615322887,0.00373769873758669,0.0832826189852649,0.012555334602956,-0.0300072098867592,0.128302045524054,-0.0197565802257133,0.0237859260419698,0.0584442500255884,-0.0286438560107674,-0.0102895901576479,0.00896089383499977,8.00507518994558e-15
"X.G.",-0.105971015551675,0.082257701963881,0.0517035698941304,0.052735499158315,-0.0114744413839078,-0.0684116446783633,-0.00464144003503884,-0.0368312170305199,0.0664605306494672,0.0518611993694771,-0.0223194986107666,-0.00276200651835123,3.43912727925676e-15
"X.P.",0.425019157628033,0.21140714661792,-0.0625995064162577,-0.0166872540242059,0.0128668402793683,0.00474587702982366,-0.00755168374452652,0.00233840975788394,0.00481067137742567,0.00451234208410378,0.00235550672937946,-0.00122879942859029,-2.6829921764178e-14
