"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","X.D.","X.E.","X.O.","X.B.","X.C.","X.M.","X.A.","X.T.","X.U.","X.R.","X.F.","X.G.","X.P."
"sig_1",1.00000000000003,0.0420074360475094,0.273669929694861,0.211215408453953,0.0527917971433766,0.109455286336956,0.0740680374150243,-0.0319472274280543,-0.27687683721743,-0.347446861798179,-0.243917005066801,-0.409801199807194,-0.358444574322716,-0.381966323725932,-0.262141082670615,-0.356122248619222,-0.362261577627905,-0.275862414013393,-0.355861634039696,-0.218580173658085,-0.358545669626085,-0.188302696754637,-0.248249117554747,-0.301742206473403,-0.266907421927691,-0.215433004910685,-0.187683773943093,-0.135867591375038,-0.0806616919143254,-0.0753204917323779,-0.00399419313713,-0.0392026302361886,-0.0584980832463345,-0.0261736625462101,0.00378019387264254,0.0504560892443951,0.00854332678725986,0.0833598429253525,-0.00181389805554914,-0.0325977044834814,0.041370468016191,-0.00471249924961994
"sig_2",0.0420074360475094,0.999999999999985,-0.0867344684046998,-0.0845101917372467,-0.044968460376201,0.136346976291145,0.247072430886571,0.229497089833029,-0.221649443905219,-0.240954616004787,-0.155943484516834,-0.215019922034709,-0.181140743386787,-0.204072627332984,-0.159798900420405,-0.215231876635137,-0.165797290247861,-0.114183338696889,-0.156313902163332,-0.120674587095289,-0.181523190291088,-0.0743251401459047,-0.0636378343805487,-0.123097721176195,-0.123167974858724,-0.0583566142478547,-0.0666757629328559,-0.00614931451848743,0.058509290299728,-0.0236520396568639,-0.0126438367953501,-0.0102205506436636,-0.0200539595204187,-0.0256020579728303,-0.00121941577390015,0.000929261817883411,-0.0145994521560642,0.0180516374895774,0.0014163320540299,0.0118827913532533,0.0739538214689521,0.0111210626619969
"sig_3",0.273669929694861,-0.0867344684046998,0.999999999999972,0.375128747942954,0.194379343606703,0.208675495373479,-0.00337588861330241,-0.0548773355765755,0.327084429735365,0.163643118971672,-0.0673687560508399,-0.081089648764126,0.0829424978066938,-0.157702000213119,0.0903818962054078,-0.0266850881192539,-0.216763727067658,-0.126285476860656,-0.0992674263872599,-0.0892220801677641,-0.133967059507574,-0.146537328057993,-0.176347816138453,-0.194863469352602,-0.159687736731274,-0.183380916301501,-0.148948023988838,-0.138193505855542,-0.0918311051882897,-0.0698841906597902,0.0403432236972162,-0.0289791239408572,-0.0281379883752219,-0.0118313451002647,0.0666506782468511,0.0587786937524937,-0.0046395093695704,-0.00511034231906254,0.00241220925216148,-0.0225234920773098,0.0309954251441873,-0.00203924894209451
"sig_4",0.211215408453953,-0.0845101917372467,0.375128747942954,1.00000000000002,0.172424019039733,0.219483958477506,0.0600429612219455,-0.0573464058536084,0.0953525180118093,0.200618430456768,0.271300768763965,-0.059364259213783,-0.0628382940128044,0.0960990319192395,-0.0414562200811821,0.00162404959681274,-0.0577148758894562,-0.100258044375447,-0.130770789581759,-0.016624135224778,-0.129861245014283,0.0821097779466192,-0.136911020033133,-0.148252137362013,-0.127911593597811,-0.132982053463847,-0.118588713177478,-0.112538655255199,-0.0819929497313044,-0.0536004865174223,0.0283933538246398,-0.0357614698122093,-0.0264087631184808,0.00629919721584804,0.0387881155021169,0.0660342103534015,0.000932867149251264,-0.0183190688807912,0.00749329627931134,0.0208788654906698,0.0267995643350697,-0.0252836388181044
"sig_5",0.0527917971433766,-0.044968460376201,0.194379343606703,0.172424019039733,1.00000000000005,0.133835845087955,0.0999325703473353,0.00429764158428685,0.0513012182502802,0.0219213255252558,-0.0181033147763196,0.0287748900975993,0.0502850398925127,0.00139104824451296,0.0573283397234721,0.359445998007579,0.0353876402602908,0.0335241982978621,0.0670565115521747,0.350818108103377,0.20572342063034,0.0547734588778298,0.00863930811504256,0.0510164986156342,0.292963623292147,0.0365676642332715,0.157259251633,0.0338322573846023,-0.0013096010534303,-0.00739532382152518,-0.00732405909190318,0.00769294907310941,0.0116190506462727,0.00131396449670749,0.00564820482687849,0.0120636412991264,0.0260898988494318,-0.0269734915670281,-0.0106487820149248,-0.00838218991692895,0.00871432952253568,0.0107291251197823
"sig_6",0.109455286336956,0.136346976291145,0.208675495373479,0.219483958477506,0.133835845087955,0.999999999999985,0.326760442572197,0.207632397683452,-0.079229853476651,-0.101999157705316,-0.0943823067713189,0.117272409096772,0.178983106710254,0.100224717571198,-0.055713620806972,-0.0797304072169323,0.139214916032488,0.272607141639532,0.146255427407444,-0.0211788906990171,0.0333279293538945,0.0780006907788697,0.243792511353102,0.140346259289593,0.0737679387049292,0.18019675313653,0.0762013540505516,0.110255958594974,0.0949160040734362,-0.00465537767628308,-0.013499521663727,0.0237414559183115,0.0114806640197984,0.00110297442416084,-0.0118318108127563,0.026909197850958,0.01087932109439,-0.0131805411976878,0.0136018995693164,0.00251920613967655,-0.0123256382450576,-0.020668521560375
"sig_7",0.0740680374150243,0.247072430886571,-0.00337588861330241,0.0600429612219455,0.0999325703473353,0.326760442572197,0.999999999999994,0.299082740496757,-0.176936446115042,-0.181807910457365,-0.109729503527045,-0.0521879520184639,-0.0135976123164724,-0.0490074116592369,-0.0873012404370374,-0.0997263190429043,0.144990252271374,0.0800611747957873,0.166751312817605,0.00617539772881016,0.00539271805813342,0.324893732020508,0.197659624917091,0.228017344598495,0.140813683247289,0.302977381200272,0.282318993492201,0.342970504442109,0.1732764854247,0.0163917832531601,-0.0167983106305925,0.0293016561667823,-0.0133921733686108,-0.0200928466684213,-0.0147585087587181,0.0237994752057305,-0.00300970054184539,-0.00846187367610806,-0.00598865222914816,0.0183031401256426,-0.00432246071852077,-0.00172984639400973
"sig_8",-0.0319472274280543,0.229497089833029,-0.0548773355765755,-0.0573464058536084,0.00429764158428685,0.207632397683452,0.299082740496757,1.00000000000003,-0.134850344133696,-0.145126935969144,-0.0962073375655722,-0.0565697263571683,-0.0111623699551747,-0.0612617877456519,-0.0827986342244238,-0.103157711710637,0.0355312542332243,0.0435583749901934,0.0577977953893475,-0.0343219239853853,-0.0256481969596439,0.0699009768509909,0.343245618705979,0.0986082597939941,0.0567854188645498,0.305058486506124,0.16231796831194,0.372863041513005,0.690637111269475,0.0145700616698502,-0.0142037182326928,0.0206758198268891,-0.0120220635758236,-0.0183821218663984,-0.0322577866137399,0.00138748757697003,-0.0203998768454258,0.00334824953596639,0.0580988663864759,0.0322843654174132,-0.0197537951584898,-0.00372147440854298
"sig_9",-0.27687683721743,-0.221649443905219,0.327084429735365,0.0953525180118093,0.0513012182502802,-0.079229853476651,-0.176936446115042,-0.134850344133696,1.00000000000003,0.844419959714185,0.384992865277217,0.588100806165549,0.620592091416425,0.450705188318294,0.562605345912021,0.62800965931471,0.26702123010972,0.218113171572794,0.335101241677387,0.245311543541718,0.405471829872782,0.0349580224866914,0.0306462425170903,0.13209423480826,0.156026288904057,-0.0427360971855772,0.00219993634130661,-0.0992209872540777,-0.104037515007537,0.0411116502762898,0.0867112201764708,0.0394780183510496,0.0846044933570356,0.0556388221038044,0.071427459109572,-0.00893338072450143,-0.00953561332978211,-0.187690052583215,-0.0100421251810407,0.0193631030134541,0.00879932353340502,-0.00734989803694001
"sig_10",-0.347446861798179,-0.240954616004787,0.163643118971672,0.200618430456768,0.0219213255252558,-0.101999157705316,-0.181807910457365,-0.145126935969144,0.844419959714185,0.999999999999974,0.616727755919426,0.691251025136118,0.604365602784457,0.646477634944856,0.530702812311042,0.694159703045899,0.387732586105436,0.264785084486643,0.390637615611623,0.293127567437331,0.446446177317347,0.120827939515392,0.0686690587108924,0.185088440165168,0.18967129767396,-0.0108443437413225,0.023420577369676,-0.0877238324685622,-0.107886851552205,0.0529633888052426,0.0797904839208639,0.0482227064962977,0.0808847385068311,0.0605724412024112,0.0582457587984444,-0.00675022656763838,0.00772228142357463,-0.20114295370197,-0.0151247975324161,0.0474096155398684,-0.00530929704509645,-0.023044813643793
