"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",0.536819560753733,0.197053626335813,-0.04384504219119,0.187328272083148,-0.152859015545752,0.577780994534798,-0.0664826833735414,0.182869008893631,-0.122121113401831,0.102669131286692,-0.13378771972634,-0.194014548377798,9.1515991994672
"X.E.",-0.157567554316877,-0.444513697613591,0.242692196793151,0.0349022681664528,-0.220917666171401,-0.0824433873520355,0.0192739940240023,0.459655068728754,0.0556236045730926,-0.424896391515384,-0.165556169370212,-0.40846280905392,6.05631641140372
"X.O.",0.296070298105203,0.0365459166534017,-0.00349467594480977,0.198189930272283,-0.0387539958242616,-0.108327259202794,-0.195262845278087,-0.298984369114154,0.438934028010172,-0.514449591829046,0.349193405844666,0.138358035419267,8.29368902861031
"X.B.",0.355858873003542,-0.0540420886079555,0.282464735798241,-0.186105669047213,0.159349978688927,-0.216874560646501,0.371661320255082,-0.0608515881005239,-0.148353681465156,-0.148545998701228,-0.460993981733365,0.417989884668917,7.54149519612583
"X.C.",0.11639058800292,-0.0935125978844196,0.263310193959448,0.0535778253523349,0.1019465865755,-0.264491146597847,-0.0405564915605606,-0.026130851166122,0.511594796739653,0.614450419086495,-0.069593789700082,-0.233200013076419,8.02062964060117
"X.M.",-0.154319900894731,-0.338656798847373,0.205774903401441,-0.178451839659172,-0.0490375057835749,0.274937775625623,-0.247234519657504,0.195207418437733,-0.0814129424747231,0.196026164036438,0.335563424500494,0.511900313533026,10.0352441534423
"X.A.",-0.209194221397047,-0.115473506998555,-0.162052590887134,0.292049100519089,0.471993483340644,0.00024461690342617,-0.523007489021209,-0.159254485304343,-0.172275533540119,-0.0586904253203337,-0.405251302989564,-0.00472751413254593,7.60671427429673
"X.T.",0.103640811401867,0.183060134953397,0.214258897725465,-0.195194707264007,0.286887854162893,-0.254136397851529,-0.0335401851145501,-0.0352231509448964,-0.494565819925961,-0.0190739040537327,0.441824475956091,-0.366997020602765,8.7747304282344
"X.U.",-0.368579508029962,0.548371926086447,-0.0695905018999874,-0.137698725654361,-0.0630511759797125,-0.0139525393360618,0.0555597715307746,0.202755522622792,0.16895238373876,-0.0672293517646197,-0.0985951016218334,0.076569633753828,15.911953147727
"X.R.",-0.149241972800003,0.000661857998127624,0.00920347188566013,0.77806040916586,-0.16026935845779,-0.197067461145935,0.348821934024435,0.048416881772302,-0.244035043411881,0.137924119889068,0.160573908441191,0.165567878375558,5.10485565689493
"X.F.",0.173512512620047,-0.246377200560688,-0.742375794140308,-0.205559620598593,-0.181282159445597,-0.310525873716922,0.0323353350358458,0.0925549801975347,-0.0762209677426316,0.11804160803568,0.0249858239894739,0.00240052827647752,9.0490848075016
"X.G.",-0.155831396909229,-0.227472116948203,-0.200376759141022,-0.024030223217135,0.514588214878851,0.406245236580032,0.552225674747245,-0.0923729422062613,0.202142784621689,-0.0670075002277853,0.156695460567339,-0.137409898998781,5.06346725535633
"X.P.",-0.238429427839333,-0.11389441714541,0.097399275863909,-0.135687516905911,-0.453713368818651,0.160619599395059,0.077286236788404,-0.681808799598372,-0.140662319289587,0.0458306453671987,-0.130048924974938,-0.176869878661476,8.20004720482362
