"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","X.D.","X.E.","X.O.","X.B.","X.C.","X.M.","X.A.","X.T.","X.U.","X.R.","X.F.","X.G.","X.P."
"sig_1",1.00000000000003,-0.0166231953913663,0.246259734160981,0.271064728932112,0.118185727374443,0.234521488149209,0.136015646513539,-0.050871221987889,0.0680893159007873,0.0442043820402914,0.0493132736252801,0.0383756248878473,0.0138757728253155,0.059468259753378,0.00132327023172774,0.0710615184643917,0.0285423330183861,0.00121986769780079,0.0332064458903702,0.0324258534034267,0.0378667106987749,0.0238878290933429,0.0132478092735582,0.0278542605108219,0.0371521700781455,-0.000321975677366127,0.0281330251289693,-0.00915568868144209,-0.0547381981686077,0.0256831686685611,-0.0519058443920431,0.139060659803618,-0.0459526314435684,0.0261656679066826,-0.0605798314658473,0.00259675056315511,0.00441907367096259,-0.0439336597324352,-0.0432767512311119,-0.0283403485800234,-0.0163131276205359,-0.0365392159850012
"sig_2",-0.0166231953913663,1.00000000000002,-0.0357494894180777,-0.0390505533464603,0.000172891228306533,0.127417138894729,0.205734715982254,0.440956472728105,-0.0393316175553371,-0.0455748373123601,-0.0426142859425994,-0.0186041388420701,-0.00364735076138941,-0.0315840905638621,-0.00830309098087038,-0.0324538245729177,-0.00830113941563948,-0.0131591671927571,0.00419510675555827,-0.0029868431180362,-0.0111538701914081,0.0149085086045985,0.0654388402914715,0.0146675737842417,0.00780366190187542,0.0455405301554665,0.0402395449755494,0.0855395891914319,0.13125466785676,-0.0179061175358065,-0.0461429353146625,-0.0170766369991275,0.0309207165471626,-0.0529506883997768,-0.0568975725339386,-0.0527202302979196,0.133916002078917,0.0329652000110816,-0.0421529294462223,-0.0516418579756532,-0.014501942919738,0.0031523616267618
"sig_3",0.246259734160981,-0.0357494894180777,1.00000000000001,0.132477901964405,0.151642884791711,0.194834343806823,0.0795197610176695,-0.0197987884386629,0.542583978750594,0.445154906176881,0.0515522427337237,0.29940226795008,0.360262045552266,0.084480689411076,0.122215292089162,0.351710127910247,0.111612526919503,0.110661439515574,0.360048825988312,0.0359905367017295,0.24537587067207,0.0298187632439436,0.106452015302519,0.226108016465333,0.0396717167801307,0.0512386379709598,0.0252652836106513,0.00778744896711082,-0.0188563435308068,-0.0301704550295076,-0.0294995816674599,0.143622949318185,-0.0174461900697559,0.0590768665179469,-0.0436020693994978,-0.0337045038118029,-0.0187050455098176,-0.0586630026846111,-0.0309607819014629,-0.00280533488291488,-0.00927121880262646,-0.00690036903090207
"sig_4",0.271064728932112,-0.0390505533464603,0.132477901964405,0.99999999999999,0.0812658055337907,0.261276222594759,0.121010404084903,-0.0295293782388885,0.110368462008294,0.270884758974585,0.590582000895501,0.112061807176724,0.0796721138826196,0.500459328740053,0.00840853730458019,0.180463635278803,0.310458771738727,0.097977508889625,0.0803767754639898,0.0630829322800159,0.0745702075816791,0.257768039625064,0.0745732428108579,0.107031166389174,0.0357332709583955,0.0940959762671549,0.0269212339069458,0.0519339418640451,-0.0189594212820593,-0.0151755582261449,-0.0322607935342216,0.0937778269666286,0.00135508017786077,0.028865599483746,-0.0476832985097411,-0.0368593036641385,0.0265900792877721,-0.0492099648913982,-0.0338587646374286,0.00180514744492653,-0.0101390209181183,-0.0331560736151982
"sig_5",0.118185727374443,0.000172891228306533,0.151642884791711,0.0812658055337907,1.00000000000004,0.0850459356230806,0.175803258703405,0.00672852686093061,0.0539408440824982,0.094101358516871,0.00532604644644415,0.0366541797296744,0.0362664170052821,0.0129158765113329,0.0320601747225921,0.435929444015652,0.0335659900003796,0.00241276278228462,0.0640117577034196,0.541283069069485,0.347250336222321,0.0833554922579615,0.0320787046273657,0.0996806914910832,0.594020169569829,0.0406868979914218,0.315426335656355,0.0744365397479152,-0.00723740350729251,-0.0133649756364232,-0.0143996164018214,0.0114116233518388,0.00462364169191949,-0.00821845912176059,-0.0212834568556233,-0.0164521629958921,0.0713481694746489,-0.0329486359097816,-0.015112871358894,0.00413540846658841,-0.00452555550923048,-0.0233602601174022
"sig_6",0.234521488149209,0.127417138894729,0.194834343806823,0.261276222594759,0.0850459356230806,1.00000000000002,0.333458166394509,0.147768171668525,0.119520068735861,0.146578844268738,0.104537007547356,0.396445608649846,0.284326405457234,0.399529996451857,0.0793959614823423,0.0761895774344112,0.442609054581458,0.360845116116077,0.336154258713412,0.0655276988214489,0.200728827769524,0.209648150934582,0.5443360082699,0.412318068713602,0.136523354382085,0.376144993864288,0.0760758928828357,0.190397116918435,0.0684888065984202,-0.0322967243476563,-0.0461764238473399,0.026447170651414,0.0844583628935019,-0.0425114105176334,-0.0682513962370253,-0.0527584923448194,0.0668441484888459,-0.0575487266484198,-0.0234416874907603,0.0367299948879359,-0.0145124677982716,0.00904996327658666
"sig_7",0.136015646513539,0.205734715982254,0.0795197610176695,0.121010404084903,0.175803258703405,0.333458166394509,0.999999999999998,0.29953954445612,0.0243723022201723,0.0406503994569316,0.0302113404569904,0.135613509269319,0.0778164392985538,0.110140726388876,0.0464195129730344,0.0543412973582024,0.370135466436745,0.0845535202166384,0.263560208805606,0.114344033742072,0.0964326320569432,0.512119677353079,0.246325103330076,0.455033507276673,0.146170336406291,0.516902609623878,0.456062724254735,0.626886098884031,0.170559003580269,-0.0133265447249034,-0.0416389019413036,-0.0122928129425604,0.0392578637562187,-0.0489011745824956,-0.0615446792645932,-0.0475741841026829,0.101611877775517,0.0217105269565593,-0.04370139807925,-0.0199771037955513,-0.0130864015276783,-0.00119201083979807
"sig_8",-0.050871221987889,0.440956472728105,-0.0197987884386629,-0.0295293782388885,0.00672852686093061,0.147768171668525,0.29953954445612,0.999999999999984,-0.0303025748284488,-0.0226560245815553,-0.0255313098020933,0.0128211153871204,0.0634925723984961,-0.00103255312653722,-0.00408483495804842,-0.011069360090596,0.0931675135134466,0.040269039467428,0.0566850884321721,0.00245191270017869,-0.00191239209104956,0.138817849192774,0.282693797575789,0.116706810414166,0.0299182856941168,0.294196639289387,0.108899189448527,0.418877092335211,0.676331227459927,0.0267472335993067,-0.0365640534179646,-0.0507639101182456,0.0754970511961825,-0.0645605153272751,-0.031584465861,-0.0417759577641749,0.0767785517627058,0.0165412469009011,-0.0383751775217782,-0.0395357204538283,-0.0114914626034432,0.00569050962755619
"sig_9",0.0680893159007873,-0.0393316175553371,0.542583978750594,0.110368462008294,0.0539408440824982,0.119520068735861,0.0243723022201723,-0.0303025748284488,0.999999999999971,0.596262896930057,0.0935367346027836,0.332923614371104,0.39348232696574,0.129688448295979,0.177929625662649,0.25478433267968,0.142149666559746,0.139560929992503,0.332129092081301,0.0551948079660988,0.217999307370686,0.0337677901177894,0.0674554017802784,0.162051044259567,0.0232687247051762,0.0426018939953449,0.00919626089404009,-0.00386388020351757,-0.0197041452795226,-0.00444935578713591,-0.0182208221463171,0.0870234138560422,-0.0331607557539417,0.0148953773618249,-0.0269314175602686,-0.0208180501136432,0.0139705819919143,-0.0360247948662314,-0.0191233525579017,-0.0134727337721112,-0.00572649574446637,0.00273074040415973
"sig_10",0.0442043820402914,-0.0455748373123601,0.445154906176881,0.270884758974585,0.094101358516871,0.146578844268738,0.0406503994569316,-0.0226560245815553,0.596262896930057,1.00000000000004,0.29222408673659,0.37678431606362,0.457580720468187,0.274975981369877,0.0830351134756276,0.466003443605766,0.248785477561313,0.170765590478513,0.339643646819627,0.0526604417964401,0.237327984505148,0.0956901823487617,0.112082665562591,0.203435119615578,0.0269442587754281,0.0752097139574613,0.027788367232555,0.0189582923104363,-0.00254692043110819,-0.0390385238641799,-0.021455800333973,0.0892069272900526,-0.0155404312291395,0.0447896613606735,-0.0317129003973488,-0.024514147769741,0.0483638714705843,-0.0604471771871222,-0.0225185686410674,-0.00685886620479744,-0.00674319458913385,-0.0213253814812999
