"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",-0.0541020540201398,0.0371307572038974,0.00852003041186898,0.0935382017620659,0.0710068194637073,0.0513359029462576,0.0348049655211528,0.00299664716399741,0.00454417170912483,-0.000607241356975027,0.000526691265414701,-3.17684229811912e-15,-1.99921150510484e-15
"X.E.",-0.04099299576802,0.0438177457454279,0.0297756273013053,-0.0024318517048632,-0.0298071941946409,-0.0245569030105645,0.0260986955479367,0.00706136685947132,0.0125878324064351,0.00408789364984989,0.00989118228525689,1.32966525870018e-15,2.92627697886786e-15
"X.O.",-0.0836996197940303,-0.161546609552174,-0.155419431128869,-0.000432371647302504,0.00574174418768492,-0.0460124984396508,0.00383071370906576,0.00723212637688609,0.0023810737901328,6.89207126043024e-05,-1.7725532756447e-05,-6.22294845623639e-16,-8.64406836404234e-16
"X.B.",0.194776743562828,0.15117241790777,-0.129336464300928,0.00959864892174656,-0.0197796078826218,-0.00744834351935062,-0.00605262190372651,-0.000701434673197243,-0.00110468486691701,0.000272599257104271,-0.000218942474001449,7.9957325205196e-15,4.07751396969707e-15
"X.C.",-0.0996158622392495,-0.0161635303432529,-0.0169813718454323,0.00977667030735862,-0.0830928389595795,0.0702075299927778,-0.0326508572307247,-0.0153122243337251,0.000582102302931562,9.01434497784012e-06,-0.000341299598886754,-2.93424264274288e-15,-7.51476816568078e-16
"X.M.",-0.0564326243566538,0.0521530754753422,0.0459010231757586,0.00540569800112102,-0.0314218955070269,-0.0328403746026116,0.0403582128554701,0.00494021058598964,0.0100199179533932,0.015226477206266,-0.00726099596068199,-3.09298349298309e-15,1.17021068202942e-15
"X.A.",-0.0489575642067058,0.0236040527098977,0.0204294550332194,0.0166679781063766,-0.0207467098157767,-0.0225299001900029,0.0394822761415664,-0.0147505650867598,-0.036763619074106,-0.00249671375340735,0.00105229381657017,-1.72670696697069e-16,-5.0144967948369e-16
"X.T.",0.213047570632234,-0.145158326203223,0.102953593464152,-0.0232110035198395,-0.014719041560049,0.0131315680439721,0.0254237408969379,0.000112072263970707,0.000492461756038233,-0.000583824761194147,0.000110939019820393,4.51954146337144e-15,-1.60548429901284e-15
"X.U.",-0.0196155082197792,0.0291148668560398,0.0862926874945895,0.0249086878792789,0.0190447219396692,-0.0543915733592542,-0.0750264596467269,-0.038542737424236,0.00159054766892108,-0.00110639952732383,4.03969538798659e-05,-1.67904739944612e-15,1.72403712528614e-16
"X.R.",-0.0431028045099743,0.044592998974919,0.0262383525354572,-0.0110861313250913,-0.0210638666654299,-0.019532106763529,0.0234009644043524,0.0129085603933388,0.0105842827924701,-0.0252987657022186,-0.00265224949107394,-1.22609648063201e-16,-2.30466543012999e-16
"X.F.",-0.0674506745926764,0.0608804765327453,-0.00597398952250662,-0.136331211785343,0.0410785752816967,0.0232510565428934,0.00814975363075401,-0.0131044933479991,-0.00215886321432806,0.00191000848556973,0.000129491510829167,-1.51342685177635e-15,9.91945178888622e-16
"X.G.",-0.0128834041589026,0.0137711752262513,0.00935797526920046,-0.000764289795885348,-0.00936789620904065,-0.00771781862849094,0.00820237790541116,0.00221926798616221,0.00395614249064355,0.00128475572626273,0.00310863103812863,4.17899945523488e-16,9.19680371087547e-16
"X.P.",-0.0220001230281658,0.0222234242329423,0.0389288090969675,-0.00635644546300622,0.000990159566673786,-0.00173656324921086,-0.040994213567645,0.0792994103093943,-0.0105988524814716,0.00221983573776656,6.26412501997042e-05,-1.48299990825561e-15,-6.69182207123764e-16
