"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",0.0247442151391289,0.00657712178521115,0.0114544881373893,0.0376387294122871,0.101122578516197,-0.0188074854964561,0.0103089512218842,-0.00309307102709873,0.0073188609701666,-0.00567195868420776,0.000208584222957873,-7.4703101383517e-14,-5.89841508840599e-15
"X.E.",0.00672569241321932,0.00965746698674415,0.000799501866198573,0.0129563418245742,-0.00117596613499584,-0.000345949484690242,-0.0141462965018461,0.0142763328407388,0.015120319255298,0.0201963650307357,-0.00702139100893237,2.46652624294012e-14,-1.05347016713649e-15
"X.O.",0.0143351078661855,0.00412573691467967,0.0229820464467848,-0.00666507365958229,0.0198667391761006,0.0529225413000219,-0.00799945536068805,-0.0125258966422284,-0.0358902338046496,0.0119038405549077,-0.00458035534106395,-4.13176139791273e-15,-2.79970956282327e-15
"X.B.",0.0144133704398746,0.0149736352421764,0.0301321885969017,-0.100519628204097,0.00435867577800858,-0.0308359874739621,0.0307875351711872,0.00584634223857114,-0.00203156232344225,0.00459189538436942,-0.00447706981657813,2.54371977448315e-14,-4.80819482001109e-15
"X.C.",0.0107795301806387,0.0576489369284325,-0.125359862907003,-0.01910648537884,0.0041394893534913,0.00358798354118968,-0.000767871602737779,-0.00263774412082639,-0.00285524851417123,-0.00134243746545246,-0.000531194032623666,4.18681596816799e-14,4.5978103876211e-15
"X.M.",-0.00360770740444414,0.00507904225763209,0.00383031678514969,0.0376294630461753,-0.0240929029069288,-0.0553936750476478,-0.0134908136358614,0.0218176709287195,-0.0303109901331597,-0.00173931757477945,0.00507364091152432,5.20933096294741e-14,1.28755648081489e-15
"X.A.",0.00641963236759088,0.00921799330804774,0.000763119652648663,0.0123667492107025,-0.0011224524999942,-0.000330206672119551,-0.0135025536889398,0.0136266725809185,0.0144322524635284,0.0192773071816604,-0.0067018748728175,2.35428475881604e-14,-1.00560062083729e-15
"X.T.",0.0167167037669314,0.015001650011699,0.0257915102133811,-0.0454558095150728,0.00474478827801766,0.0161158678273429,-0.0559855663414877,0.00742390404361657,0.011048885227916,-0.0146795915407567,0.00772310898215517,5.00104917282775e-14,8.14686706958528e-15
"X.U.",0.0294928808454358,0.0139815028916524,0.024533240347153,0.0373316544660576,-0.0604001789873152,-0.00504854356636149,0.0125313270681064,-0.0354099035417332,0.0151513184391897,-0.00673805310710119,-0.00719695444587539,7.92271209138849e-14,-1.61054096635763e-14
"X.R.",-0.271613272450865,-0.00406371993047299,-0.000418573084263207,-0.0031382990453145,0.00564668088642828,0.00235826889031619,0.000133320557551159,-0.00136839199260172,0.00169661551420347,-0.000269426192706765,-0.000752410196311321,-4.91653393571143e-13,6.61557094907417e-14
"X.F.",0.0204922641743165,-0.149039084173516,-0.0391322212704823,-0.0120364672375502,-0.000198415379277444,0.00627846997421571,0.00228361798641828,0.00541263246130456,0.00192823127147054,-0.000213011379092134,0.000819006431628109,2.43362532264806e-14,-4.71590546680324e-15
"X.G.",0.00135574561494391,0.0100043237843564,0.00413851209679333,0.00186184908364115,-0.00496536725813052,0.00843787433111075,0.0150695081614098,-0.00459154314573893,0.00568989452510564,0.013381362147473,0.0307986623339559,2.19920168271103e-14,2.91666085924877e-16
"X.P.",0.00583242803396094,0.0225712344074157,0.00988874626427625,0.0199744889360738,-0.0133523823493831,0.0471560855200574,0.0330746600170816,0.0360206717294024,0.00314359081664396,-0.0117785259543895,-0.000944655381369265,1.34973490983657e-14,-7.43359776644702e-15
