"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",0.0539815976787977,0.147792440030522,-0.00929470741822226,0.0179108388922702,-0.0117165545846325,0.021493342392621,-0.0374622251928145,0.0046969341227859,-0.0212496988026565,0.00961760944026278,-0.00806462036994811,-0.028018085664596,-7.6158862339711e-15
"X.E.",-0.0286981412789641,0.0227317283852658,-0.0423213300773897,-0.0594094206681675,0.0113080812995652,0.0278144625790098,0.0181957709613731,-0.00388590468516787,0.0436927938650267,0.0377410522990445,0.0017023331540787,-0.00555772731476339,-6.82329526324976e-15
"X.O.",0.0607895072215463,0.135318320500738,-0.0264625965372062,-0.0319967926733705,-0.0490750331308786,-0.0761947684945971,0.00779846113852598,-0.0197577623816484,0.0139942935958162,-0.00970679849635546,-0.00524606650371936,0.00523730542650645,-4.80074191683186e-15
"X.B.",0.0213322587698138,0.0672194672590866,0.0125859081113911,-4.38713426338765e-05,0.0377679120872266,0.0248625762619269,-0.0542264725292742,-0.0145444711978516,0.0263863763661087,-0.0169203679924797,0.0125854130176847,0.0178851595499425,-4.7135354221453e-15
"X.C.",-0.0338810952549353,0.112042267300936,-0.0354780905209179,0.0977796332825585,0.00911967007105075,0.00932419436380301,0.026736339396104,0.0264854601609768,0.000372501538899549,0.0126108418966411,-0.00998167458728543,0.0180771011272154,-1.6101051511406e-15
"X.M.",-0.129388549030063,-0.054942144290721,-0.0406987805110967,-0.0231401690768958,0.0277532830108909,0.00246921275332659,-0.00240162357452951,-0.0480120363914369,-0.0364825978562174,0.0114957437126507,-0.0219945657375343,0.0101082051623393,-2.04672805432709e-14
"X.A.",-0.100678145281009,-0.0314809665563482,-0.0135368692413475,-0.000861679809536173,0.0823627356727584,-0.0614114565135192,3.8024122143014e-05,0.0257421771935904,0.00598967262788052,-0.00694801767558897,0.00083997542774232,-0.0130598660460533,-5.69136275292122e-15
"X.T.",0.248514277154083,0.00253510780281017,0.155254830635101,-0.0304746590229319,0.0235040370678063,0.00649047996444163,0.0190930699440897,0.00741648030203746,-0.00438685891280825,0.00231485584209132,-0.0161392834063066,0.00397801962152694,1.73207830434994e-14
"X.U.",-0.199842858118139,-0.162166587881323,0.0829597483999509,0.0402517273053349,-0.0617423035721083,-0.00247445982540193,-0.00857643352464334,0.00414812178266458,0.0133260165106066,0.00171421632367545,0.0112180245015231,-0.00404202527715058,-9.42646704899105e-15
"X.R.",-0.0436856589234424,0.00730572526526517,-0.0345827972791746,0.00147411446194359,0.00285942885792874,0.0439054380504668,0.0329549351022142,-0.0112442068724495,0.0183447498695027,-0.0424313680932382,-0.0172134907835468,-0.0114873721035868,2.67615645171896e-15
"X.F.",-0.000728308869961873,0.0693131813022026,-0.0112363838019752,-0.034146060139593,0.00878642221996864,0.0174566511623405,0.0332875202983183,-0.000296608755260372,-0.0315611404134495,-0.00725375569340761,0.041993856656726,0.00106911463936819,-7.42282046451699e-15
"X.G.",-0.0409577362596913,-0.0238901886658696,-0.0538632504749228,-0.0775427001479332,-0.0239073214755925,0.0141151856200535,-0.0165875769266398,0.0548782835241453,-0.0125603057828745,-0.00833001868032052,-0.0129868587172604,0.0113091587940698,-1.04977187761963e-14
"X.P.",0.338846810279907,-0.14068343555118,-0.109816765151537,0.0283169370914359,-0.0007308991066416,-0.00349346298874075,-0.00375270928094488,-0.00212476735299944,0.000984584723969283,0.000313307436922918,0.00529810137461363,-0.00126546864360085,6.66991391623152e-14
