"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",0.112874901644635,0.469607376452652,-0.042466900952873,0.115968362463526,-0.0962853757164193,0.186426985684706,-0.421403727873379,0.0556721748701993,-0.276817016347711,0.151651792450625,-0.142288075039512,-0.637893488706691,-0.58467144019319
"X.E.",-0.0599858706839558,0.0722366174570548,-0.193293913012142,-0.384687303828938,0.0929561499586519,0.241243024956265,0.204675634268895,-0.0460560761658793,0.56914670773162,0.595087720871726,0.0300270740962303,-0.126526645993219,0.552738077530782
"X.O.",0.127104632002447,0.429964179584933,-0.120873458943289,-0.207197014969235,-0.403350801657999,-0.660874612567241,0.0877262194166387,-0.234179116888312,0.182294129851848,-0.153060339293362,-0.0925594180684541,0.119240902117284,-0.0595377390968544
"X.B.",0.0446110797468107,0.213590107115096,0.0574685501007855,-0.00029285027211203,0.310442852689375,0.215644579475608,-0.609967283758409,-0.172386537226511,0.343716351319767,-0.266801845162364,0.222026619300525,0.407189656362796,0.129490506319865
"X.C.",-0.0708198923878857,0.356006997643833,-0.162047551300163,0.633135874701832,0.0749748792151952,0.0808743433340817,0.300751193700591,0.313919236514731,0.00484966839904875,0.198846563248365,-0.176105254229223,0.41156228528421,0.418701317481283
"X.M.",-0.270499380747975,-0.174551362602817,-0.185901781713054,-0.149855123044863,0.228144604353745,0.0214190099702033,-0.027011547855848,-0.569082652131993,-0.47526027020479,0.181269845750655,-0.3880552420228,0.230144840951344,-0.195537518896439
"X.A.",-0.210468899022767,-0.100006869772689,-0.0618376755548441,-0.00558840806440539,0.676983328295736,-0.532646347196641,0.000431106699958621,0.30510788349823,0.0780212376556292,-0.10955825106728,0.0148125956668304,-0.297327822993977,-0.0287776466328491
"X.T.",0.519580540028407,0.00807415405018937,0.709068477794835,-0.197343665942343,0.193210413729727,0.0562972202335654,0.214778452828085,0.0879057724468387,-0.0571491408181056,0.0364990452415479,-0.284744108309866,0.0905719858269787,0.215195912742618
"X.U.",-0.417886568758263,-0.515352259098417,0.37896421345722,0.260690221912909,-0.507585750246889,-0.0214653890674737,-0.0964920060356956,0.0491800067290146,0.173631967760874,0.0270329331061324,0.197950283050441,-0.0920426361481583,-0.00276719827371399
"X.R.",-0.0913196128954126,0.0232227140079024,-0.157948477234346,0.00953890274406297,0.0235128318488653,0.38080037212268,0.370688240233879,-0.133266959574313,0.238957339533302,-0.669039590981907,-0.303677775013818,-0.261520740584744,-0.221775222293985
"X.F.",-0.001507111669646,0.220250785529755,-0.0513346117279342,-0.221117760015553,0.0722392662275094,0.15141372990426,0.374450066253243,-0.00351492820598797,-0.411140101765707,-0.114382060562138,0.740869024909589,0.0243443864048214,-0.116426282614707
"X.G.",-0.0856168024031102,-0.0758923407769919,-0.246001763301398,-0.50209471538672,-0.196485933226582,0.122424106080683,-0.186579044101177,0.65042189157996,-0.163612294160044,-0.131345030184611,-0.229112815098123,0.257467198857968,0.248779386553501
"X.P.",0.708429080962058,-0.446975065666481,-0.50156683669632,0.183349808684374,-0.00599005605793199,-0.0302992939116627,-0.0422094243111775,-0.0251832783541238,0.0128228999052158,0.00493811749302431,0.093463694020294,-0.0288076383374318,-0.0699191524008627
