"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"sig_1",0.0306477539534476,-0.0981597851926604,-0.0344959275769077,0.0210303501974014,-0.0175894854487077,0.0225316967900744,-0.0271117953934391,-0.00503091498367423,-0.0172007158138924,-0.0312605950950202,0.00619542039608986,0.0134992590560535,-0.0101369959911332
"sig_2",-0.0860657816982288,-0.0409441221125393,0.0243233789790872,-0.0579403316401959,-0.00482194065559961,-0.0456839903730211,-0.00504791360501235,0.00440852006393556,-0.0233599123369963,0.00371684964959574,0.00842165356110033,0.00678663307749779,-0.0268939308999761
"sig_3",-0.107994827953137,-0.134681094419803,-0.0982933109263262,-0.00220124545805307,-0.0257844424820624,0.037500727157748,-0.000636759341842416,0.00275284406573353,0.00154574909182252,0.0132961738660435,-0.00614460314791919,0.0140434397304111,-0.000514956307004446
"sig_4",-0.0165817092252199,-0.153698293114568,-0.00319619771341524,0.083265723408471,-0.047693680980603,-0.0199829643520486,-0.0243887977677309,0.00936805088325386,-0.000117574391324616,-0.0136385624844643,-0.0165085437511344,0.000109357609077147,0.00169264277154386
"sig_5",-0.0769894068627484,-0.0872655884239526,-0.00325252347950719,0.0270862637901208,0.00662641117696427,0.00588439764136051,0.00902822810385959,-0.006722357038235,0.02117095229106,0.0174944411746429,0.000845435534118941,0.0103527765560811,0.00270287698492779
"sig_6",-0.18222040645126,-0.158742937130923,0.0148940928950061,-0.0241163259498102,0.0271902097178259,0.00299119300891392,-0.0168433793157881,-0.0239099948045902,-0.0207768229565908,0.0102503498636855,-0.0111907145263867,-0.00200808583408157,-0.00103741762860837
"sig_7",-0.211436229195617,-0.0581613630523086,0.0043487367435861,-0.0471319836020405,0.0162704622498769,-0.0166283688644117,-0.0514045650929843,0.00207125439650232,-0.00645856614176032,-0.00619114654191253,0.00490604685917281,-0.010612114573987,0.00735252593840045
"sig_8",-0.210125208121402,0.0573199658226426,0.016178548570609,-0.0611821476545309,0.016846574215595,-0.0344504625090388,-0.022625074423235,0.031567519182467,0.0176328718180147,0.000974886349425632,0.00534603845186235,0.0108135846939452,-0.0022469574910524
"sig_9",-0.177431975838082,-0.0465990202437792,-0.0946458842675246,-0.00337676858603364,-0.0435821019653298,0.0031105890288317,0.017009456953015,-0.00726520970277021,0.00795258549112748,0.0227382796038466,-0.00671813310152768,-0.00565275387824278,0.0156368916185668
"sig_10",-0.172713398609067,-0.125928602834779,-0.0266779416346129,0.0568773755774928,-0.0617020454604311,-0.00362289792843731,0.00171139703212523,-0.00312813811254696,0.00801778942851054,0.00363550262302629,0.00234827849418962,0.00132239647648007,0.00108058977068319
"sig_11",-0.0484495684433073,-0.0962380848244365,0.0314515135047381,0.0584809512391069,-0.00247796500128536,0.0525480789910742,-0.0321145539652143,0.0138231117225246,0.00816651866440494,-0.00417480025336192,-0.00615434849172693,-0.00651823477092985,0.00729748304287934
"sig_12",-0.244033251552504,-0.0944081970310519,0.0101325961281604,0.0148971237798297,-0.0267400778010833,-0.00231491291662293,0.0161674767879487,-0.0173320763075978,0.0168910635099769,0.00703805937507323,-0.000259135330920471,-0.0112199004269027,0.0174596995032867
"sig_13",-0.273429881923922,-0.0340986756054273,-0.0243781542536729,0.00160662287829656,-0.0283363019200375,0.0123671831365768,0.0523652441848213,-0.0102629157847363,-0.0034345017382278,-0.000898289142813836,-0.0154920255636027,-0.00136243771186332,0.0106388361208397
"sig_14",-0.207396249528687,-0.138241064734619,0.0237458923886283,0.077962546170799,0.0188440010752618,0.0195657481793547,0.0238515684387744,-0.00176056755641216,0.00348972061210761,-0.00900765916542208,0.000421687810570918,-0.00859245282299525,0.00796244596070568
"sig_15",-0.0588996678264741,-0.0663085349856969,-0.0082366917320685,0.00958916127252569,0.00239412451332083,-0.0122161938028294,0.0192005238791714,-0.0216521706431395,0.0105951454107778,0.0201878768952844,0.000977344610130681,0.00115160977126841,0.00468735678983923
"sig_16",-0.149409559932977,-0.0909513147199238,0.0126284565960841,0.0399702459633233,-0.00967384507325603,-0.00725546815541623,0.0143264587643885,-0.0274576181236981,0.0347288671158888,0.017270723033763,0.00471986192925986,0.00976887740993364,0.0125119224183899
"sig_17",-0.281176479908789,-0.0468844612477177,0.0137014370701806,0.0664570367848273,0.0239333833028417,-0.00984207341453495,0.008885931946208,0.00609617603234152,-0.0162330200612823,0.00790417717458597,0.00195057458422235,-0.00878500798758211,-0.00391572260408043
"sig_18",-0.21508681734634,0.00406690526164912,0.0348904176696948,0.0055660182013799,-0.020216304994322,0.0132707383613714,0.036021139850593,-0.00940400976124172,-0.00645220519296038,0.00295773694457223,-0.00821022213341104,0.00378497933761301,-0.00293952037612798
"sig_19",-0.280077805621547,-0.0210417361438671,0.0116623909445096,0.00205275083322701,0.0102524015138722,-2.9756015597734e-05,0.0183564880711909,-0.0106294003558148,-0.00172443145167062,-0.00256950276468864,-0.0119979047423499,-0.000514720623431685,0.011453172187129
"sig_20",-0.0636163883733253,-0.0508858174083512,0.0359277794704011,0.0012672632813874,-0.0177050366558246,-0.00546954205687628,-0.00372359423392888,-0.00711482919822814,0.0309907841418888,-0.00545733261782258,0.00414692397849244,0.00309746182818202,0.0116224836486661
"sig_21",-0.18396985090579,-0.056373931417982,-0.0172940224632237,-0.00997640300097508,0.0239049382779215,-0.0158233171815131,0.0142545053416758,-0.0248587401903495,0.0118179596865167,0.00353094785047777,-0.0131459139941067,0.00705599909743008,0.0181246579365713
"sig_22",-0.241055773993356,0.0431918740393604,-0.052467631359939,0.0488273469437322,0.0235452045624374,-0.0105395351372134,-0.0201146835957586,-0.0203556021338873,-0.0110474441637573,-0.0100747548150837,0.0162529132374911,-0.00713966636428025,0.0140646665510702
"sig_23",-0.320773295847324,0.0450166754694156,0.0216241695676652,-0.00619782930577053,0.000828498507617764,0.0202957996829953,0.015432900031621,0.013234561492203,-0.000772440887851094,-0.00218674383634393,-0.0125877427917223,-0.00555929313540369,0.0106004286599636
"sig_24",-0.304532849917556,0.0222319299077585,0.0194552227483559,0.034375119140511,0.025766664463666,-0.00446554794213225,-0.0269290294917784,-0.00861635808502525,-0.000777534824830348,0.00924746513745577,-0.00322485192477012,-0.000122840049706679,0.0100950954904866
"sig_25",-0.153494781342609,-0.053385779031897,0.0221402520036683,0.0182958547842126,0.0326979210051416,-0.0180610166183976,0.00651449448796348,0.00890599905276127,0.0173309883282105,0.0137967072166095,0.0127569059575574,-0.00334687835644478,0.00117575405452518
"sig_26",-0.330668617117113,0.0851996011943734,0.0375308025178392,-0.000555105317350448,0.0185344645548648,0.0014508507328654,-0.0347189497457611,0.00364063521062753,-0.00734621446091774,-0.000824611529400111,-0.00386852849647725,-0.00297988347722766,0.00784987803175893
"sig_27",-0.16066139128854,-0.00368269108962657,0.0114686156345948,0.0189302673661646,0.0443721872498628,-0.0168163264995033,-0.0147724873099519,0.0133377174458437,0.0137301343223126,0.0084512564620965,0.00293907422939142,-0.000663989802665485,0.00698768971132098
"sig_28",-0.282228858596493,0.124728764213861,0.0255820004635219,0.0108414564274231,0.0195327648754031,-0.0124812019082075,-0.0494489729714798,0.00221124863233924,0.00667369039312673,0.00470508086663087,-0.00531680833052119,-0.00460859249175005,0.0185690952112603
"sig_29",-0.201520391232513,0.123595420634566,0.0497378002946936,-0.0322423491925588,-0.0254310396239519,0.00759663150355239,-0.0184692792115756,0.0116881304776248,0.00423010629024734,0.0108795361608629,0.00561084261655274,0.00683067462037547,-0.00760048481166587
