"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"X.D.",-0.123939726059016,-0.0871795018254223,-0.803817646895022,-0.0912669759806948,-0.0853968658335252,0.157304837873707,-0.130339591645573,0.169846904982948,-0.0911559941167735,0.192209103269644,0.0434300643519348,-0.0838720998550077,10.0160431519612
"X.E.",0.17951446927667,-0.081656687376033,-0.0481721150886674,-0.120975044610923,0.0705221190917976,-0.0433920112116842,0.13645223211194,-0.772346201998281,-0.232361966308239,0.343522892380035,-0.247145454158657,0.116921803650722,6.17465349005731
"X.O.",-0.235681861096008,-0.578026566755623,0.0936636121920093,-0.474621725016601,0.0337336642583825,-0.188465565883068,0.126779956564483,0.00819611437380055,0.202107262139613,-0.331626959514239,-0.114760815360138,-0.0242244016601305,9.10042847201698
"X.B.",-0.148019221382482,0.187951428933813,0.257792503900998,-0.215942517529839,-0.38785623937096,0.387074084627987,0.553307191353244,0.175888407760926,-0.157555485851984,0.202794325959991,0.0814691841542012,-0.0230433958720492,7.82949806259161
"X.C.",0.124620273128763,-0.254981214168861,0.10169752363045,0.366240107027456,-0.561806993211354,-0.14250472651731,-0.146986259619822,-0.11862110453449,0.404643066530261,0.194407634749955,0.259576137956713,0.0692374711925886,8.18019117624006
"X.M.",0.339287568432402,0.0636478443949648,-0.100197894736759,0.179186836448279,0.0547866097358138,0.294893834037354,0.105960245369871,0.0983963560209469,0.13729209673046,-0.378399360316593,-0.287439443895142,0.571873292203718,9.0155675096161
"X.A.",0.284352456113435,0.177985695658218,-0.0239979351117822,0.139723296024572,-0.00188970134960853,-0.0757295096699928,0.155048996859242,0.0537975244371045,0.253632356312013,-0.0667201316734973,-0.462534380462463,-0.679026173292539,6.80123136739296
"X.T.",-0.673143381677242,0.414304396450844,-0.000953192869805497,0.241780880145079,-0.000718575500147645,-0.177252408438429,-0.0513091994190538,-0.224486138692916,0.0665091553027435,-0.196860298769545,-0.105326781601502,0.0760567557978326,9.4955672197363
"X.U.",0.232902707934518,0.315808968466691,0.0780585579440074,-0.26274145811723,0.23625831174366,-0.411499806024805,-0.0402213147202493,0.198635409217449,0.0666699590441919,0.189764047239695,0.242120534797037,0.136375376940739,14.7240527120885
"X.R.",0.130279792955606,-0.0894816270750817,0.0661360996824108,0.139478297865519,-0.349427636775035,-0.365903387203016,-0.114810930756527,0.167721204556141,-0.727383453673828,-0.253152525468125,-0.137227139719504,-0.0193203198278562,4.53633429200461
"X.F.",-0.00464128978971956,0.0215449536652241,0.342858966403203,-0.170956604242294,0.0403756158640358,0.442875146185147,-0.671598621444613,-0.0144413435957425,-0.0792937232679535,0.0388884785335547,-0.0841868317533364,-0.130428276274216,9.48233583789301
"X.G.",0.188354799289386,0.0656936137099991,-0.0868678011135924,0.0347912463007094,0.095720321542035,0.177085311384866,0.108308980980464,-0.336667130539124,-0.10751912621888,-0.502420904585384,0.626297478432406,-0.280135991907796,5.05267699040002
"X.P.",-0.124288920171728,-0.363012503385451,0.163228474639799,0.502544578571219,0.504360345456494,0.079012438309783,0.177880094415813,0.180847630283629,-0.173203773487723,0.229454577385501,0.0897653193725677,-0.0643218585983296,8.94398516633867
