"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"death",-0.104236090419199,0.0943779645468633,-8.17065922246045e-06,0.00360910377929164,-0.00420872877745989,0.00798967875436928,-0.0241821312089618,0.00787556230192006,-0.000256593682690223,0.00597251904421982,-9.00221500944442e-06,0.00302487430493095,0.00357984898377936,1.49508126341674e-14
"protein.metabolism",0.0270433529948255,-0.0344166170130732,0.0325170195446668,0.0588905681612054,-0.00342454018967336,0.00211207333583241,-0.0218414848119092,0.00809907509642412,0.00861818091187608,-0.0115692937136914,-0.0102119788768893,0.00328133466062907,-0.00148330204463955,-1.03801125257578e-14
"cell.cycle.and.proliferation",-0.0613215038948585,-0.0112176849451076,0.0239670836221473,-0.0275981524485469,0.0506588631268713,0.000556856362316503,0.0167001114715403,0.0082642841299059,0.0120541131652239,-0.0149200371990836,-0.00283471973263353,0.000884566471823484,-4.55547302708012e-05,-7.98722253591067e-15
"other.metabolic.processes",0.0751285899521053,0.00686112944820636,-0.0122489291791697,-0.0385766933199869,-0.0123550076922918,0.00198322337654722,-0.00849608435542048,0.0109218522680328,-0.0119988338909395,-0.0156395460501594,-0.00109959635015572,0.00490595005047641,0.0123537728575438,1.44701710079793e-14
"signal.transduction",-0.00100211737164129,0.0105403493158839,-0.0285220562159486,0.0172692200631093,-0.00872374059352866,0.049051499144617,0.0222797832554435,-0.00629236014868904,-0.00161802379094805,-0.00833795487400416,0.00742380246945958,0.00213218067496039,-0.00579569375543916,-7.74999201951689e-15
"stress.response",-0.00950748995758315,0.0220648700121096,0.0133880500119972,0.00507809576740853,-0.0334543280302858,-0.0261534884366579,0.0238656985582541,0.0289004095395265,-0.000963208989532712,-0.0043635664254994,0.00812880959984114,-0.00504489581763301,-0.00678631860373938,-4.13146921314166e-16
"developmental.processes",0.0194622472518024,0.0216815443597934,-0.00446885994681351,-0.0103452275333289,0.019539902328887,-0.0018955762358563,-0.00703455348085769,-0.00526310627277935,-0.0207420583471171,0.000180647641546349,-0.0152823916363977,-0.0112517831702892,-0.011896162766465,-2.91160555065538e-15
"cell.adhesion",0.0130231802963606,0.00177145370855555,2.59777139004117e-05,0.0151707477705066,0.0142845865975755,0.00426172078331726,-0.00988336228634468,-0.00262823676159596,0.00415228391000269,-0.00347165097997392,0.0144325618554497,-0.0207822295076407,0.00801749762144136,-1.81380412756446e-15
"DNA.metabolism",-0.00869625871298346,-0.0247144847068907,0.0660859467673975,-0.0391260068731551,-0.0288248978703614,0.0165082141941686,-0.0127406128733645,-0.0126712665121793,0.00291686782663028,0.00215936384149201,0.00573228674654303,-0.00215069123543761,-0.0049124417056017,-1.41925089229069e-15
"cell.cell.signaling",0.0217808148933568,0.00329610734836881,-0.0212731406114614,-0.01832061453614,-0.0193802857576297,0.0120432432671982,0.00755532905706213,0.00844203733997409,0.0236480860656909,0.0105915825686725,-0.0177009484705338,-0.00774104865724679,0.00256522091086075,-3.92852017626949e-15
"other.biological.processes",0.00190710529954597,0.0285542889786332,-0.00803474184641421,0.00517587733926268,-0.00891477873396493,-0.030930444234815,0.0122406613430738,-0.041623208880036,0.00997974062736716,-0.00355242067068625,0.000457784343290565,0.00236735799552446,0.00143602603820267,-6.68147903970426e-15
"cell.organization.and.biogenesis",0.00581858163517335,-0.0238025396455166,0.0359261378695463,0.0162782935836699,0.0151414659120583,0.00576643547077748,0.0237275688944398,0.00326313206557801,-0.012518603611075,0.0237419523301924,-0.00117973823555338,0.00201294960299429,0.00900602704879871,-6.35948650226311e-15
"RNA.metabolism",-0.0855959960090106,-0.100880660026774,-0.046073928877549,-0.0087117154380824,-0.00966645368891275,-0.00759786280270302,-0.0125868290323998,0.00263144351870212,-0.00364063902737564,0.00342809775254685,0.0029750636383632,-0.000705681543120974,-0.00101235367989889,1.82099960760813e-14
"transport",0.0776097285895761,0.0101092062847983,-0.0152683363693451,-0.011692642007691,0.0281438889317132,-0.00372293776714568,-0.0161392554553248,0.0095592042844672,0.0121547566893557,0.0132568318941564,0.0137899721752162,0.00626774119367488,-0.00855516525691366,-4.20953043661646e-15
