"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"protein.metabolism",0.0639074548134632,0.606546950422159,0.0567714347166786,-0.462015027194707,-0.0835838157769945,0.294827927382621,-0.0269255500381314,0.0898365489651715,0.174699626352095,0.00249579521080512,-0.102286523899336,0.300700733517284,-0.0548230320390617,-9.53810704891556
"death",0.424188528768448,-0.444588769723219,-0.401572558329854,-0.217912263176786,0.219242626820525,0.326077255635119,-0.227593521349178,-0.138228819539293,0.0546369518416427,-0.00104062552049434,-0.233166475873056,-0.0541828222065173,-0.0944731694555317,-7.81614410864549
"other.metabolic.processes",-0.520363134846818,0.128629352555053,-0.325013745362336,0.0133955157319411,0.0266901550533468,-0.115975880892228,0.195754572173105,-0.402778911936122,0.04573046902683,-0.115606681162799,-0.310978529267263,-0.251411084359316,-0.0585375753745607,-10.6217268581573
"signal.transduction",0.0189676648368388,-0.0969396399274922,-0.0358391693462758,0.380953919241493,-0.489559677716226,-0.168003874975818,-0.247068641701974,0.200388368208571,0.437464255318081,0.223503314649596,-0.225719005178257,0.113521864347304,-0.17918605289289,-8.4218535411134
"stress.response",0.0573231252874135,-0.169410143859063,-0.0462863587301772,-0.281444743822853,0.0369240385045148,-0.469372310590056,0.0557350577963205,0.129949402715941,0.298741216444472,-0.55330292248771,0.363384397387241,0.0607283923510432,-0.146101851700507,-6.85437704895896
"other.biological.processes",-0.0915039523467748,-0.182601756002642,-0.0500400627847157,0.167941442308026,0.0643749214767609,0.296215259431566,0.575182917673399,0.404210509385729,-0.0754212224505117,0.0827499354357353,0.14295703336912,0.0589084816840187,-0.0495282876337018,-12.8300161301689
"cell.adhesion",-0.136272764619696,0.015296994717875,-0.217988809292961,-0.00582308565805893,-0.0439452569987542,0.180399622661834,-0.157127692728478,-0.163413101386097,0.351426451418997,0.264905869364844,0.591996711917807,-0.144739310147205,0.508374190226471,-3.42375067496713
"DNA.metabolism",0.218008486947752,0.0335014359308216,0.502995304100584,-0.0522614519502419,-0.0700708509783194,0.149451899559111,0.103404175352413,0.0184309688283863,0.244058324220405,-0.106034009748842,-0.113473782635921,-0.738781030692098,0.0335381633014653,-3.60326293417387
"cell.cell.signaling",-0.0657557150966043,-0.16857197140089,0.14445488530778,0.0542881572157117,-0.102279112020145,0.0438598556623037,-0.0640564655832385,0.10598012157165,-0.0688238504766401,-0.400799504841,-0.348899331732692,0.224015257426343,0.735201603734033,-4.32199094699583
"developmental.processes",-0.0856447477559432,-0.0906334072943614,0.0814274187103154,-0.0382738779348011,-0.518682605942688,0.197787393829194,-0.254835862994817,-0.14103160773342,-0.531346051031839,-0.186414505006505,0.2833997889586,-0.0778719936170372,-0.172739156218429,-8.81797095746984
"cell.organization.and.biogenesis",0.0580591306515272,-0.0483121081363172,0.0552369219839492,-0.334795174280798,0.04471647980691,-0.484297676457374,-0.0311404145444898,0.163048000837268,-0.309055199887795,0.483091071468134,-0.0719373308725283,-0.126224385715638,0.193734283576176,-10.9937643812268
"cell.cycle.and.proliferation",0.190385920847167,-0.189309124830233,0.413562747498227,0.0340494740355532,-0.0283056147404604,-0.0639974372583877,0.309304036852003,-0.642378770650427,0.101862482566391,0.165647495919022,0.0565370760315873,0.373176411457348,-0.0122712854668238,-5.57710414864022
"RNA.metabolism",0.452192324576378,0.426753980360528,-0.151785107847248,0.502154605347759,0.206235138889846,-0.155735642421135,-0.0371572498025124,-0.07973381537687,-0.187307686348485,-0.146572705967285,0.105534323546058,-0.049741262191655,0.0879507769099201,-9.86755807903885
"transport",-0.355151073905224,-0.0690399011635722,0.384711024047423,0.152359149219901,0.540077680421172,0.0916948391538297,-0.447051394172426,0.065427425640348,0.0259023243288482,0.0136244808940711,0.0554429396215518,0.0850839094384896,-0.156256575052165,-9.06170346452804
