"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"protein.metabolism",0.0145356257963162,0.104820360741458,0.00703323461584254,-0.0435691134390075,-0.00648905828874817,0.020812231332771,-0.00248439480291203,0.00532710171666717,0.00877198251828199,-9.03352432077771e-05,-0.00433906664663385,0.00968892653215925,-0.00160080424166092,1.62831141263641e-14
"death",0.0889029452153114,-0.07452520417311,-0.0451490054209226,-0.0199195604493483,0.0158537334233187,0.0222762891010567,-0.0157356210188275,-0.00890679991750366,0.00277448420591473,-0.000212649292098937,-0.00956501807692011,-0.00167974342991608,-0.0027242968818024,3.33344647413541e-15
"other.metabolic.processes",-0.114282229647489,0.0226859850370112,-0.0386779849312087,0.00110043047501097,0.00186484744960375,-0.00856759328921946,0.0132359243282287,-0.0270318244206178,0.00257950890871707,-0.00585958247276815,-0.0135651035852121,-0.00830998772396751,-0.00175367862781423,2.22684620526635e-14
"signal.transduction",0.00465858393392882,-0.0165457652042454,-0.0037684091488005,0.0348197408006047,-0.036261364415477,-0.0117278237437182,-0.0172633913205544,0.0121785282932886,0.0210650968874607,0.0101508621843682,-0.00935965499549471,0.00357787329189754,-0.00526666310628181,-1.17211112259556e-14
"stress.response",0.012284865341109,-0.0280461150204577,-0.00489831334983748,-0.0252929840536945,0.00253119188166411,-0.0317710929708627,0.00325527122520551,0.00763757347621954,0.01404847940528,-0.0250693814543267,0.0146929277637893,0.00186738547212681,-0.00418557358802535,-2.1465601566511e-15
"other.biological.processes",-0.0207235480045274,-0.0353596225329895,-0.00593175300384575,0.0172665417031937,0.00512724675329788,0.0231821066670831,0.0433405816029132,0.0281280152931667,-0.00371073470421876,0.00403561531359584,0.00674374124618885,0.00211795723899932,-0.0015733908824093,-1.15915382265357e-14
"cell.adhesion",-0.0267439894131878,0.00237888260374423,-0.0233605098021977,-0.000558961352595352,-0.00311151089441941,0.011740142330805,-0.010223620610397,-0.00978098729046436,0.0158547951897971,0.0114616750228751,0.0231244000725419,-0.00428485456407632,0.014245788435245,-6.65339153446496e-15
"DNA.metabolism",0.0435139092669055,0.00528149759058153,0.054393846115647,-0.00458101103310589,-0.0049348927099259,0.00973018771106975,0.0063862200699512,0.000938132452110621,0.0110533855886741,-0.00469324447398507,-0.00443636730189158,-0.0219071966434518,0.000962539061283498,-1.4456906144794e-14
"cell.cell.signaling",-0.0127883886662316,-0.027097131953534,0.0158278698116541,0.00465217227581054,-0.00722542449887156,0.00283950450353212,-0.00437078246237905,0.00611056515377363,-0.00300382414434285,-0.0176469085222074,-0.013715666191229,0.00668254027584524,0.0207325157349682,-8.5847427502504e-15
"developmental.processes",-0.0174540666711758,-0.0156061414003983,0.00973941812968891,-0.00369350793056235,-0.0387139733744491,0.0137227534311835,-0.0179523543947805,-0.0092946694335992,-0.0252910629718166,-0.00887276391852968,0.0118487744601538,-0.00246121649253742,-0.00511169778501646,-1.06116205746589e-14
"cell.organization.and.biogenesis",0.0139158491366943,-0.00889692797501266,0.00718139157462543,-0.0328758817815744,0.00329138014942945,-0.0358047937326903,-0.00298264620847088,0.0103417863336686,-0.0153615145807146,0.0234933345185757,-0.00316893818210685,-0.00421231250757221,0.00619993115138084,-9.30349578646295e-15
"cell.cycle.and.proliferation",0.038848381574308,-0.0308089397964342,0.0456018156745522,0.00290546711900512,-0.00210109831491785,-0.00430841989410743,0.0197518303240729,-0.0388314684679232,0.00479413987123209,0.00723028561140177,0.00225123317437052,0.011264752285234,-0.000313409821873074,-1.26455306001518e-14
"RNA.metabolism",0.098939923036161,0.074267230423698,-0.0175118365334793,0.0473637894095549,0.0155014191670507,-0.0112350000059147,-0.00323994902228662,-0.00560127307340863,-0.00894637342910605,-0.00720525976743321,0.00451840195319742,-0.00160553942256773,0.00276447956160174,1.30466534768931e-14
"transport",-0.0749519713905641,-0.0119901645231458,0.0449439359234807,0.0140047650455885,0.0401734359214632,0.0063429586222196,-0.0312408073472265,0.00374455551276757,0.00148591132999053,0.00044188454745476,0.00233212137923747,0.00271824740086529,-0.00463976202015449,1.0358749993807e-14
