"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"Cell.cycle.progression.meiosis",0.0372405420738911,-0.0131649563170347,-0.033596724487489,0.00135596515917904,0.0203396806513667,-0.0419014247480774,0.0544953241717141,-0.03771250051881,0.0221852590064697,0.0525184800687176,-0.072116540637124,-0.122979985918904,0.98202367114288,-0.951233567870958
"Nuclear.cytoplasmic.transport",0.122839160898824,-0.19035607156766,0.0399704497221107,-0.160147785147025,-0.196464028957494,0.124743236275325,-0.757743912539699,-0.174348181421322,0.00214849176697479,-0.378755922353892,0.204254277820834,-0.0651669553348788,0.060018668958501,-5.92076500635523
"Chrom..seg..kinetoch..spindle.microtub.",0.142595731008337,0.0578643958845292,0.00618005130969565,0.246345960108979,-0.396280993682382,0.415398013968325,0.175646387493307,0.506545261480595,-0.354841502799249,-0.106503668689693,0.17359881047652,0.034298902168799,0.0534640148141648,-8.08719989253396
"RNA.processing",-0.469213370863534,0.0391423385927395,-0.0102972825713438,0.647313544442255,-0.00501330566868199,-0.126507123200261,-0.132434552837257,-0.165842214290106,0.0688594054111157,0.0428622650522169,0.0179868196635962,0.00233923784884896,-0.000869945051023849,-12.5694219348533
"Signaling.stress.response",0.220768258945572,-0.150039431387228,-0.267863557011978,0.0860456382147571,-0.189960587441582,0.101932736905177,0.302955695706762,-0.113202777660632,0.518106391834168,-0.436042305365874,-0.382677792608108,-0.0610478689181778,-0.0634721848556116,-6.59200014028623
"ER.Golgi.traffic",0.172693101715515,-0.0345962922125303,-0.108909987033839,0.00470774414491982,-0.0347455246262624,0.0737192730845839,-0.00900016402816242,-0.128114291442336,-0.11161642182064,0.359763093259784,-0.0505961599192035,-0.845118850703697,-0.143042245605704,-5.23178462329247
"Chromatin.transcription",-0.166315548541569,0.536541007732808,0.124427505523595,-0.394408475886801,-0.359045502061903,-0.2596195408092,0.0427638228981793,-0.00343625740415443,0.0795092406039413,0.02254125732425,-0.0573427762710594,-0.00634747402973969,-0.00739974582455897,-12.893202705595
"DNA.replication...repair.HR.cohesion",0.302136322561771,-0.11729768013007,-0.167212808492702,-0.0110397236572393,-0.155892044269697,0.130580603059551,-0.137713810311583,-0.24465272996962,-0.062488958060487,0.570515454028091,-0.252163292782753,0.465025917027389,-0.00953079813901803,-8.4213680349403
"Protein.degredation.proteosome",-0.115660901793976,0.389098456930906,-0.525324943153636,-0.15091224980658,0.5339373948329,0.369481067464698,-0.110062395728936,0.0633927522077967,-0.042929924038619,-0.0894139827768917,-0.00436088239589361,0.0383986302538631,0.00846994330928503,-6.65479825050782
"Golgi.endosome.vacuole.sorting",0.235173789632531,0.109155878643685,0.668852197097009,0.0512083087131863,0.395563229096693,0.200788588929683,0.0991896086032937,-0.178444561544883,-0.0836905053356979,-0.130742981346626,-0.17400949669651,0.0129086195049945,-0.00863735763731189,-9.98093629462299
"Protein.folding...glycosylation.cell.wall",0.170675627624741,-0.0792364161117843,0.0650710049088133,0.0593509727382003,0.222792077000197,-0.31799503766475,-0.324107622948432,0.700588431768255,0.26721021263178,0.136229067872204,-0.252675375123176,-0.034128661918771,-0.0203070506631751,-5.23178462329185
"Metabolism.mitochondria",0.283152105606072,-0.1178879769515,-0.251925881506194,0.0193891349170301,0.155320591408556,-0.575674004981249,0.161813648970695,-0.0929799792530766,-0.465378631500433,-0.249604156120041,0.117672731470381,0.0599375779057912,-0.0301984804877713,-8.95601237261816
"Ribosome.translation",-0.467610384554986,-0.567642512682511,0.0517132282325217,-0.389749646420127,0.0754011044739618,0.0999499858831221,0.173757313469988,0.105836159113831,-0.0821513165005904,0.0387168938995358,-0.0495405502910975,0.00382890209193144,-0.00443962991069027,-11.234381387551
"Cell.polarity.morphogenesis",0.198254117910641,-0.0555202246396837,0.0228221338330054,-0.0280231050085027,0.119055904856524,-0.00597487380440626,0.185316311859177,-0.0114854825820585,0.465860574533728,0.188819506466462,0.737773673767884,0.0539503559523266,0.0118604264740106,-7.41403348969307
