"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"Cell.cycle.progression.meiosis",-0.123968064547195,0.11736095672646,0.183514961725337,-0.243558464687847,0.025272603390024,-0.0848358958307218,0.162123627557696,-0.178794878101316,0.541830502505235,-0.133594253261797,0.458053444471428,-0.220501267112815,0.491801502095745,0.329573020664552
"Nuclear.cytoplasmic.transport",0.0595863500491044,0.0945604635257951,-0.249716445901745,-0.105245006418209,0.221375735166303,-0.124296658357546,-0.232997429129526,0.207053508651526,0.615030176400799,0.43845482109544,-0.121068022077334,-0.131025632936467,-0.387423016494013,-0.339152153335894
"Chrom..seg..kinetoch..spindle.microtub.",0.259222870322449,-0.186786935034055,-0.0464797736186272,0.0437270939021062,0.258272281288893,-0.817204804903151,0.250289764667692,0.0254824484132418,-0.0612069375752136,-0.139815290647803,-0.146913033193807,0.194614023195817,0.115162540721249,0.100167782651544
"RNA.processing",-0.200932901742751,0.254217636934146,0.231812892578371,-0.710879271778394,-0.0192303406419191,-0.134972242260587,-0.244011999280476,-0.249141227256561,-0.271011653883225,-0.0909113078888967,-0.0153631751293895,0.118272129614765,-0.315898078990707,-0.173437167028582
"Signaling.stress.response",-0.0570069004759819,0.0986090222457482,-0.496499043581769,0.282790427536959,-0.0579650137214594,-0.0703805503172285,-0.108982539915714,-0.374425207041733,-0.136284774596442,0.166740429556541,0.603591229794582,0.277197588659323,-0.112284257951255,0.198977952033455
"ER.Golgi.traffic",0.217562334908399,0.0395678255205527,0.17132871514797,0.104085620036045,-0.217750813880189,0.213063970275411,0.266869893553195,-0.568589802918336,0.32538805698993,0.124217847911831,-0.393300251986531,0.382311092603536,-0.0374379663719806,-0.266119268551716
"Chromatin.transcription",0.337966458940075,0.273353024495779,-0.442585700316621,-0.143944034481163,0.0929258658489576,0.31866852824207,0.465155727365465,0.0474105732448188,-0.134519819899061,-0.286819620148507,-0.0684221109773517,-0.388906823430274,-0.0969598913039025,-0.275927064294244
"DNA.replication...repair.HR.cohesion",0.449702344546828,0.214749771704579,0.554679002449612,0.280679885765078,0.425490370893656,0.202269962271182,-0.197361467225139,0.118831189437902,-0.110552970313547,0.0819619667229071,0.259999750570856,0.0561726903409751,-0.021703329064339,0.242095244216726
"Protein.degredation.proteosome",0.137366806579276,-0.871140270958833,-0.0276334630691844,-0.269345718150093,0.143997416161691,0.28632344335552,-0.0333838421413604,-0.0619135467980327,0.0300846159581852,-0.0166667381987585,0.179146044980771,0.0287724848948043,-0.0845373519354711,-0.0134903089594477
"Golgi.endosome.vacuole.sorting",0.293742961111444,-0.120167679297875,0.107137533154487,0.0793017958990228,-0.664597819725986,-0.195753472461914,-0.240014642326215,-0.02786108748127,-0.136551837697791,0.277303413277337,-0.0199377888226758,-0.480133080181726,0.129068590988451,0.0465512088097959
"Protein.folding...glycosylation.cell.wall",-0.0522047604932328,0.0564755840514053,0.0280618258476823,-0.165206562965751,-0.362917750438786,0.112081294463876,0.292269463455921,0.637563490736093,0.024010210863217,0.194367803271145,0.157313084296442,0.506685420313653,0.0999878756158149,0.302701539017949
"Metabolism.mitochondria",-0.674497643414888,-0.14711529624192,0.257878536149212,0.46383788590674,0.00514218514761488,-0.00775052398920841,0.232057643374169,0.0429206918466037,0.0537884451270209,-0.144760508115572,-0.0532357314774878,-0.227159551109039,-0.328291511106103,-0.430891617832515
"Ribosome.translation",-0.294489108668191,0.0121992997136771,-0.185809809629416,-0.032392055375856,0.334390521993883,0.167838131842077,-0.13925314051523,-0.0622571920958082,-0.226216445045721,0.412609321979383,-0.338594593149667,-0.00164350747418624,0.615020893150298,0.553475991840542
"Cell.polarity.morphogenesis",0.0355361159267437,0.0203680172969946,-0.196790733819691,0.141934998996104,-0.133662669620031,0.0945514997580828,-0.573557364828049,0.134016095362341,0.243592194303953,-0.630654505276886,-0.180491406243913,0.215118826954945,0.172626043297069,-0.0144201731163732
