"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_21","sig_23","sig_28","Cell.cycle.progression.meiosis","Nuclear.cytoplasmic.transport","Chrom..seg..kinetoch..spindle.microtub.","RNA.processing","Signaling.stress.response","ER.Golgi.traffic","Chromatin.transcription","DNA.replication...repair.HR.cohesion","Protein.degredation.proteosome","Golgi.endosome.vacuole.sorting","Protein.folding...glycosylation.cell.wall","Metabolism.mitochondria","Ribosome.translation","Cell.polarity.morphogenesis"
"sig_1",1.00000000000001,0.0300172491416595,0.324872933649178,0.267248030778099,0.0235400718639673,0.168632525138099,0.0604484891335536,0.0235156475486329,0.0750883748645621,0.117783288014531,0.0703101052578977,0.0235156475486329,0.0486333823255295,0.0210890821116456,0.00108845771257461,0.0215783389100341,0.0260534148304959,0.0235156475486329,0.0235156475486329,0.0235156475486329,-0.0200922810672579,-0.00703073282025265,0.0387686038747935,0.00561048878545909,0.00335758726881282,0.0620150623525861,-0.0236681833627375,-0.0151848743566199,-0.00739305973262356,-0.0205603507551789,-0.0309907953626249,0.0165812176139165,-0.036718881480025,0.0374073653132927
"sig_2",0.0300172491416595,0.999999999999987,0.00484025372690073,-0.00220558505638626,0.0239699702288433,0.199347748411168,0.146118637625303,0.0240787334707455,-0.00388685300492671,0.0159591702690753,-0.00474679597885501,0.0240787334707455,0.0268368657372779,0.00951454409639742,-0.00268474686335206,0.0204138760208233,0.0228727627070978,0.0240787334707455,0.0240787334707455,0.0240787334707455,-0.00852150878535868,-0.0124279548379401,0.053996206480167,-0.030964027205266,-0.0213196012113136,-0.0138325078187006,0.0400520047768966,-0.0256184598228644,-0.0193784798305321,0.0498415887178983,-0.0195796959739653,-0.0355121705734842,-0.0239920695028067,0.0258062056011572
"sig_3",0.324872933649178,0.00484025372690073,1.00000000000002,0.12968529200572,0.0720887994233463,0.035571643120296,0.00780951431282781,0.0710794671046572,0.294073282416464,0.380007051432751,0.0467186000723241,0.0710794671046572,0.230826999324199,0.0271816900790139,0.0298593207501232,0.0769804699798375,0.0672344967645198,0.0710794671046572,0.0710794671046572,0.0710794671046572,-0.0100308449930336,0.00790317066018334,-0.004468661219111,-0.022177811024159,-0.0250957454190986,-0.0162825322708949,-0.0434909498439871,-0.00973541653147625,0.020058261083381,0.0461854633300001,0.0194172376356628,0.02922956002267,-0.0243071969131096,0.0212486151482174
"sig_4",0.267248030778099,-0.00220558505638626,0.12968529200572,0.999999999999983,0.0710365781206555,0.0334386772626509,0.0104615716505245,0.0655737874497422,0.109181772828348,0.393481082962775,0.579516452459016,0.0655737874497422,0.0736538717327652,0.26338988601743,0.156249491522721,0.127968239772777,0.137084717678076,0.0655737874497422,0.0655737874497422,0.0655737874497422,-0.00988793334276472,0.0971309089561374,0.000615101160886008,0.00682498015768626,0.0205985058377777,-0.0160505514598055,-0.0231093972718311,-0.00178880236414289,-0.0224858204896339,-0.0139885886069466,-0.0227193016563923,-0.0283631143946375,-0.00885049509957858,0.0429704948207019
"sig_5",0.0235400718639673,0.0239699702288433,0.0720887994233463,0.0710365781206555,1.00000000000001,0.265587677648898,0.153437230995674,0.999379934463362,0.00721946107387393,0.153727943686823,0.0355263393611535,0.999379934463362,0.315304583459428,0.421687957728615,0.0343881649833584,0.91179493283756,0.95776413515711,0.999379934463362,0.999379934463362,0.999379934463362,-0.0027005983677853,-0.00588049796736696,-0.00925890739775756,-0.00981298070997475,-0.00675651245376063,-0.00438373637562245,-0.0117090422834446,-0.00887742576515592,-0.00614134096656875,-0.0105672514511263,-0.00620510948482231,0.0707186292836408,-0.0034046443625563,-0.00887742576515591
"sig_6",0.168632525138099,0.199347748411168,0.035571643120296,0.0334386772626509,0.265587677648898,1.00000000000002,0.039752988610791,0.265819522684393,-0.00307216532232602,0.0665357126828759,0.0353073551996894,0.265819522684393,0.183768923621153,0.168330496476152,-0.00212202164639588,0.237536905828974,0.272440778614858,0.265819522684393,0.265819522684393,0.265819522684393,-0.0067353933249059,-0.014666181846584,0.0201044999587247,-0.0244739408717023,-0.0168509947364086,-0.010933202461619,0.0427455397307925,-0.0109580973081392,-0.0153167340414705,0.0513741625120476,-0.015475775110779,-0.00767055796610834,-0.0189633114100088,-0.015478703992662
"sig_7",0.0604484891335536,0.146118637625303,0.00780951431282781,0.0104615716505245,0.153437230995674,0.039752988610791,1.00000000000002,0.153561463504231,-0.00137582934107562,0.0186919078832703,0.00746237791067594,0.153561463504231,0.0476709588039941,0.0759758963667772,-0.000950319835424239,0.137344789765498,0.150688332748259,0.153561463504231,0.153561463504231,0.153561463504231,-0.00301635842731083,-0.00656805906877543,-0.0103414797587321,-0.0109603365737961,-0.00754649914709303,-0.0048962927318075,-0.0130780899480324,-0.00991539443220297,-0.00685940042046697,-0.0118027983532619,-0.00693062489787348,-0.000582104974162339,-0.00849247273649023,0.0946335909879116
"sig_8",0.0235156475486329,0.0240787334707455,0.0710794671046572,0.0655737874497422,0.999379934463362,0.265819522684393,0.153561463504231,1.00000000000002,-0.00119058716937452,0.135533406422734,0.0120119068003179,1.00000000000002,0.315527730407859,0.421975883407784,-0.00082236842105264,0.896770705898784,0.958366660100352,1.00000000000002,1.00000000000002,1.00000000000002,-0.00261023481225043,-0.00568373316480104,-0.00894909909645277,-0.00948463280088655,-0.00653043570883617,-0.00423705406619249,-0.0113172510769983,-0.00858038205598898,-0.00593584820907046,-0.0102136652145547,-0.00599748299647779,0.0711675627053792,-0.00734904306403547,-0.00858038205598897
"sig_9",0.0750883748645621,-0.00388685300492671,0.294073282416464,0.109181772828348,0.00721946107387393,-0.00307216532232602,-0.00137582934107562,-0.00119058716937452,0.99999999999999,0.212602482184723,0.264979123555045,-0.00119058716937452,-0.00150636037365097,-0.00158268182642989,0.238833660321224,0.104614747778897,-0.00148125952536988,-0.00119058716937452,-0.00119058716937452,-0.00119058716937452,-0.00377897788504839,-0.00822864741267567,-0.0129560939950247,-0.0137314150566604,-0.00945446440588392,-0.00613421196390088,-0.0163845954926342,-0.0124222824255766,-0.0085936479759616,0.0948085212732651,-0.00868287998584449,-0.0167293514645617,0.017959879042399,-0.0124222824255766
"sig_10",0.117783288014531,0.0159591702690753,0.380007051432751,0.393481082962775,0.153727943686823,0.0665357126828759,0.0186919078832703,0.135533406422734,0.212602482184723,1.00000000000001,0.505018503933524,0.135533406422734,0.354498234211545,0.0552714080595346,0.519018115779031,0.351254986378502,0.129285851859198,0.135533406422734,0.135533406422734,0.135533406422734,-0.00707719526789801,0.0287469460290913,-0.0242639173610439,0.0166541708825781,-0.0177061345128718,-0.0114880312094347,-0.030684747361366,0.0112332588104144,-0.0160940144767951,0.00203351522374822,-0.016261126425395,0.00738491729882669,0.0421823282465624,0.0112332588104144
